,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,2064,1821,2075,1816,2541,2973,2926,3050,3207,2657,2805,2902,2955,3886,3498,4191,-,-,-,-,-
1,Market Cap Growth,-38.77%,-38.77%,-29.09%,-40.44%,-20.77%,11.91%,4.31%,5.12%,8.51%,-31.62%,-19.80%,-30.78%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,1872,1629,1861,1602,2235,2668,2576,2721,2833,2283,2398,2502,2585,3515,3150,4066,-,-,-,-,-
3,Last Close Price,32.05,28.27,32.19,28.18,38.98,45.62,45.13,46.84,49.24,40.80,43.08,44.44,45.26,59.52,53.57,64.20,-,-,-,-,-
4,PE Ratio,25.04,22.29,24.93,20.49,28.09,32.80,37.26,37.13,45.93,32.71,30.81,33.12,36.04,50.79,43.01,50.62,-,-,-,-,-
5,Forward PE,-,32.11,32.11,32.11,32.11,32.11,32.11,32.11,32.11,32.11,32.11,32.11,23.61,32.49,-,-,-,-,-,-,-
6,PS Ratio,4.21,3.75,4.32,3.72,5.14,6.01,6.35,6.82,8.68,7.11,8.13,8.34,8.62,11.46,9.52,11.44,-,-,-,-,-
7,PB Ratio,2.26,1.94,2.22,1.96,2.80,3.32,3.38,3.57,3.97,3.34,3.68,3.90,4.15,5.66,5.30,6.49,-,-,-,-,-
8,P/TBV Ratio,2.07,2.07,2.36,2.09,2.98,3.54,3.61,3.81,4.25,3.58,3.94,4.19,4.32,5.88,5.51,6.75,-,-,-,-,-
9,P/FCF Ratio,-,-,-,-26.57,-,-,-,-61.60,-,182.81,-,34.05,96.94,124.31,90.17,-,-,-,-,-,-
10,P/OCF Ratio,-,-,23.95,25.15,-,46.69,-,103.52,-,36.73,-,22.90,39.66,73.33,60.16,-,-,-,-,-,-
11,EV/Sales Ratio,3.85,3.35,3.87,3.28,4.53,5.39,5.59,6.09,7.66,6.11,6.95,7.19,7.54,10.37,8.57,11.09,-,-,-,-,-
