,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,474.36,400.66,281.55,289.17,291.55,384.47,367.28,342.62,395.51,387.88,284.17,309.49,316.27,254.01,254.01
1,Other Revenue,-24.24,24.24,-,5.11,-2.42,2.42,-,5.11,-1.94,1.94,-,3.68,-,-,-
2,Revenue,450.12,424.9,281.55,294.29,289.14,386.89,367.28,347.73,393.56,389.82,284.17,313.16,316.27,254.01,254.01
3,Revenue Growth (YoY),55.68%,9.83%,-23.34%,-15.37%,-26.53%,-0.75%,29.24%,11.04%,24.44%,53.47%,11.88%,-,-,-,-
4,Cost of Revenue,255.92,243.63,173.75,197.92,171.87,216.38,207.9,200.27,212.69,226.02,170.17,187.58,94.21,140.88,140.88
5,Gross Profit,194.21,181.27,107.8,96.37,117.27,170.51,159.38,147.46,180.88,163.81,114,125.58,222.07,113.12,113.12
6,"Selling, General & Admin",45.97,26.54,32.56,37.72,33.92,37.15,24.33,34.39,35.32,22.64,17.82,23.43,53.29,17.96,17.96
7,Research & Development,45.95,34.67,22.72,40.52,27.36,31.81,20.71,28.06,22.05,20.43,17.15,19.49,44.42,13.64,13.64
8,Other Operating Expenses,-3.36,4.51,-0.17,2.17,-1.25,-4.42,-3.84,14.16,-2.63,-0.47,1.13,6.56,1.18,0.4,0.4
9,Operating Expenses,85.97,69.7,55.52,91.52,58.6,67.21,41.32,76.14,54.4,44.25,34.76,48.65,103.55,32,32
10,Operating Income,108.23,111.57,52.27,4.85,58.66,103.3,118.06,71.31,126.48,119.56,79.24,76.93,118.51,81.12,81.12
11,Interest Expense,-,-0.36,-,-0.64,-,-0.35,-,-1,-1.36,-2.22,-0.74,-1.17,-0.24,-,-
12,Interest & Investment Income,13.38,13.12,11.11,13.06,12.01,13.44,11.91,8.38,2.32,0.78,0.11,1.71,2.11,0.61,0.61
13,Currency Exchange Gain (Loss),-6.12,6.12,-,18.67,-22.73,22.73,-,43.71,-25.3,25.3,-,-6.81,-,-,-
14,Other Non Operating Income (Expenses),-17.28,-2.54,2.47,-19.49,19.15,5.09,-4.94,-54.58,54.73,1.51,-1.62,0.4,-0.93,-3.34,-3.34
15,EBT Excluding Unusual Items,98.21,127.91,65.85,16.45,67.09,144.21,125.03,67.83,156.86,144.94,76.99,71.05,119.45,78.39,78.39
16,Gain (Loss) on Sale of Investments,-0.13,0.31,0.12,-0.12,0.11,0.37,-0.27,0.85,0.5,-0.88,-0.14,0.18,0.01,0.67,0.67
17,Gain (Loss) on Sale of Assets,0.04,-0,-0.32,0.03,0.06,-0.29,0.14,-0.09,-0.01,0.13,0.11,0.07,0.02,0,0
18,Asset Writedown,-2.78,-0,-,1.78,-1.81,-0.02,-,2.18,-2.22,-0.01,-,7.54,-7.62,-2.62,-2.62
19,Other Unusual Items,-2.44,0.04,2.4,-1.34,0.01,-,-,9.62,-,-,-,4.57,-,-,-
20,Pretax Income,92.91,128.26,68.06,16.79,65.46,144.26,124.9,80.38,155.13,144.18,76.97,83.4,111.86,76.45,76.45
21,Income Tax Expense,4.23,17.13,10.02,3.57,6.3,11.74,16.51,5.16,13.95,25.51,9.95,9.05,8.74,10.13,10.13
22,Earnings From Continuing Operations,88.67,111.14,58.04,13.23,59.15,132.52,108.39,75.22,141.18,118.68,67.02,74.35,103.11,66.32,66.32
23,Minority Interest in Earnings,-,-,-,-,-,-,-,-,-,-,-,-,-,-66.32,-66.32
24,Net Income,88.67,111.14,58.04,13.23,59.15,132.52,108.39,75.22,141.18,118.68,67.02,74.35,103.11,0,0
25,Net Income to Common,88.67,111.14,58.04,13.23,59.15,132.52,108.39,75.22,141.18,118.68,67.02,74.35,103.11,0,0
