,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,11416,13931,11793,10118,14965,14379,17889,16230,17043,-,-,-,-,-,-,-
1,Market Cap Growth,-3.12%,-3.12%,-34.08%,-37.66%,-12.19%,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,9702,12254,10054,8395,13242,12702,16139,14536,15350,-,-,-,-,-,-,-
3,Last Close Price,28.21,34.41,29.00,24.73,36.57,35.14,43.72,39.34,41.31,-,-,-,-,-,-,-
4,PE Ratio,42.14,51.39,48.82,38.48,47.77,38.32,39.12,36.60,42.39,-,-,-,-,-,-,-
5,Forward PE,29.39,35.62,29.71,21.45,32.06,26.10,34.10,-,-,-,-,-,-,-,-,-
6,PS Ratio,7.87,9.60,9.14,8.08,11.19,10.34,11.96,10.83,12.04,-,-,-,-,-,-,-
7,PB Ratio,3.37,4.11,3.65,3.13,4.70,4.54,5.75,5.19,5.64,-,-,-,-,-,-,-
8,P/TBV Ratio,4.21,4.21,3.74,3.21,4.82,4.66,5.90,5.33,5.80,-,-,-,-,-,-,-
9,P/FCF Ratio,120.02,146.46,123.10,93.07,-,69.05,133.92,81.82,94.74,-,-,-,-,-,-,-
10,P/OCF Ratio,36.28,36.28,33.11,27.89,42.67,31.98,50.78,39.17,44.69,-,-,-,-,-,-,-
11,PEG Ratio,1.13,1.13,1.13,1.13,1.13,1.03,1.35,-,-,-,-,-,-,-,-,-
12,EV/Sales Ratio,6.69,8.45,7.79,6.71,9.90,9.13,10.79,9.70,10.85,-,-,-,-,-,-,-
13,EV/EBITDA Ratio,26.46,34.11,32.98,28.54,37.30,30.48,33.83,29.92,34.93,-,-,-,-,-,-,-
14,EV/EBIT Ratio,36.68,44.25,44.22,38.32,46.49,36.16,38.51,33.39,38.70,-,-,-,-,-,-,-
15,EV/FCF Ratio,102.00,128.83,104.95,77.22,-,60.99,120.82,73.29,85.33,-,-,-,-,-,-,-
16,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.01,0.00,0.02,0.00,0.00,0.04,-,0.09,0.09,-,-,-
17,Debt / EBITDA Ratio,0.04,0.03,0.03,0.05,0.14,0.04,0.14,0.02,0.03,0.21,-,0.37,0.33,-,-,-
18,Debt / FCF Ratio,0.14,0.14,0.15,0.14,-,0.06,0.53,0.04,0.05,-,-,-,-,-,-,-
19,Asset Turnover,0.49,0.47,0.32,0.34,0.33,0.45,0.43,0.41,-,-,-,-,-,-,-,
20,Inventory Turnover,2.28,2.95,2.82,1.93,2.01,1.68,2.04,1.89,1.96,-,-,-,-,-,-,-
21,Quick Ratio,6.47,6.47,6.61,7.37,7.18,7.72,6.77,7.47,6.39,5.29,-,-,1.75,-,-,-
22,Current Ratio,7.64,7.64,7.85,8.78,8.66,9.46,8.24,9.30,7.89,6.40,-,-,2.80,-,-,-
23,Return on Equity (ROE),10.71%,13.75%,7.24%,1.67%,7.54%,17.00%,14.11%,10.10%,-,-,19.26%,-,-,-,-,
24,Return on Assets (ROA),7.33%,7.78%,3.69%,0.35%,4.22%,7.46%,8.64%,5.24%,-,-,-,-,-,-,-,
25,Return on Capital (ROIC),8.14%,8.59%,4.06%,0.38%,4.61%,8.18%,9.58%,5.86%,-,-,13.02%,-,-,-,-,
26,Return on Capital Employed (ROCE),7.65%,8.01%,6.88%,6.64%,8.76%,10.88%,13.19%,13.68%,12.87%,13.25%,-,-,23.44%,-,-,-
27,Earnings Yield,2.37%,1.95%,2.05%,2.60%,2.09%,2.61%,2.56%,2.73%,2.36%,-,-,-,-,-,-,-
28,FCF Yield,0.83%,0.68%,0.81%,1.07%,0.61%,1.45%,0.75%,1.22%,1.06%,-,-,-,-,-,-,-
29,Dividend Yield,0.56%,-,-,-,0.44%,-,-,-,0.85%,-,-,-,-,-,-,-
30,Payout Ratio,23.91%,3.36%,55.64%,-,-,13.67%,101.55%,-,2.87%,0.23%,1.81%,2.40%,0.97%,70.76%,3623900000.00%,3623900000.00%
31,Buyback Yield / Dilution,-0.22%,-0.81%,2.70%,-1.95%,-2.85%,-10.64%,-15.21%,-9.22%,-12.55%,0.29%,-,-,-,-,-,-
32,Total Shareholder Return,0.34%,-0.81%,2.70%,-1.95%,-2.41%,-10.64%,-15.21%,-9.22%,-11.70%,0.29%,-,-,-,-,-,-
