,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,1397,1678,1394,1708,1188,1258,1400,1230,1777,-,-,419.87,-,-,-
1,Trading Asset Securities,330.21,13,361.4,15.83,547.47,489.47,358.08,525.64,29.88,-,-,13.9,-,-,-
2,Cash & Short-Term Investments,1727,1691,1755,1724,1735,1748,1758,1756,1807,-,433.77,433.77,-,-,535.44
3,Cash Growth,-0.45%,-3.27%,-0.16%,-1.82%,-3.96%,-,305.26%,304.83%,-,-,-18.99%,-,-,-,-
4,Accounts Receivable,330.93,305.4,230.99,228.02,228.41,252.68,213.95,203.92,230.65,-,-,217.91,-,-,-
5,Other Receivables,3.48,3.42,3.77,3.17,4,3.83,3.86,2.52,3.23,-,-,4.68,-,-,-
6,Receivables,334.4,308.82,234.76,231.19,232.41,256.51,217.81,206.44,233.88,-,-,222.6,-,-,-
7,Inventory,351.52,343.55,346.8,374.74,414.17,402.5,447.6,433.46,383.15,-,-,314.32,-,-,-
8,Other Current Assets,22.62,32.82,33.97,29.01,29.86,33.12,36.12,29.02,47.37,-,-,79.71,-,-,-
9,Total Current Assets,2436,2376,2371,2359,2412,2440,2459,2425,2471,-,-,1050,-,-,-
10,"Property, Plant & Equipment",1220,1132,1063,1045,942.85,913.06,876.45,866.3,835.13,-,-,744.52,-,-,-
11,Other Intangible Assets,82.67,81.96,78.92,79.72,78.57,79.62,80.38,81.37,81.02,-,-,82.39,-,-,-
12,Long-Term Deferred Tax Assets,21.97,4.01,5.01,4.38,8.31,8.73,6.91,6.91,9.67,-,-,9.63,-,-,-
13,Long-Term Deferred Charges,0.99,1.19,1.48,3.86,12.8,8.02,5.28,5.43,1.89,-,-,0.14,-,-,-
14,Other Long-Term Assets,14.08,11.01,48.41,30.9,28.61,24.11,18.9,3.47,22.6,-,-,14.09,-,-,-
15,Total Assets,3776,3606,3567,3523,3483,3474,3447,3388,3421,-,-,1901,-,-,-
16,Accounts Payable,205.68,186.32,150.97,137.69,151.75,135.25,153.82,182.68,177.71,-,-,232.04,-,-,-
17,Accrued Expenses,37.94,37.42,31.33,53.2,32.59,33.64,24.01,46.7,38.49,-,-,32.52,-,-,-
18,Short-Term Debt,-,-,-,-,-,57,-,-,60.06,-,-,30.03,-,-,-
19,Current Portion of Leases,4.1,4.58,5.31,6.52,5.44,5.8,5.37,5.96,5.23,-,-,10.25,-,-,-
20,Current Income Taxes Payable,20.73,13.96,7.45,3.53,6.39,8.39,12.18,3.09,25.07,-,-,13.13,-,-,-
21,Current Unearned Revenue,48.61,55.08,72.11,67.52,55.3,45.28,66.09,61.95,55.05,-,-,55.07,-,-,-
22,Other Current Liabilities,1.69,5.33,2.79,3.86,3.42,10.6,2.91,6.9,24.36,-,-,2.15,-,-,-
23,Total Current Liabilities,318.76,302.68,269.96,272.31,254.9,295.96,264.39,307.27,385.98,-,-,375.19,-,-,-
24,Long-Term Debt,-,-,-,-,-,-,-,-,44.59,-,-,82.09,-,-,-
25,Long-Term Leases,8.75,9.34,10.32,11.61,6.61,7.94,2.94,3.93,3.43,-,-,7.66,-,-,-
26,Long-Term Unearned Revenue,27.25,28.13,28.92,29.87,26.7,27.49,28.32,29.2,29.77,-,-,28.74,-,-,-
27,Long-Term Deferred Tax Liabilities,33.2,30.89,29.01,27.19,29.67,29.31,26.89,26.66,19.18,-,-,15.75,-,-,-
28,Total Liabilities,387.95,371.04,338.2,340.98,317.88,360.71,322.54,367.07,482.96,-,-,509.44,-,-,-
29,Common Stock,406.66,406.66,406.66,406.66,406.66,406.66,406.66,406.66,406.66,-,-,362.39,-,-,-
30,Additional Paid-In Capital,1621,1597,1597,1597,1597,1597,1597,1597,1597,-,-,416.52,-,-,-
31,Retained Earnings,1391,1303,1256,1198,1185,1126,1136,1027,951.97,-,-,625.1,-,-,-
32,Treasury Stock,-50.1,-45.5,-,-,-,-,-,-,-,-,-,-,-,-,-
33,Comprehensive Income & Other,19.38,-25.85,-30.95,-19.57,-23.69,-16.67,-14.48,-9.51,-17.18,-,-,-12.27,-,-,-
