,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,47,70,57,92,131,131,327,498,308,367,1232,Upgrade
1,Market Cap Growth,-24.62%,-24.62%,-56.52%,-29.35%,-60.00%,-73.71%,6.15%,35.48%,-75.00%,-73.73%,-9.57%,Upgrade
2,Enterprise Value,16,37,20,48,45,8,246,505,363,543,1249,Upgrade
3,Last Close Price,0.03,0.05,0.04,0.07,0.09,0.09,0.23,0.35,0.26,0.31,1.04,Upgrade
4,PS Ratio,1.08,1.60,1.85,24.98,65.05,9.12,-,11.52,-,0.71,2.09,Upgrade
5,PB Ratio,0.96,1.42,0.97,1.53,1.65,0.74,1.62,1.22,0.80,0.58,1.71,Upgrade
6,P/TBV Ratio,1.42,1.42,0.97,1.53,1.65,0.86,1.86,1.75,1.19,0.78,2.54,Upgrade
7,P/FCF Ratio,-,-,-,-,-,-,-,58.75,-,-4.29,-,Upgrade
8,P/OCF Ratio,-,-,-,-,-,-,-,58.75,-,-4.95,-,Upgrade
9,EV/Sales Ratio,0.36,0.84,0.64,13.07,-,0.57,-,11.69,-,1.05,2.11,Upgrade
10,EV/EBITDA Ratio,13.31,-,-2.42,-,-,-,-,-,-,12.78,15.56,Upgrade
11,EV/EBIT Ratio,247.70,-,-2.20,-,-,-,-,-,-,-,20.30,Upgrade
12,EV/FCF Ratio,-1.95,-,-,-,-,-,-,59.63,-,-6.34,-,Upgrade
13,Debt / Equity Ratio,2.02,2.02,1.76,1.75,1.39,0.66,0.48,0.26,0.43,0.34,0.37,Upgrade
14,Debt / FCF Ratio,-,-,-,-,-,-,-,12.54,-,-2.56,-,Upgrade
15,Return on Capital Employed (ROCE),0.13%,-,-14.40%,-,-,-,-,-,-,-,7.76%,Upgrade
16,Earnings Yield,-24.41%,-16.44%,-36.28%,-126.13%,-94.10%,-19.32%,-,-10.62%,-,-27.88%,1.69%,Upgrade
17,FCF Yield,-17.29%,-11.64%,-5.21%,-6.47%,-9.52%,-5.39%,-,1.70%,-,-23.32%,-10.95%,Upgrade
18,Buyback Yield / Dilution,-,-,-,-,-21.84%,-,0.85%,-,-2.11%,2.58%,Upgrade,
19,Total Shareholder Return,-,-,-,-,-21.84%,-,0.85%,-,-2.11%,2.58%,Upgrade,
