,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Operating Revenue,311.36,282.2,215.4,217.03,233.98,195.19,153.44,194.23,192.62,142.72,137.12
1,Other Revenue,-0.41,0.41,-,0.61,-0.29,0.29,-,0.78,-0.47,0.25,0.22
2,Revenue,310.95,282.6,215.4,217.64,233.69,195.48,153.44,195.02,192.15,142.97,137.34
3,Revenue Growth (YoY),33.06%,44.57%,40.38%,11.60%,21.62%,36.73%,11.73%,-,-,-,-
4,Cost of Revenue,183.97,205.84,135.92,145.57,138.77,132.1,97.48,130.8,120.34,95.44,91.38
5,Gross Profit,126.98,76.77,79.48,72.07,94.92,63.38,55.96,64.22,71.81,47.53,45.96
6,"Selling, General & Admin",23.16,13,19.58,16.75,19.04,16.63,12.24,15.61,12.44,11.04,11.03
7,Research & Development,19.54,13.98,12.53,12.28,13.55,11,8.27,8.63,6.04,10.34,8.65
8,Other Operating Expenses,-6.78,5.54,-2.63,1.89,-1.38,0.39,-4.1,15.99,-0.67,-5.15,-3.58
9,Operating Expenses,36.42,33.65,30.8,30.51,32.37,29.63,14.28,38.55,19.1,15.29,17.06
10,Operating Income,90.56,43.12,48.68,41.56,62.55,33.75,41.68,25.66,52.72,32.24,28.9
11,Interest Expense,-10.79,-0.59,-0.13,-0.54,-1.24,-1.47,-1.38,-1.57,-0.81,-1.11,-1.23
12,Interest & Investment Income,0.46,8.52,6.24,7.05,1.17,0.52,0.27,0.23,0.17,0.18,0.21
13,Currency Exchange Gain (Loss),-0.57,0.57,-,4.4,-2.91,2.91,-,3.66,-1.77,2.39,-0.62
14,Other Non Operating Income (Expenses),15.82,-0.19,0.16,-3.45,3.02,3.63,-0.65,-6.61,2.82,-0.02,0.21
15,EBT Excluding Unusual Items,95.47,51.44,54.95,49.02,62.59,39.34,39.92,21.37,53.12,33.67,27.47
16,Gain (Loss) on Sale of Investments,-0.25,0.42,-,-,-0.02,-0.47,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,0.49,-0.65,-,-0.4,0.66,-0.6,0.01,0.01,-0.35,-0.03,-0.07
18,Asset Writedown,-14.02,2.34,-2.34,8.38,-8.38,4.89,-4.89,6.72,-6.72,-,-
19,Other Unusual Items,-8.15,8.15,-,5.29,-0.45,0.45,-,16.37,-0.15,-0.18,0.33
20,Pretax Income,73.53,61.7,52.6,62.29,54.39,43.61,35.03,44.48,45.89,33.46,27.74
21,Income Tax Expense,7.94,7.57,5.77,8.16,6.19,5.14,4.04,5.46,6.03,3.4,2.92
22,Net Income,65.58,54.13,46.83,54.13,48.21,38.47,31,39.02,39.87,30.06,24.82
23,Net Income to Common,65.58,54.13,46.83,54.13,48.21,38.47,31,39.02,39.87,30.06,24.82
24,Net Income Growth,36.05%,40.70%,51.09%,38.73%,20.91%,27.97%,24.87%,-,-,-,-
25,Shares Outstanding (Basic),365,363,358,358,350,310,269,266,272,280,269
26,Shares Outstanding (Diluted),365,363,358,358,350,310,269,266,272,280,269
27,Shares Change (YoY),4.26%,17.02%,33.30%,34.81%,28.60%,10.85%,-0.13%,-,-,-,-
28,EPS (Basic),0.18,0.15,0.13,0.15,0.14,0.12,0.12,0.15,0.15,0.11,0.09
29,EPS (Diluted),0.18,0.15,0.13,0.15,0.14,0.12,0.12,0.15,0.15,0.11,0.09
30,EPS Growth,30.49%,20.24%,13.34%,2.91%,-5.98%,15.44%,25.03%,-,-,-,-
31,Free Cash Flow,64.06,30.31,-11.34,83.17,55.02,20.73,7.97,9.68,42.12,-38.31,-29.98
32,Free Cash Flow Per Share,0.18,0.08,-0.03,0.23,0.16,0.07,0.03,0.04,0.15,-0.14,-0.11
33,Dividend Per Share,-,-,-,0.108,-,0.038,-,-,-,-,-
34,Gross Margin,40.84%,27.16%,36.90%,33.12%,40.62%,32.42%,36.47%,32.93%,37.37%,33.25%,33.46%
35,Operating Margin,29.12%,15.26%,22.60%,19.09%,26.77%,17.26%,27.16%,13.16%,27.43%,22.55%,21.05%
36,Profit Margin,21.09%,19.15%,21.74%,24.87%,20.63%,19.68%,20.20%,20.01%,20.75%,21.03%,18.08%
37,Free Cash Flow Margin,20.60%,10.73%,-5.26%,38.22%,23.54%,10.60%,5.19%,4.96%,21.92%,-26.79%,-21.83%
38,EBITDA,99.39,53.46,57.51,50.39,71.04,42.24,49.95,32.59,58.77,38.29,34.94
39,EBITDA Margin,31.96%,18.92%,26.70%,23.15%,30.40%,21.61%,32.56%,16.71%,30.58%,26.78%,25.44%
