,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Market Capitalization,11566,6023,6446,7050,6776,6793,-,-,-,-,-,-
1,Market Cap Growth,-11.34%,-11.34%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,10761,5282,5487,6152,5877,6904,-,-,-,-,-,-
3,Last Close Price,31.88,16.60,17.72,19.26,18.51,18.55,-,-,-,-,-,-
4,PE Ratio,50.49,27.29,31.71,37.57,39.44,43.35,-,-,-,-,-,-
5,PS Ratio,10.85,5.87,6.79,8.18,8.47,8.74,-,-,-,-,-,-
6,PB Ratio,6.55,3.41,3.79,4.15,4.08,4.23,-,-,-,-,-,-
7,P/TBV Ratio,3.54,3.54,3.94,4.32,4.23,4.39,-,-,-,-,-,-
8,P/FCF Ratio,69.59,36.23,41.01,-,40.60,72.73,-,-,-,-,-,-
9,P/OCF Ratio,23.79,23.79,27.73,33.16,30.64,42.49,-,-,-,-,-,-
10,EV/Sales Ratio,10.48,5.15,5.78,7.13,7.34,8.88,-,-,-,-,-,-
11,EV/EBITDA Ratio,42.80,20.26,23.61,27.81,27.51,35.26,-,-,-,-,-,-
12,EV/EBIT Ratio,50.59,23.59,28.01,32.98,32.74,42.19,-,-,-,-,-,-
13,EV/FCF Ratio,64.74,31.78,34.91,-,35.22,73.92,-,-,-,-,-,-
14,Debt / Equity Ratio,0.01,0.01,0.02,0.02,0.02,0.04,0.35,0.40,0.38,-,-,0.37
15,Debt / EBITDA Ratio,0.08,0.05,0.19,0.18,0.20,0.25,1.22,1.13,1.49,-,-,1.04
16,Debt / FCF Ratio,0.13,0.13,0.26,-,0.25,0.77,2.63,10.53,-12.31,-,-,-
17,Asset Turnover,0.59,0.56,0.44,0.45,0.64,0.76,0.61,-,-,-,-,
18,Inventory Turnover,3.37,3.09,3.96,3.00,3.68,3.55,3.06,2.27,-,-,-,-
19,Quick Ratio,3.58,3.58,3.46,5.34,5.00,5.18,0.94,0.84,0.81,-,-,-
20,Current Ratio,4.46,4.46,4.24,6.18,5.71,5.81,1.43,1.36,1.26,-,-,-
21,Return on Equity (ROE),15.13%,12.74%,11.15%,13.25%,17.46%,26.39%,22.63%,-,-,-,-,
22,Return on Assets (ROA),10.82%,5.35%,6.20%,5.40%,10.65%,8.21%,10.36%,-,-,-,-,
23,Return on Capital (ROIC),12.83%,6.19%,7.07%,6.14%,12.55%,10.52%,13.67%,-,-,-,-,
24,Return on Capital Employed (ROCE),11.72%,12.34%,11.21%,10.74%,10.56%,9.92%,23.31%,24.23%,23.40%,-,-,-
25,Earnings Yield,1.91%,3.66%,3.15%,2.66%,2.54%,2.31%,-,-,-,-,-,-
26,FCF Yield,1.44%,2.76%,2.44%,2.09%,2.46%,1.37%,-,-,-,-,-,-
27,Dividend Yield,0.56%,-,-,-,0.79%,-,-,-,-,-,-,-
28,Payout Ratio,17.87%,-,71.11%,-,1.73%,30.35%,4.77%,5.59%,4.63%,3.61%,5.52%,10.61%
29,Buyback Yield / Dilution,-17.01%,-4.26%,-17.02%,-33.30%,-34.81%,-28.60%,-10.85%,0.13%,-,-,-,-
30,Total Shareholder Return,-16.45%,-4.26%,-17.02%,-33.30%,-34.02%,-28.60%,-10.85%,0.13%,-,-,-,-
