,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Market Capitalization,327,245,345,759,2134,7633,-,-
1,Market Cap Growth,-67.68%,-67.68%,-83.83%,-90.06%,-,-,-,-
2,Enterprise Value,-47,-183,-130,115,1267,11217,-,-
3,Last Close Price,0.52,0.39,0.55,1.21,3.45,12.40,-,-
4,PS Ratio,0.43,0.32,0.42,0.88,2.44,18.68,-,-
5,PB Ratio,0.76,0.58,0.65,0.81,1.27,4.15,-,-
6,P/TBV Ratio,1.09,1.09,1.32,2.45,4.91,13.75,-,-
7,EV/Sales Ratio,-,-,-,0.13,1.45,27.46,-,-
8,Debt / Equity Ratio,0.05,0.05,0.06,0.04,0.01,0.01,-1.56,-
9,Earnings Yield,-177.28%,-236.29%,-350.75%,-113.80%,-63.84%,-16.10%,-,-
10,FCF Yield,-28.47%,-37.97%,-55.38%,-40.27%,-16.10%,-2.34%,-,-
11,Buyback Yield / Dilution,-1.04%,-0.47%,-1.62%,-60.75%,-,7.69%,-,-
12,Total Shareholder Return,-1.04%,-0.47%,-1.62%,-60.75%,-,7.69%,-,-
