,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Cash & Equivalents,362.99,206.31,202.3,330.73,748.73,313,-
1,Short-Term Investments,2.24,0.88,-,-,-,-,-
2,Trading Asset Securities,-,206.77,268.02,258.34,-,-,-
3,Cash & Short-Term Investments,365.23,413.95,470.32,589.08,748.73,313,-
4,Cash Growth,-22.34%,-29.73%,-37.18%,88.20%,-,-,-
5,Accounts Receivable,73.04,83.76,100.4,96.71,74.79,65.23,-
6,Other Receivables,-,9.39,-,9.07,-,12.97,-
7,Receivables,73.04,98.66,100.4,112.7,74.79,78.2,-
8,Restricted Cash,51.65,62.54,78.46,70.84,95.66,101.48,-
9,Other Current Assets,30.84,11.96,35.79,14.62,31.19,23.97,-
10,Total Current Assets,520.75,587.1,684.96,787.24,950.38,516.65,-
11,"Property, Plant & Equipment",25.14,32.84,40.47,27.98,15.86,13.58,-
12,Long-Term Investments,-,-,1.43,2.04,1.91,2.03,-
13,Goodwill,155.92,206.89,536.05,1048,1034,1020,-
14,Other Intangible Assets,32.61,37.2,43.84,52.45,61.89,68.35,-
15,Other Long-Term Assets,4.03,2.94,4.18,7.11,5.82,3.06,-
16,Total Assets,738.44,866.98,1311,1925,2070,1624,-
17,Accounts Payable,43.12,48.38,56.43,51.83,43.19,43.59,-
18,Accrued Expenses,64.48,68.15,84.62,90.52,82.08,89.08,-
19,Current Portion of Leases,12.15,14.5,13.39,7.65,5.07,7.97,-
20,Current Income Taxes Payable,18.6,18.59,17.66,17.79,22.69,22.69,-
21,Current Unearned Revenue,21.53,19.34,10.92,7.71,7.45,8.15,-
22,Other Current Liabilities,167.51,197.24,234.78,240.87,322.75,287.89,-
23,Total Current Liabilities,327.39,366.2,417.8,416.37,483.23,459.37,-
24,Long-Term Debt,-,-,-,-,-,3224,-
25,Long-Term Leases,7.46,12.41,18.78,13.03,3.22,0.91,-
26,Long-Term Deferred Tax Liabilities,6.96,8.04,9.48,11.4,13.72,15.09,-
27,Total Liabilities,342.46,387.3,446.06,440.8,500.17,3700,-
28,Common Stock,0.01,0.01,0.01,0.01,0.01,0.01,-
29,Additional Paid-In Capital,4721,4708,4696,4530,4481,76.58,-
30,Retained Earnings,-7465,-7382,-6907,-6246,-6069,-4590,-
31,Comprehensive Income & Other,3142,3155,3077,3201,3157,2437,-
32,Total Common Equity,398.04,481.41,866.12,1485,1570,-2076,-
33,Minority Interest,-2.06,-1.73,-1.26,-0.76,-0.02,-,-
34,Shareholders' Equity,395.98,479.68,864.86,1484,1570,-2076,-
35,Total Liabilities & Equity,738.44,866.98,1311,1925,2070,1624,-
36,Total Debt,19.61,26.91,32.17,20.68,8.29,3233,-
37,Net Cash (Debt),345.62,387.04,438.14,568.4,740.44,-2920,-
38,Net Cash Growth,-21.12%,-31.91%,-40.83%,-,-,-,-
39,Net Cash Per Share,0.55,0.62,0.70,0.92,1.90,-,-
40,Filing Date Shares Outstanding,628.51,627.7,626.86,618.69,615.53,615.53,421.57
41,Total Common Shares Outstanding,628.51,627.7,626.86,618.69,615.53,372.66,421.57
42,Working Capital,193.36,220.9,267.15,370.87,467.14,57.28,-
43,Book Value Per Share,0.63,0.77,1.38,2.40,2.55,-5.57,-
44,Tangible Book Value,209.52,237.31,286.23,384.34,473.81,-3164,-
45,Tangible Book Value Per Share,0.33,0.38,0.46,0.62,0.77,-8.49,-
46,Machinery,16.99,16.51,17.04,16.17,15.29,13.75,-
47,Leasehold Improvements,9.11,9.22,10.19,8.17,10.44,6.77,-
