,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Revenue,324.19,381.06,371.76,424.49,348.76,-,301.87
1,Revenue Growth (YoY),-12.80%,-10.23%,6.60%,-,15.53%,-,-
2,Cost of Revenue,211.45,242.5,252.43,275.1,236.54,-,195.02
3,Gross Profit,112.74,138.56,119.33,149.4,112.21,-,106.85
4,"Selling, General & Admin",146.66,244.44,228.81,299.28,814.4,-,184.2
5,Research & Development,11.55,15.93,22.39,24.73,47.51,-,18.35
6,Other Operating Expenses,-12.01,-8.36,-0.18,-5.39,-5.71,-,-1.62
7,Operating Expenses,146.21,264.3,251.02,323.35,856.2,-,200.93
8,Operating Income,-33.47,-125.74,-131.68,-173.95,-743.99,-,-94.08
9,Interest Expense,-0.61,-0.77,-0.74,-0.6,-0.2,-,-1.53
10,Interest & Investment Income,1.08,1.47,1.54,1.92,1.32,-,0.96
11,Earnings From Equity Investments,-,-1.43,-0.6,0.13,-0.12,-,-
12,Currency Exchange Gain (Loss),-,-0.34,-,-1.42,-,-,-
13,Other Non Operating Income (Expenses),-,-5.6,-,0.48,-308.06,-,-150.09
14,EBT Excluding Unusual Items,-33,-132.41,-131.49,-173.44,-1051,-,-244.74
15,Impairment of Goodwill,-51,-329.98,-513.53,-,-,-,-
16,Gain (Loss) on Sale of Investments,-,4.01,-,3.19,-,-,-
17,Other Unusual Items,-,0.25,-,3.39,-,-,-
18,Pretax Income,-84,-458.13,-645.01,-166.86,-1051,-,-244.74
19,Income Tax Expense,-1.1,-0.47,-2.07,-6.78,-1.99,-,2.19
20,Earnings From Continuing Operations,-82.9,-457.66,-642.94,-160.08,-1049,-,-246.93
21,Earnings From Discontinued Operations,-,-,-,-,-,-,-0.02
22,Net Income to Company,-82.9,-457.66,-642.94,-160.08,-1049,-,-246.95
23,Minority Interest in Earnings,0.55,0.98,0.46,3.73,-,-,-
24,Net Income,-82.35,-456.68,-642.48,-156.34,-1049,-,-246.95
25,Net Income to Common,-82.35,-456.68,-642.48,-156.34,-1049,-,-246.95
26,Shares Outstanding (Basic),628,627,626,617,389,-,422
27,Shares Outstanding (Diluted),628,627,626,617,389,-,422
28,Shares Change (YoY),0.47%,1.62%,60.75%,-,-7.69%,-,-
29,EPS (Basic),-0.13,-0.73,-1.03,-0.25,-2.70,-,-0.59
30,EPS (Diluted),-0.13,-0.73,-1.03,-0.25,-2.70,-,-0.59
31,Free Cash Flow,-44.07,-42.56,-131,-151.67,-152.29,-,-158.09
32,Free Cash Flow Per Share,-0.07,-0.07,-0.21,-0.25,-0.39,-,-0.38
33,Operating Margin,-10.32%,-33.00%,-35.42%,-40.98%,-213.33%,-,-31.17%
34,Profit Margin,-25.40%,-119.84%,-172.82%,-36.83%,-300.80%,-,-81.81%
35,Free Cash Flow Margin,-13.59%,-11.17%,-35.24%,-35.73%,-43.67%,-,-52.37%
36,EBITDA,-19.42,-124.71,-113.89,-168.39,-727.93,-,-79.55
37,D&A For EBITDA,14.05,1.03,17.8,5.56,16.06,7.27,14.54
38,EBIT,-33.47,-125.74,-131.68,-173.95,-743.99,-,-94.08
39,Advertising Expenses,5.88,-,12.28,-,22.17,-,16.48
