,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,20456,24080,15603,18982,21439,28442,38455,27029,26906,25125,38394,Upgrade
1,Market Cap Growth,26.86%,26.86%,-27.22%,-33.26%,-44.25%,5.23%,42.92%,7.58%,-29.92%,-43.27%,-10.97%,Upgrade
2,Enterprise Value,118373,121801,112008,114850,118859,124858,125540,101622,87462,74919,78405,Upgrade
3,Last Close Price,3.33,3.77,2.39,2.76,3.03,3.86,5.06,3.43,3.30,2.99,4.43,Upgrade
4,PE Ratio,4.99,5.88,3.52,4.15,4.66,4.97,5.65,3.93,4.47,4.49,7.38,Upgrade
5,Forward PE,5.00,5.24,2.93,3.26,3.03,3.82,5.00,3.77,4.04,3.98,6.43,Upgrade
6,PS Ratio,0.65,0.77,0.49,0.59,0.57,0.63,0.77,0.53,0.63,0.63,1.02,Upgrade
7,PB Ratio,0.41,0.36,0.24,0.29,0.34,0.43,0.60,0.44,0.48,0.54,0.86,Upgrade
8,P/TBV Ratio,1.03,1.03,0.73,0.88,1.16,1.38,2.03,1.35,1.49,1.59,2.39,Upgrade
9,P/FCF Ratio,5.16,6.07,11.06,-,7.46,-,-10.36,-,-,-,-,Upgrade
10,P/OCF Ratio,5.00,5.00,6.25,-,5.35,-,-24.61,-,-,-,-,Upgrade
11,PEG Ratio,-,-,5.78,-,-,-,1.00,0.39,0.45,0.43,0.53,Upgrade
12,EV/Sales Ratio,3.77,3.88,3.49,3.57,3.18,2.78,2.52,1.99,2.04,1.89,2.09,Upgrade
13,EV/EBITDA Ratio,9.41,9.80,8.49,8.78,9.08,8.94,8.50,6.88,6.78,6.64,7.51,Upgrade
14,EV/EBIT Ratio,11.35,11.76,10.09,10.46,10.72,10.27,9.50,7.58,7.43,7.27,8.14,Upgrade
15,EV/FCF Ratio,29.84,30.71,79.37,-,41.35,-,-33.83,-,-,-,-,Upgrade
16,Debt / Equity Ratio,1.39,1.39,1.44,1.42,1.51,1.51,1.54,1.47,1.35,1.33,1.19,Upgrade
17,Debt / FCF Ratio,23.74,23.74,67.05,-,32.96,-,-26.77,-,-,-,-,Upgrade
18,Return on Capital Employed (ROCE),6.68%,6.68%,7.50%,7.38%,7.50%,7.60%,8.24%,8.99%,9.11%,9.89%,10.17%,Upgrade
19,Earnings Yield,20.03%,17.02%,28.39%,24.11%,21.47%,20.14%,17.69%,25.43%,22.36%,22.30%,13.55%,Upgrade
20,FCF Yield,19.39%,16.47%,9.04%,18.75%,13.41%,-4.05%,-9.65%,-28.19%,-35.95%,-41.51%,-21.14%,Upgrade
21,Dividend Yield,6.61%,5.84%,9.21%,8.32%,7.92%,7.76%,6.72%,10.19%,9.09%,9.03%,5.87%,Upgrade
22,Buyback Yield / Dilution,-,-,-,-,-,-,-,-,-,-9.92%,Upgrade,
23,Total Shareholder Return,6.61%,5.84%,9.21%,8.32%,7.92%,7.76%,6.72%,10.19%,9.09%,9.03%,-4.05%,Upgrade
