,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,10605,11011,6896,8956,5224,7691,7124,7448,7245,6509
1,Short-Term Investments,183.03,166.04,3166,155.39,-,146.39,-,-,-,-
2,Cash & Short-Term Investments,10788,11177,10062,9112,5224,7837,7124,7448,7245,6509
3,Cash Growth,7.21%,22.67%,92.62%,16.27%,-26.67%,5.22%,-1.68%,14.43%,280.85%,259.28%
4,Accounts Receivable,3580,2341,2962,2263,2263,1425,1299,888.06,775.42,391.39
5,Other Receivables,69.15,44.37,25.04,63.59,3633,52.49,563.14,421.42,390.51,318.37
6,Receivables,3649,2385,2987,2327,5895,1477,1862,1309,1166,709.76
7,Inventory,27.84,31.37,37.63,40.41,41.6,50.56,44,50.64,45.06,46.27
8,Prepaid Expenses,-,1.96,-,1.35,1.2,2.47,-,2.89,-,-
9,Other Current Assets,652.11,632.27,753.57,652.64,132.94,623.31,96.83,87.55,46.28,38.66
10,Total Current Assets,15117,14228,13840,12133,11295,9991,9127,8899,8503,7303
11,"Property, Plant & Equipment",1090,452.82,585.63,715.15,850.98,889.23,1003,327.28,118.54,98.99
12,Long-Term Investments,20.26,15.5,14.16,80.18,95.74,84.99,66.23,48.72,41.99,40.25
13,Goodwill,63.99,63.99,64.9,64.9,64.9,64.9,64.9,64.9,47.03,47.03
14,Other Intangible Assets,34.87,39.87,44.88,49.89,54.89,60.23,65.73,71.24,45.12,48.68
15,Long-Term Deferred Tax Assets,61.49,57.14,54.56,39.41,29.01,20.37,16.4,13.3,10.98,6.64
16,Other Long-Term Assets,19.85,19.87,22.5,27.08,29.21,27.64,23.58,20.09,15.94,26.17
17,Total Assets,16407,14877,14626,13110,12420,11138,10366,9444,8782,7571
18,Accounts Payable,2492,2009,1922,1575,1233,803.64,574.71,397.1,427.13,253.36
19,Accrued Expenses,181.87,293.59,304.81,253.58,1981,112.33,1476,1247,1034,1167
20,Current Portion of Leases,48.93,43.11,32.98,38.29,47.69,35.85,43.43,211.48,3.43,2.64
21,Current Income Taxes Payable,255.04,160.29,200.46,154,198.71,134.74,161.33,92.48,128.75,51.02
22,Current Unearned Revenue,1750,1548,1582,1429,1356,1381,1265,1182,999.31,936.73
23,Other Current Liabilities,2373,1868,2179,1735,185.16,1669,229.53,-,196.51,13.58
24,Total Current Liabilities,7101,5921,6222,5185,5002,4136,3751,3130,2789,2424
25,Long-Term Leases,70.24,68.6,65.54,68.92,73.18,78.74,60.58,26.65,16.72,12.25
26,Long-Term Deferred Tax Liabilities,7.78,10.82,9.86,10.73,11.78,12.92,16.91,18.28,11.75,12.64
27,Other Long-Term Liabilities,-,-,-,-,-,21.34,19.24,22.72,-,-
28,Total Liabilities,7179,6001,6298,5265,5087,4249,3847,3197,2818,2449
29,Common Stock,553.33,553.33,553.33,553.33,553.33,553.33,553.33,553.33,553.33,533.33
30,Additional Paid-In Capital,4535,4535,4535,4535,4535,4535,4535,4535,4535,3940
31,Retained Earnings,4032,3738,3122,2625,2140,1681,1326,1073,799.06,565.48
32,Treasury Stock,-117.73,-,-81.83,-,-45.91,-,-,-,-,-
33,Comprehensive Income & Other,57.53,-107.26,31.47,-23.11,19.42,16.09,14.09,9.09,11.09,17.09
34,Total Common Equity,9061,8720,8160,7691,7203,6786,6429,6171,5899,5055
35,Minority Interest,167.7,156.63,168.36,154.21,129.74,103.1,90.1,75.87,65.43,66.76
36,Shareholders' Equity,9228,8877,8329,7845,7332,6889,6519,6247,5964,5122
37,Total Liabilities & Equity,16407,14877,14626,13110,12420,11138,10366,9444,8782,7571
38,Total Debt,119.17,111.7,98.52,107.22,120.86,114.59,104.01,238.12,20.15,14.9
39,Net Cash (Debt),10668,11066,9963,9004,5103,7722,7020,7210,7225,6494
40,Net Cash Growth,7.08%,22.89%,95.25%,16.60%,-27.31%,7.11%,-2.84%,11.03%,282.94%,262.00%
41,Net Cash Per Share,19.43,20.13,18.05,16.30,9.23,13.96,12.69,13.03,13.10,15.86
42,Filing Date Shares Outstanding,549.82,548.38,551.26,552.26,552.26,553.33,553.33,553.33,553.33,553.33
43,Total Common Shares Outstanding,549.82,548.38,551.26,552.26,552.26,553.33,553.33,553.33,553.33,533.33
44,Working Capital,8016,8307,7617,6948,6293,5854,5376,5769,5713,4879
45,Book Value Per Share,16.48,15.90,14.80,13.93,13.04,12.26,11.62,11.15,10.66,9.48
46,Tangible Book Value,8962,8616,8050,7576,7083,6661,6298,6035,5807,4960
47,Tangible Book Value Per Share,16.30,15.71,14.60,13.72,12.83,12.04,11.38,10.91,10.49,9.30
48,Buildings,-,-,-,-,-,-,-,1.31,-,1.31
49,Machinery,-,340.49,-,287.85,-,236.01,-,190.84,-,149.88
50,Leasehold Improvements,-,82.13,-,81.43,-,77.7,-,71.51,-,49.06
