,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Revenue,7871,7921,7141,7237,6449,5629,5153,4436,3601,3145
1,Revenue Growth (YoY),10.22%,9.44%,10.73%,28.56%,25.16%,26.90%,43.11%,41.07%,27.60%,35.93%
2,Cost of Revenue,6261,6479,5630,5968,5145,4646,4122,3671,2867,2601
3,Gross Profit,1610,1442,1512,1269,1305,983.17,1031,765.11,733.95,544.2
4,"Selling, General & Admin",493.48,720.26,523.9,696.37,517.02,573.58,441.91,475.85,309.06,328.79
5,Operating Expenses,493.48,720.26,523.9,696.37,517.02,573.58,441.91,475.85,309.06,328.79
6,Operating Income,1117,721.31,987.62,572.59,787.86,409.59,589.57,289.26,424.9,215.42
7,Interest Expense,-2.28,-2.32,-2.38,-2.31,-2.32,-5.24,-5.33,-4.41,-0.4,-0.46
8,Interest & Investment Income,41.06,34.4,31.6,45.18,34.73,40.54,61.2,60.84,57.98,15.8
9,Earnings From Equity Investments,2.31,1.35,1.38,-17.56,12.76,13.33,8.59,8.73,9.02,6.28
10,Currency Exchange Gain (Loss),0.2,-2.5,3.68,13.62,13.48,-5.42,-3.45,-21.94,51.23,-14.82
11,Other Non Operating Income (Expenses),-28.89,53.18,11.62,44.97,10.26,32.85,18.78,46.66,13.4,24.69
12,EBT Excluding Unusual Items,1129,805.42,1034,656.5,856.77,485.64,669.36,379.13,556.12,246.89
13,Gain (Loss) on Sale of Investments,-,0.3,-,-,-,-1.31,-,-,-,-
14,Gain (Loss) on Sale of Assets,0.13,0.71,-0.31,0.24,-0.15,-0.18,-0.01,0.03,-0.09,1.39
15,Other Unusual Items,0.35,1.44,-0.01,0.07,-0.06,-0.78,9.72,-,-,-
16,Pretax Income,1130,807.87,1033,656.8,856.56,483.36,679.08,379.16,556.04,248.28
17,Income Tax Expense,274.98,187.52,256.36,158.99,221.02,117.53,174.03,93.75,145.33,65.87
18,Earnings From Continuing Operations,854.58,620.34,776.84,497.82,635.53,365.83,505.05,285.41,410.71,182.41
19,Minority Interest in Earnings,-8.62,-3.73,-13.32,-13.19,-7.23,-10.97,-14.23,-11.47,-11.12,-5.48
20,Net Income,845.96,616.62,763.53,484.63,628.31,354.87,490.83,273.94,399.59,176.93
21,Net Income to Common,845.96,616.62,763.53,484.63,628.31,354.87,490.83,273.94,399.59,176.93
22,Net Income Growth,10.80%,27.23%,21.52%,36.57%,28.01%,29.54%,22.83%,54.83%,27.43%,54.06%
23,Shares Outstanding (Basic),549,550,552,552,553,553,553,553,552,409
24,Shares Outstanding (Diluted),549,550,552,552,553,553,553,553,552,409
25,Shares Change (YoY),-0.53%,-0.44%,-0.20%,-0.19%,-0.04%,-0.00%,0.32%,35.13%,37.89%,-
26,EPS (Basic),1.54,1.12,1.38,0.88,1.14,0.64,0.89,0.50,0.72,0.43
27,EPS (Diluted),1.54,1.12,1.38,0.88,1.14,0.64,0.89,0.50,0.72,0.43
28,EPS Growth,11.59%,27.80%,21.49%,36.83%,28.06%,29.55%,22.44%,14.58%,-7.59%,-
29,Free Cash Flow,409.58,4388,-2049,3778,-2377,780.87,590.09,405.9,81.25,421.14
30,Free Cash Flow Per Share,0.75,7.98,-3.71,6.84,-4.30,1.41,1.07,0.73,0.15,1.03
31,Operating Margin,14.19%,9.11%,13.83%,7.91%,12.22%,7.28%,11.44%,6.52%,11.80%,6.85%
32,Profit Margin,10.75%,7.78%,10.69%,6.70%,9.74%,6.30%,9.52%,6.17%,11.10%,5.63%
33,Free Cash Flow Margin,5.20%,55.40%,-28.69%,52.20%,-36.86%,13.87%,11.45%,9.15%,2.26%,13.39%
34,EBITDA,1167,748.21,1036,597.29,828.4,429.52,630.39,307.57,448.39,231.73
35,D&A For EBITDA,50.45,26.9,48.8,24.69,40.54,19.93,40.83,18.31,23.5,16.31
36,EBIT,1117,721.31,987.62,572.59,787.86,409.59,589.57,289.26,424.9,215.42
