,Fiscal Quarter,Q3 2015,Q2 2015,Q1 2015,Q4 2014,Q3 2014,Q2 2014,Q1 2014,Q4 2013,Q3 2013,Q2 2013,Q1 2013,Q4 2012,Q3 2012,Q2 2012,Q1 2012,Q4 2011,Q3 2011,Q2 2011,Q1 2011,Q4 2010,+20 Quarters
,Period Ending,"Sep '15 Sep 30, 2015","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015","Dec '14 Dec 31, 2014","Sep '14 Sep 30, 2014","Jun '14 Jun 30, 2014","Mar '14 Mar 31, 2014","Jan '14 Jan 1, 2014","Sep '13 Sep 30, 2013","Jun '13 Jun 30, 2013","Mar '13 Mar 31, 2013","Jan '13 Jan 1, 2013","Sep '12 Sep 30, 2012","Jun '12 Jun 30, 2012","Mar '12 Mar 31, 2012","Jan '12 Jan 1, 2012","Sep '11 Sep 30, 2011","Jun '11 Jun 30, 2011","Mar '11 Mar 31, 2011","Dec '10 Dec 31, 2010",+20 Quarters
0,Revenue,83465,91514,49692,64132,46187,54705,41703,40621,48901,64322,48842,56139,46626,54759,44713,58605,53816,58067,46620,42839,Upgrade
1,Revenue Growth (YoY),80.71%,67.29%,19.16%,57.88%,-5.55%,-14.95%,-14.62%,-27.64%,4.88%,17.46%,9.23%,-4.21%,-13.36%,-5.70%,-4.09%,36.80%,28.95%,19.42%,23.67%,-10.11%,Upgrade
2,Cost of Revenue,59038,65914,37574,47894,35709,44961,34013,31833,37727,43173,35518,40096,32622,42933,34033,28705,39587,45879,33027,30811,Upgrade
3,Gross Profit,24427,25600,12117,16238,10478,9743,7690,8788,11174,21149,13324,16042,14004,11826,10680,29900,14229,12188,13593,12029,Upgrade
4,"Selling, General & Admin",10400,11725,7507,9400,6430,7726,6498,8273,6117,8907,7236,10312,6527,11463,6408,28891,6445,3705,8735,9502,Upgrade
5,Other Operating Expenses,72,264.29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
6,Operating Expenses,10472,11989,7507,9400,6430,7726,6498,8273,6117,8907,7236,10312,6527,11463,6408,28891,6445,3705,8735,9502,Upgrade
7,Operating Income,13956,13611,4610,6838,4048,2017,1192,515.23,5056,12242,6088,5730,7477,362.46,4273,1008,7784,8483,4859,2526,Upgrade
8,Interest Expense,-,-318.57,-,-,-,-,-,-,-,-,-3.45,-205.59,-,-251.84,-1403,-1490,-2006,-1740,-1822,-1531,Upgrade
9,Interest & Investment Income,-,-,318.57,346.61,280.05,171.71,337.92,185.15,201.97,292.56,406.19,525.55,334.37,584.39,704.51,691.89,1115,1382,768.61,281.5,Upgrade
10,Earnings From Equity Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,-47.27,47.27,21.16,16.21,-1.06,-34.96,-19.07,Upgrade
11,Currency Exchange Gain (Loss),-,-9.07,9.07,60.31,-21.74,22.04,-0.1,70.68,-0.01,-3.33,3.33,2.08,-5.56,-9.69,-11.99,150.79,-,402.83,-,1133,Upgrade
12,Other Non Operating Income (Expenses),398.05,1058,-66.18,-255.76,-210.87,-54,34.45,1917,662.07,-1054,-93.62,1162,108.82,820.92,255.86,600.7,45.21,-412.47,249.61,-430.93,Upgrade
13,EBT Excluding Unusual Items,14354,14342,4872,6989,4096,2157,1565,2688,5920,11477,6400,7214,7914,1459,3865,983.17,6955,8115,4020,1960,Upgrade
14,Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-,-,-,-,47.28,-,-,-,-,-,-,-,-,Upgrade
15,Gain (Loss) on Sale of Assets,-,-,-,73.11,-,-,-,-1203,-,-,-,-2498,-,-,-,84.59,-,80,-,-,Upgrade
16,Pretax Income,14354,14342,4872,7062,4096,2157,1565,1485,5920,11477,6400,4764,7914,1459,3865,1068,6955,8195,4020,1960,Upgrade
17,Income Tax Expense,2917,3144,1121,1619,983.46,424.88,396.16,396.36,1491,2857,1474,819.16,1758,66.6,962.61,735.68,1587,1866,940.8,1017,Upgrade
18,Earnings From Continuing Operations,11437,11198,3751,5443,3112,1732,1168,1088,4429,8621,4926,3944,6156,1392,2902,332.08,5368,6329,3079,943.36,Upgrade
19,Minority Interest in Earnings,-1212,-1023,-255.26,-181.05,-264.04,-313.52,-442.24,70.69,-357.05,-616.19,-436.9,-189.43,-488.19,-335.8,-549.59,-338.36,-631.02,-679.6,-384.17,-266.26,Upgrade
20,Net Income,10224,10175,3496,5262,2848,1419,726.18,1159,4072,8004,4489,3755,5668,1057,2353,-6.28,4737,5650,2695,677.09,Upgrade
21,Net Income to Common,10224,10175,3496,5262,2848,1419,726.18,1159,4072,8004,4489,3755,5668,1057,2353,-6.28,4737,5650,2695,677.09,Upgrade
22,Net Income Growth,258.96%,617.21%,381.38%,354.04%,-30.06%,-82.28%,-83.82%,-69.14%,-28.15%,657.58%,90.80%,-,19.65%,-81.30%,-12.69%,-,61.86%,5.79%,44.13%,-81.71%,Upgrade
23,Shares Outstanding (Basic),33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,38,29,43,Upgrade
24,Shares Outstanding (Diluted),33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,38,29,43,Upgrade
