,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Cash & Equivalents,247.05,286.27,281.54,282.26,221.81,176.09,173.93,73.19,-
1,Cash & Short-Term Investments,247.05,286.27,281.54,282.26,221.81,176.09,173.93,73.19,-
2,Cash Growth,-12.25%,1.42%,26.93%,60.29%,27.52%,140.59%,-,-,-
3,Accounts Receivable,28.47,103.09,78.98,78.09,83.62,71.49,79.29,77.46,-
4,Other Receivables,5.4,-,-,-,-,-,-,-,-
5,Receivables,33.87,103.09,78.98,78.09,83.62,71.49,79.29,77.46,-
6,Inventory,22.84,46.47,39.12,41.51,31.31,58.69,29.2,33.96,-
7,Prepaid Expenses,-,-,-,-,-,-,3.2,-,-
8,Other Current Assets,0.6,0.7,1.42,0.64,1.77,0.57,1.57,4.25,-
9,Total Current Assets,304.36,436.51,401.05,402.49,338.5,306.85,287.19,188.86,-
10,"Property, Plant & Equipment",190.49,87.71,90.8,80.61,72.24,74.1,45.3,14.09,-
11,Other Intangible Assets,0.15,0.2,0.24,0.29,0.34,0.39,0.44,-,-
12,Long-Term Deferred Tax Assets,3.96,4.11,7.41,8.71,5.17,5.17,5.07,4.42,-
13,Other Long-Term Assets,-,-,-,9.44,12.94,9.44,9.44,1.89,-
14,Total Assets,498.95,528.53,499.5,501.53,429.19,395.94,347.43,209.26,-
15,Accounts Payable,17.03,31.28,16.32,39.26,20.38,28.82,21.79,26.88,-
16,Accrued Expenses,7.98,17.52,20.12,25.36,19.91,22.07,16.9,34.69,-
17,Short-Term Debt,0.46,-,-,-,-,-,-,5,-
18,Current Portion of Leases,0,0.07,0.13,0.39,0.1,0.34,0.34,0.34,-
19,Current Income Taxes Payable,0.35,0.01,3.76,8.34,9.61,7.28,8.23,7.31,-
20,Total Current Liabilities,25.82,48.89,40.33,73.35,50,58.51,47.26,74.22,-
21,Long-Term Leases,-,-,-,-,0.07,0.07,0.03,0.2,-
22,Long-Term Deferred Tax Liabilities,6.54,6.76,6.1,5.25,-,-,-,-,-
23,Total Liabilities,32.36,55.64,46.43,78.6,50.07,58.58,47.29,74.43,-
24,Common Stock,5.01,5.01,5.01,5.01,5.01,5.01,5.01,-,-
25,Additional Paid-In Capital,108.67,108.67,108.67,108.67,117,117,117,0.84,-
26,Retained Earnings,314.58,321.43,300.21,272.63,226.4,184.81,147.15,103.03,-
27,Comprehensive Income & Other,38.33,37.78,39.18,36.62,30.71,30.55,30.98,30.96,-
28,Shareholders' Equity,466.59,472.89,453.07,422.93,379.12,337.36,300.13,134.83,-
29,Total Liabilities & Equity,498.95,528.53,499.5,501.53,429.19,395.94,347.43,209.26,-
30,Total Debt,0.46,0.07,0.13,0.39,0.17,0.41,0.37,5.54,-
31,Net Cash (Debt),246.6,286.19,281.41,281.86,221.64,175.68,173.56,67.65,-
32,Net Cash Growth,-12.37%,1.54%,26.97%,60.44%,27.70%,159.68%,-,-,-
33,Net Cash Per Share,0.41,0.48,0.47,0.47,0.37,0.30,0.29,0.15,-
34,Filing Date Shares Outstanding,600,600,600,600,600,600,600,450,450
35,Total Common Shares Outstanding,600,600,600,600,600,600,600,450,450
36,Working Capital,278.55,387.63,360.73,329.14,288.51,248.33,239.93,114.64,-
37,Book Value Per Share,0.78,0.79,0.76,0.70,0.63,0.56,0.50,0.30,-
38,Tangible Book Value,466.45,472.69,452.83,422.64,378.78,336.97,299.7,134.83,-
39,Tangible Book Value Per Share,0.78,0.79,0.75,0.70,0.63,0.56,0.50,0.30,-
40,Buildings,-,94.34,-,89.75,-,78.54,-,19.15,-
41,Machinery,-,27.53,-,18.67,-,18.16,-,15.11,-
