,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Market Capitalization,252,240,204,294,330,312,492,558,-,-
1,Market Cap Growth,-18.37%,-18.37%,-38.18%,-5.77%,-32.93%,-44.09%,-,-,-,-
2,Enterprise Value,-13,-75,-100,-25,70,96,283,478,-,-
3,Last Close Price,0.42,0.40,0.34,0.49,0.55,0.52,0.80,0.90,-,-
4,PE Ratio,16.33,-,3.79,4.15,3.32,3.04,4.90,6.85,-,-
5,PS Ratio,0.97,0.93,0.54,0.71,0.73,0.69,1.11,1.44,-,-
6,PB Ratio,0.50,0.48,0.39,0.60,0.69,0.70,1.19,1.55,-,-
7,P/TBV Ratio,0.48,0.48,0.39,0.60,0.69,0.70,1.19,1.55,-,-
8,P/FCF Ratio,-,-,54.82,-,2.56,4.70,-32.37,-,-,-
9,P/OCF Ratio,2.82,2.82,21.85,3.83,2.32,2.92,6.96,7.51,-,-
10,EV/Sales Ratio,-,-,-,-,0.16,0.21,0.64,1.23,-,-
11,EV/EBITDA Ratio,-,-,-,-,0.46,0.66,1.99,3.75,-,-
12,EV/EBIT Ratio,-,-,-,-,0.48,0.68,2.03,3.81,-,-
13,EV/FCF Ratio,0.34,-,-,-,0.55,1.45,-18.63,-,-,-
14,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,-
15,Debt / FCF Ratio,-,-,0.02,-,0.00,0.00,-0.03,-,0.13,-
16,Return on Capital Employed (ROCE),6.63%,6.63%,14.25%,22.42%,30.15%,31.87%,33.68%,34.75%,77.53%,-
17,Earnings Yield,6.12%,6.43%,26.35%,24.07%,30.09%,32.88%,20.40%,14.61%,-,-
18,FCF Yield,-15.10%,-15.86%,1.82%,21.58%,39.08%,21.28%,-3.09%,4.66%,-,-
19,Buyback Yield / Dilution,-,-,-,-1.04%,-1.04%,-31.96%,-31.96%,-,-,
20,Total Shareholder Return,-,-,-,-1.04%,-1.04%,-31.96%,-31.96%,-,-,
