,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Revenue,76.62,163.98,180.09,203.59,196.06,188.9,171.8,150.73,157.96
1,Revenue Growth (YoY),-57.45%,-19.45%,-8.15%,7.78%,14.12%,25.32%,8.76%,-,-
2,Cost of Revenue,54.92,119.04,120.86,119.16,109.71,109.04,93.22,85.06,86.77
3,Gross Profit,21.7,44.95,59.23,84.43,86.35,79.85,78.58,65.67,71.19
4,"Selling, General & Admin",17.62,17.67,18.14,22.59,19.1,26.25,18.54,21.4,10.78
5,Operating Expenses,17.62,17.67,18.14,22.59,19.1,26.25,18.54,21.4,10.78
6,Operating Income,4.09,27.28,41.09,61.85,67.25,53.6,60.04,44.27,60.42
7,Interest Expense,-,-0,-0,-0.01,-0.01,-0.01,-0.07,-0.13,-0.12
8,Interest & Investment Income,0.43,0.19,0.72,0.38,0.29,0.24,0.19,0.1,0.04
9,Currency Exchange Gain (Loss),-0.62,1.31,-2.55,-5.91,-,0,0.04,-0.03,0.03
10,Other Non Operating Income (Expenses),0.36,0.27,-,0.41,0.01,0.2,-,-8.53,-5.57
11,EBT Excluding Unusual Items,4.26,29.05,39.26,56.72,67.54,54.03,60.19,35.68,54.8
12,Gain (Loss) on Sale of Assets,-8.59,-,-,-,-,-,-,-,-
13,Other Unusual Items,-,-,-,0.06,-,-,-,-,-
14,Pretax Income,-4.33,29.05,39.26,56.78,67.54,54.03,60.19,35.68,54.8
15,Income Tax Expense,2.52,7.84,11.68,18.87,17.63,16.37,16.07,12.02,14.88
16,Net Income,-6.85,21.22,27.58,37.91,49.92,37.66,44.12,23.66,39.92
17,Net Income to Common,-6.85,21.22,27.58,37.91,49.92,37.66,44.12,23.66,39.92
18,Net Income Growth,-,-44.04%,-44.75%,0.68%,13.14%,59.17%,10.52%,-,-
19,Shares Outstanding (Basic),600,600,600,600,600,594,594,450,450
20,Shares Outstanding (Diluted),600,600,600,600,600,594,594,450,450
21,Shares Change (YoY),-,-,-,1.04%,1.04%,31.96%,31.96%,-,-
22,EPS (Basic),-0.01,0.04,0.05,0.06,0.08,0.06,0.07,0.05,0.09
23,EPS (Diluted),-0.01,0.04,0.05,0.06,0.08,0.06,0.07,0.05,0.09
24,EPS Growth,-,-44.04%,-44.75%,-0.35%,11.98%,20.62%,-16.25%,-,-
25,Free Cash Flow,-40.03,4.61,-1.23,59.95,54.11,2.56,-14.95,36.59,5.63
26,Free Cash Flow Per Share,-0.07,0.01,-0.00,0.10,0.09,0.00,-0.03,0.08,0.01
27,Operating Margin,5.33%,16.63%,22.82%,30.38%,34.30%,28.38%,34.95%,29.37%,38.25%
28,Profit Margin,-8.94%,12.94%,15.31%,18.62%,25.46%,19.93%,25.68%,15.70%,25.27%
29,Free Cash Flow Margin,-52.25%,2.81%,-0.69%,29.45%,27.60%,1.36%,-8.70%,24.27%,3.56%
30,EBITDA,7.09,30.4,43.97,64.43,69.78,54.92,60.87,45.02,61.17
31,D&A For EBITDA,3.01,3.12,2.87,2.58,2.54,1.32,0.84,0.75,0.76
32,EBIT,4.09,27.28,41.09,61.85,67.25,53.6,60.04,44.27,60.42
