,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,280,560,200,229,185,256,353,404,292,243,336,Upgrade
1,Market Cap Growth,144.68%,144.68%,7.89%,-10.48%,-47.59%,-36.75%,20.83%,66.00%,-13.04%,-3.85%,-27.99%,Upgrade
2,Enterprise Value,81,324,-65,-94,-98,-74,61,92,145,165,312,Upgrade
3,Last Close Price,0.12,0.23,0.08,0.09,0.07,0.09,0.13,0.15,0.11,0.08,0.11,Upgrade
4,PE Ratio,-,-32.39,-,19.43,25.30,-26.29,-,95.25,-,79.06,-,Upgrade
5,PS Ratio,0.92,1.85,0.47,0.56,0.59,1.57,5.34,11.17,-,8.28,-,Upgrade
6,PB Ratio,0.40,0.79,0.28,0.31,0.24,0.32,0.43,0.49,0.36,0.31,0.44,Upgrade
7,P/TBV Ratio,0.79,0.79,0.28,0.31,0.24,0.32,0.43,0.49,0.36,0.32,0.44,Upgrade
8,P/FCF Ratio,-,-,18.48,-,-12.80,-,-38.14,-,-,3.32,-,Upgrade
9,P/OCF Ratio,-,-,13.50,5.37,-12.94,-,-48.58,-,-,3.19,-,Upgrade
10,EV/Sales Ratio,0.27,1.07,-,-,-,-,0.92,2.56,-,5.62,-,Upgrade
11,EV/EBITDA Ratio,3.94,16.98,-,-,-,-,-,8.00,-,9.85,-,Upgrade
12,EV/EBIT Ratio,37.24,149.49,-,-,-,-,-,39.35,-,-,-,Upgrade
13,EV/FCF Ratio,-9.97,-,-,-,-,-,-6.60,-,-,2.25,-,Upgrade
14,Debt / Equity Ratio,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.09,0.12,Upgrade
15,Debt / FCF Ratio,-,-,1.19,-,-0.99,-,-1.65,-,-,0.98,-,Upgrade
16,Return on Capital Employed (ROCE),0.30%,0.30%,1.00%,1.69%,1.62%,-0.90%,-,0.27%,-,-,-,Upgrade
17,Earnings Yield,-6.18%,-3.09%,-6.71%,5.15%,3.95%,-3.80%,-1.92%,1.05%,-,1.26%,-,Upgrade
18,FCF Yield,-2.89%,-1.45%,5.41%,16.87%,-7.81%,-14.81%,-2.62%,-6.53%,-,30.13%,-,Upgrade
19,Dividend Yield,0.00%,-,-,-,-,-,-,-,-,12.14%,-,Upgrade
20,Buyback Yield / Dilution,-,-,-,-,-,-,-,-,0.31%,-,Upgrade,
21,Total Shareholder Return,-,-,-,-,-,-,-,-,12.44%,-,Upgrade,
