,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,522,945,657,310,240,429,416,339,-,-,-
1,Market Cap Growth,204.33%,204.33%,173.60%,-27.61%,-42.31%,26.42%,-,-,-,-,-
2,Enterprise Value,361,732,444,194,63,39,82,114,-,-,-
3,Last Close Price,0.14,0.25,0.17,0.10,0.07,0.13,0.13,0.11,-,-,-
4,PE Ratio,43.92,86.43,63.69,15.76,6.45,7.27,6.20,7.07,-,-,-
5,PS Ratio,1.83,3.61,2.27,1.05,0.79,1.19,1.07,1.01,-,-,-
6,PB Ratio,1.25,2.22,1.52,0.81,0.61,1.10,1.09,1.00,-,-,-
7,P/TBV Ratio,2.26,2.26,1.57,0.84,0.63,1.14,1.10,1.01,-,-,-
8,P/FCF Ratio,-,-,-28.25,-,-,-,-35.28,-,-,-,-
9,P/OCF Ratio,38.40,-,-30.53,-,-,-,-51.55,-,-,-,-
10,EV/Sales Ratio,1.38,2.80,1.54,0.65,0.21,0.11,0.21,0.34,-,-,-
11,EV/EBITDA Ratio,17.33,33.34,27.72,18.02,2.05,0.53,0.86,1.72,-,-,-
12,EV/EBIT Ratio,33.76,61.97,71.91,-,2.54,0.58,0.93,1.91,-,-,-
13,EV/FCF Ratio,-18.21,-,-19.11,-,-,-,-6.96,-,-,-,-
14,Debt / Equity Ratio,-,-,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.04
15,Debt / FCF Ratio,-,-,-0.01,-,-,-,-0.02,-,0.02,0.03,0.09
16,Return on Capital Employed (ROCE),2.77%,2.78%,1.42%,-,6.27%,17.22%,23.20%,17.60%,32.57%,46.75%,51.71%
17,Earnings Yield,2.09%,1.16%,1.57%,6.35%,15.50%,13.76%,16.12%,14.15%,-,-,-
18,FCF Yield,-3.80%,-2.10%,-3.54%,-37.37%,-34.90%,-5.60%,-2.83%,5.56%,-,-,-
19,Buyback Yield / Dilution,-10.27%,-20.00%,-0.55%,-,0.02%,-2.40%,-33.36%,-30.20%,6.68%,-12.24%,-
20,Total Shareholder Return,-10.27%,-20.00%,-0.55%,-,0.02%,-2.40%,-33.36%,-30.20%,6.68%,-12.24%,-
