,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,188613,189326,199666,236747,254931,260992,233895,224268,228190,209293,276680,Upgrade
1,Market Cap Growth,-20.03%,-20.03%,-21.68%,-9.29%,8.99%,16.38%,2.50%,7.16%,-17.53%,-12.22%,32.62%,Upgrade
2,Enterprise Value,536137,526067,498379,567851,507461,520992,469743,420605,419330,367155,440847,Upgrade
3,Last Close Price,26.45,26.27,26.40,31.10,32.10,32.66,27.95,26.61,26.11,23.83,30.51,Upgrade
4,PE Ratio,6.30,6.32,5.78,7.02,8.03,7.46,5.88,5.91,6.45,6.95,8.59,Upgrade
5,Forward PE,6.83,5.95,6.12,7.13,7.70,7.21,6.62,6.82,7.16,7.42,9.22,Upgrade
6,PS Ratio,0.68,0.68,0.72,1.06,1.09,1.05,0.90,0.90,1.07,1.29,1.67,Upgrade
7,PB Ratio,0.68,0.45,0.47,0.61,0.66,0.72,0.65,0.70,0.75,0.85,1.05,Upgrade
8,P/TBV Ratio,0.67,0.67,0.69,0.89,0.94,0.99,0.84,0.89,0.94,1.07,1.33,Upgrade
9,P/FCF Ratio,15.38,-,3.92,6.66,-,10.83,39.36,-,9.89,-,8.08,Upgrade
10,P/OCF Ratio,14.17,-,3.83,6.39,-,9.78,27.11,-,8.61,-,7.32,Upgrade
11,PEG Ratio,-,-,1.04,1.04,1.69,0.88,0.68,0.76,0.55,0.52,0.53,Upgrade
12,EV/Sales Ratio,1.94,1.90,1.80,2.54,2.17,2.11,1.80,1.68,1.97,2.27,2.66,Upgrade
13,EV/EBITDA Ratio,9.68,9.93,9.03,12.41,10.23,10.25,8.30,6.67,7.73,7.61,8.60,Upgrade
14,EV/EBIT Ratio,9.92,10.11,9.20,12.70,10.44,10.47,8.46,6.77,7.85,7.73,8.72,Upgrade
15,EV/FCF Ratio,43.71,-,9.79,15.97,-,21.61,79.05,-,18.17,-,12.88,Upgrade
16,Debt / Equity Ratio,0.80,0.80,0.80,0.84,0.85,0.82,0.87,0.89,0.81,0.84,0.67,Upgrade
17,Debt / FCF Ratio,27.78,-,6.62,9.12,-,12.24,52.53,-,10.64,-,5.16,Upgrade
18,Return on Capital Employed (ROCE),7.70%,7.70%,8.10%,7.09%,7.76%,8.20%,9.32%,11.11%,10.58%,11.57%,12.05%,Upgrade
19,Earnings Yield,15.88%,15.82%,17.31%,14.25%,12.46%,13.41%,17.00%,16.93%,15.63%,14.57%,11.75%,Upgrade
20,FCF Yield,6.50%,6.48%,25.50%,15.02%,-0.30%,9.24%,2.54%,4.90%,10.11%,10.05%,12.37%,Upgrade
21,Dividend Yield,5.86%,5.90%,6.01%,4.92%,4.93%,4.98%,6.06%,5.76%,5.70%,5.00%,3.91%,Upgrade
22,Buyback Yield / Dilution,-,-,-,-,-,-,-,-1.91%,-2.89%,-0.96%,Upgrade,
23,Total Shareholder Return,5.86%,5.90%,6.01%,4.92%,4.93%,4.98%,6.06%,5.76%,3.79%,2.12%,2.95%,Upgrade
