,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Feb '25 Feb 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,228,255,260,305,360,325,460,450,460,480,490
1,Market Cap Growth,-16.39%,-16.39%,-27.78%,-6.15%,-21.74%,-27.78%,0%,-6.25%,-6.12%,4.35%,0%
2,Enterprise Value,282,337,358,351,493,292,531,369,493,418,565
3,Last Close Price,0.23,0.26,0.26,0.30,0.36,0.33,0.46,0.45,0.45,0.47,0.47
4,PE Ratio,-,-,-,-,-,-,-,-,-42.59,-,-17.48
5,PS Ratio,0.61,0.68,0.55,0.53,0.56,0.43,0.55,0.53,0.65,0.71,0.69
6,PB Ratio,0.55,0.61,0.58,0.63,0.69,0.71,0.86,0.80,0.79,0.98,0.92
7,P/TBV Ratio,0.61,0.61,0.58,0.63,0.69,0.72,0.87,0.80,0.79,0.98,0.92
8,P/FCF Ratio,5.85,-,3.26,4.78,-7.52,-,182.61,-,201.75,-,6.69
9,P/OCF Ratio,6.34,-,3.11,5.13,-9.69,-,22.17,-,16.21,-,5.60
10,EV/Sales Ratio,0.76,0.90,0.76,0.61,0.77,0.39,0.63,0.43,0.69,0.62,0.79
11,EV/EBITDA Ratio,-,-,-,-,-,-,-,-,24.27,-,-69.66
12,EV/EBIT Ratio,-,-,-,-,-,-,-,-,-230.97,-,-19.14
13,EV/FCF Ratio,7.25,-,4.50,5.51,-10.29,-,210.86,-,216.29,-,7.71
14,Debt / Equity Ratio,0.47,0.47,0.50,0.45,0.47,0.53,0.41,0.41,0.38,0.46,0.41
15,Debt / FCF Ratio,5.06,-,2.80,3.44,-5.14,-,87.16,-,96.50,-,2.99
16,Return on Capital Employed (ROCE),-,-,-,-,-,-,-,-,-0.35%,-,-5.40%
17,Earnings Yield,-30.96%,-27.68%,-25.81%,-19.41%,-27.25%,-28.65%,-12.94%,-1.50%,-2.35%,-0.17%,-5.72%
18,FCF Yield,17.08%,15.27%,30.63%,20.92%,-13.30%,-8.83%,0.55%,-6.17%,0.50%,8.08%,14.94%
