,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022"
0,Market Capitalization,3463,3167,3136,2970,3548,3581,-,-,-,-,-
1,Market Cap Growth,-11.55%,-11.55%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2896,2601,2489,2175,3505,3538,-,-,-,-,-
3,Last Close Price,25.46,23.29,23.06,21.67,25.89,26.13,-,-,-,-,-
4,PE Ratio,-,-,-,-,-,50.02,-,-,-,-,-
5,PS Ratio,3.81,3.47,2.28,1.99,1.93,1.83,-,-,-,-,-
6,PB Ratio,2.11,1.93,1.92,1.78,2.08,2.08,-,-,-,-,-
7,P/TBV Ratio,2.02,2.02,2.00,1.85,2.17,2.16,-,-,-,-,-
8,P/FCF Ratio,-,-,-,-,-,-247.50,-,-,-,-,-
9,P/OCF Ratio,-,-,-,-,-,104.11,-,-,-,-,-
10,EV/Sales Ratio,3.17,2.85,1.81,1.46,1.91,1.81,-,-,-,-,-
11,EV/EBITDA Ratio,-,-,-,-,-,44.18,-,-,-,-,-
12,EV/EBIT Ratio,-,-,-,-,-,64.61,-,-,-,-,-
13,EV/FCF Ratio,-,-,-,-,-,-244.53,-,-,-,-,-
14,Debt / Equity Ratio,0.01,0.01,0.01,0.01,0.01,0.01,0.08,-,0.09,0.09,-
15,Debt / EBITDA Ratio,-,-,-,-,-,0.14,-,-,3.65,0.47,-
16,Debt / FCF Ratio,-,-,-,-,-,-1.36,-,-,-,0.25,-
17,Asset Turnover,-,0.33,0.28,0.31,1.18,-,-,-,-,-,
18,Inventory Turnover,-,-,2.22,2.00,2.49,5.74,-,-,-,-,-
19,Quick Ratio,-,-,1.69,1.72,1.78,1.63,1.00,-,-,0.90,-
20,Current Ratio,-,-,2.26,2.23,2.22,2.03,1.68,-,-,1.51,-
21,Return on Equity (ROE),-19.78%,-8.64%,-3.19%,-4.62%,13.71%,-,-,-1.37%,-,-,
22,Return on Assets (ROA),-,-3.45%,-1.97%,-2.24%,2.08%,-,-,-,-,-,
23,Return on Capital (ROIC),-13.80%,-5.12%,-2.96%,-3.50%,3.59%,-,-,0.53%,-,-,
24,Return on Capital Employed (ROCE),-,-,-,-,-,3.09%,-,-,-,4.30%,-
25,Earnings Yield,-4.33%,-4.74%,-0.58%,0.11%,1.58%,2.00%,-,-,-,-,-
26,FCF Yield,-,3.30%,2.06%,2.38%,-0.40%,-,-,-,-,-,
27,Dividend Yield,0.63%,-,-,-,-,0.61%,-,-,-,-,-
28,Payout Ratio,0.00%,-,-,-,-,1.11%,-,2.04%,-,4.56%,-
29,Buyback Yield / Dilution,-29.51%,-27.09%,-21.19%,-43.41%,-27.02%,-10.52%,-2.44%,-,-,-,-
30,Total Shareholder Return,-28.88%,-27.09%,-21.19%,-43.41%,-27.02%,-9.91%,-2.44%,-,-,-,-
