,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022"
0,Operating Revenue,318.24,226.87,158.68,208.49,744.55,338.16,514.03,320.58,864.59,437.53
1,Other Revenue,-,-19.71,19.71,-,34.62,-10.95,10.95,-,39.82,-
2,Revenue,318.24,207.15,178.39,208.49,779.17,327.21,524.98,320.58,904.41,437.53
3,Revenue Growth (YoY),-59.16%,-36.69%,-66.02%,-34.97%,-13.85%,-25.22%,-,-,-,-
4,Cost of Revenue,565.86,184.2,149.32,182.81,684.13,279.75,434.83,264.65,764.17,361.18
5,Gross Profit,-247.62,22.95,29.08,25.67,95.04,47.46,90.15,55.93,140.24,76.35
6,"Selling, General & Admin",-93.98,34.97,28.86,30.16,37.75,33.06,30.3,32.8,50.74,39.08
7,Research & Development,-62.17,20.39,21.99,19.79,35.04,26.18,18.55,21.72,31.38,26.02
8,Other Operating Expenses,3.6,-3.86,0.44,-0.19,7.39,1.81,-6.49,0.01,11.09,0.45
9,Operating Expenses,-156.44,57.19,49.26,50,72.92,55.14,52.62,53.14,97.53,60.78
10,Operating Income,-91.17,-34.24,-20.18,-24.32,22.12,-7.68,37.53,2.79,42.7,15.57
11,Interest Expense,-9.04,-0.23,-0.29,-0.25,-0.7,-0.9,-0.93,-0.96,-0.96,-0.39
12,Interest & Investment Income,0.76,1.9,3.81,3.33,1.45,0.56,0.74,1.84,1.17,0.8
13,Currency Exchange Gain (Loss),-,-0.62,0.62,-,0.26,-0.16,0.16,-,0.16,-
14,Other Non Operating Income (Expenses),-0.47,3.71,-1.14,-0.09,-0.12,-0.47,-0.48,0.09,-0.71,0
15,EBT Excluding Unusual Items,-99.92,-29.47,-17.17,-21.33,23,-8.64,37.02,3.76,42.37,15.98
16,Gain (Loss) on Sale of Assets,-1.35,0.26,0.88,0.2,0.1,-0.14,0.57,-,0.15,0.01
17,Asset Writedown,6.5,-5.48,-4.83,3.81,6.76,-9.26,3.6,-5.01,-6.31,1.39
18,Other Unusual Items,-,-5.59,5.32,0.28,17.75,1.54,-1.54,-,9.15,-
19,Pretax Income,-94.77,-40.28,-15.81,-17.04,47.61,-16.49,39.65,-1.25,45.35,17.38
20,Income Tax Expense,-13.81,-4.54,-2.35,2.78,-3.22,-2.36,0.59,2.91,1.99,-2.31
21,Net Income,-80.97,-35.74,-13.46,-19.82,50.83,-14.14,39.06,-4.16,43.36,19.69
22,Net Income to Common,-80.97,-35.74,-13.46,-19.82,50.83,-14.14,39.06,-4.16,43.36,19.69
23,Net Income Growth,-,-,-,-,17.24%,-,-,-,-,-
24,Shares Outstanding (Basic),139,129,145,132,110,106,101,104,99,104
25,Shares Outstanding (Diluted),139,129,145,132,110,106,101,104,99,104
26,Shares Change (YoY),27.09%,21.19%,43.41%,27.02%,10.52%,2.44%,-,-,-,-
27,EPS (Basic),-0.58,-0.28,-0.09,-0.15,0.46,-0.13,0.39,-0.04,0.44,0.19
28,EPS (Diluted),-0.58,-0.28,-0.09,-0.15,0.46,-0.13,0.39,-0.04,0.44,0.19
29,EPS Growth,-,-,-,-,6.07%,-,-,-,-,-
30,Free Cash Flow,-,-59.02,-151.81,-133.8,448.08,-101.17,-128.6,-232.78,443.18,-
31,Free Cash Flow Per Share,-,-0.46,-1.05,-1.01,4.08,-0.95,-1.27,-2.24,4.47,-
32,Dividend Per Share,-,-,-,-,0.160,-,-,-,-,-
33,Gross Margin,-77.81%,11.08%,16.30%,12.31%,12.20%,14.50%,17.17%,17.45%,15.51%,17.45%
34,Operating Margin,-28.65%,-16.53%,-11.31%,-11.67%,2.84%,-2.35%,7.15%,0.87%,4.72%,3.56%
35,Profit Margin,-25.44%,-17.25%,-7.55%,-9.51%,6.52%,-4.32%,7.44%,-1.30%,4.79%,4.50%
36,Free Cash Flow Margin,-,-28.49%,-85.10%,-64.17%,57.51%,-30.92%,-24.50%,-72.61%,49.00%,-
37,EBITDA,-83.12,-26.18,-10.95,-16.27,30.17,-2.92,45.27,7.55,47.47,20.08
38,EBITDA Margin,-26.12%,-12.64%,-6.14%,-7.80%,3.87%,-0.89%,8.62%,2.36%,5.25%,4.59%
39,D&A For EBITDA,8.06,8.06,9.23,8.06,8.06,4.76,7.74,4.76,4.76,4.52
40,EBIT,-91.17,-34.24,-20.18,-24.32,22.12,-7.68,37.53,2.79,42.7,15.57
41,EBIT Margin,-28.65%,-16.53%,-11.31%,-11.67%,2.84%,-2.35%,7.15%,0.87%,4.72%,3.56%
42,Effective Tax Rate,-,-,-,-,-,-,1.48%,-,4.40%,-
43,Revenue as Reported,-,207.15,178.39,208.49,779.17,327.21,524.98,320.58,904.41,437.53
