,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022"
0,Cash & Equivalents,-,431.37,663.88,814.23,952.55,141.64,-,-,613.68,-
1,Trading Asset Securities,-,150,-,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,581.37,581.37,663.88,814.23,952.55,141.64,-,613.68,613.68,-
3,Cash Growth,-38.97%,310.45%,-,32.68%,55.22%,-,-,-,-,-
4,Accounts Receivable,-,702.95,729.5,697.62,741,960.3,-,-,691.15,-
5,Other Receivables,-,19.5,17.07,16.57,13.81,16.37,-,-,8.11,-
6,Receivables,-,722.45,746.57,714.19,754.81,976.67,-,-,699.26,-
7,Inventory,-,346.54,316.07,281.79,306.6,646.14,-,-,818.5,-
8,Other Current Assets,-,89.19,102.9,95.26,111.66,117.63,-,-,66.6,-
9,Total Current Assets,-,1740,1829,1905,2126,1882,-,-,2198,-
10,"Property, Plant & Equipment",-,465.07,474.22,463.08,468.84,453.92,-,-,432.62,-
11,Other Intangible Assets,-,68.92,69.89,70.87,71.3,70.91,-,-,74.08,-
12,Long-Term Accounts Receivable,-,-,106.82,-,101.89,-,-,-,58.91,-
13,Long-Term Deferred Tax Assets,-,41.59,37.14,35.1,37.78,34.96,-,-,32.69,-
14,Long-Term Deferred Charges,-,3.09,0.88,0.06,0.04,0.04,-,-,0.15,-
15,Other Long-Term Assets,-,118.22,9.25,131.35,10.93,45.59,-,-,15.62,-
16,Total Assets,-,2436,2528,2606,2816,2488,-,-,2812,-
17,Accounts Payable,-,556.92,590.97,679.6,831.3,766.29,-,-,889.83,-
18,Accrued Expenses,-,31.12,36.81,31.37,73.12,36.27,-,-,95.34,-
19,Current Portion of Long-Term Debt,-,5.43,-,-,-,6.01,-,-,3.09,-
20,Current Portion of Leases,-,-,5.39,5.73,5.45,-,-,-,6.79,-
21,Current Income Taxes Payable,-,1.66,0.15,3.55,-,3.95,-,-,-,-
22,Current Unearned Revenue,-,100.89,97.75,65.57,69.07,238.34,-,-,398.32,-
23,Other Current Liabilities,-,74.72,90.76,73.78,66.48,71.07,-,-,64.03,-
24,Total Current Liabilities,-,770.73,821.84,859.61,1045,1122,-,-,1457,-
25,Long-Term Debt,-,-,-,-,-,80.95,-,-,80.95,-
26,Long-Term Leases,-,9.13,11.45,12.88,14.16,11.79,-,-,19.45,-
27,Long-Term Unearned Revenue,-,0.57,0.62,0.68,0.93,0.99,-,-,1.19,-
28,Long-Term Deferred Tax Liabilities,-,2.28,2.53,2.73,2.86,2.38,-,-,2.95,-
29,Other Long-Term Liabilities,-,16.06,18.65,23.2,27.33,30.16,-,-,31.94,-
30,Total Liabilities,-,798.77,855.09,899.1,1091,1248,-,-,1594,-
31,Common Stock,-,136,136,136,136,102,-,-,102,-
32,Additional Paid-In Capital,-,1148,1148,1148,1148,746.32,-,-,746.32,-
33,Retained Earnings,-,341.43,377.17,412.39,432.21,381.38,-,-,360.62,-
34,Comprehensive Income & Other,-,12.28,11.38,10.47,9.53,9.61,-,-,9.28,-
35,Shareholders' Equity,1638,1638,1673,1707,1726,1239,-,1218,1218,-
36,Total Liabilities & Equity,-,2436,2528,2606,2816,2488,-,-,2812,-
37,Total Debt,14.56,14.56,16.84,18.61,19.61,98.75,-,110.28,110.28,-
38,Net Cash (Debt),566.81,566.81,647.04,795.62,932.94,42.89,-,503.39,503.39,-
39,Net Cash Growth,-39.25%,1221.68%,-,58.05%,85.33%,-,-,-,-,-
40,Net Cash Per Share,4.07,4.41,4.46,6.02,8.50,0.40,-,4.84,5.07,-
41,Filing Date Shares Outstanding,136,136,136,136,136,136,101.25,104.03,102,103.63
42,Total Common Shares Outstanding,136,136,136,136,136,102,101.25,104.03,102,103.63
43,Working Capital,-,968.82,1008,1046,1080,760.15,-,-,740.63,-
44,Book Value Per Share,12.04,12.04,12.30,12.55,12.69,12.15,-,11.94,11.94,-
45,Tangible Book Value,1569,1569,1603,1636,1654,1168,-,1144,1144,-
46,Tangible Book Value Per Share,11.53,11.53,11.78,12.03,12.16,11.45,-,11.22,11.22,-
47,Buildings,-,-,370.52,-,370.36,-,-,-,369.93,-
48,Machinery,-,-,183.69,-,167.32,-,-,-,120.72,-
49,Construction In Progress,-,-,11.77,-,6.13,-,-,-,2.09,-
