,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,863,141,14691,17865,19393,16249,18423,17395,20274,23477,22919,Upgrade
1,Market Cap Growth,-99.21%,-99.21%,-24.24%,9.95%,5.26%,-6.59%,-9.13%,-25.91%,-11.54%,16.98%,20.74%,Upgrade
2,Enterprise Value,16101,18706,24221,26575,27251,25258,26234,26600,30381,35382,33011,Upgrade
3,Last Close Price,0.28,0.05,5.00,6.08,6.60,5.53,6.27,5.92,6.90,7.99,7.80,Upgrade
4,PE Ratio,-,-0.17,-,115.88,-,15.32,12.50,7.64,9.18,12.96,11.26,Upgrade
5,PS Ratio,0.12,0.02,1.69,1.70,1.55,1.13,1.18,1.14,1.40,1.81,1.69,Upgrade
6,PB Ratio,0.05,0.01,0.84,0.99,1.03,0.84,0.93,0.93,1.15,1.56,1.58,Upgrade
7,P/TBV Ratio,0.01,0.01,0.97,1.14,1.18,0.94,1.06,1.05,1.31,1.72,1.75,Upgrade
8,P/FCF Ratio,-,-0.04,-,6.04,4.44,8.27,-,4.89,8.07,8.72,11.71,Upgrade
9,P/OCF Ratio,-,-0.05,-,4.83,3.64,6.38,5.50,4.28,6.48,6.74,8.14,Upgrade
10,EV/Sales Ratio,2.31,2.69,2.79,2.53,2.18,1.75,1.68,1.75,2.10,2.72,2.44,Upgrade
11,EV/EBITDA Ratio,15.29,16.15,16.40,12.04,9.41,8.02,7.27,5.75,6.39,7.46,6.51,Upgrade
12,EV/EBIT Ratio,165.05,78.44,52.21,26.80,17.06,14.22,11.87,8.15,8.89,9.73,8.36,Upgrade
13,EV/FCF Ratio,-4.62,-5.37,-,8.98,6.24,12.85,-,7.48,12.09,13.14,16.86,Upgrade
14,Debt / Equity Ratio,0.92,0.92,1.12,0.57,0.51,0.55,0.59,0.55,0.68,0.81,0.95,Upgrade
15,Debt / FCF Ratio,-,-4.47,-,3.48,2.19,5.43,-,2.91,4.74,4.50,7.06,Upgrade
16,Return on Capital Employed (ROCE),1.08%,1.08%,1.94%,4.49%,7.51%,7.57%,9.28%,13.14%,15.14%,17.35%,17.67%,Upgrade
17,Earnings Yield,-94.11%,-576.04%,-4.75%,0.86%,2.62%,6.53%,8.00%,13.09%,10.90%,7.72%,8.88%,Upgrade
18,FCF Yield,-403.79%,-2471.69%,-34.49%,16.56%,22.53%,12.09%,16.22%,20.46%,12.39%,11.47%,8.54%,Upgrade
