,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q1 2019
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Mar '19 Mar 31, 2019"
0,Operating Revenue,703.63,634.85,547.99,682.85,685.14,635.2,586.93,536.38,1266,317.25,292.14,181.62,321.15,251.73,223.12,180.98,270.35,198.79,137.26,128.84
1,Other Revenue,-39.51,39.51,-,85.45,-30.81,30.81,-,99.86,-23.87,23.87,-,36.13,-21.34,21.34,-,28.78,-17.51,17.51,-,-
2,Revenue,664.12,674.36,547.99,768.3,654.33,666.01,586.93,636.24,1242,341.11,292.14,217.75,299.81,273.08,223.12,209.76,252.84,216.31,137.26,128.84
3,Revenue Growth (YoY),1.50%,1.25%,-6.63%,20.76%,-47.33%,95.24%,100.91%,192.18%,314.39%,24.92%,30.93%,3.81%,18.58%,26.25%,62.55%,62.81%,-,-,-,-
4,Cost of Revenue,421.94,449.65,365.14,477.72,408.03,439.83,397.54,394.96,731.62,248.68,206.97,157.31,213.82,194.85,155.91,147.25,174.48,153.81,97.39,89.89
5,Gross Profit,242.18,224.71,182.85,290.58,246.3,226.18,189.39,241.28,510.75,92.43,85.17,60.45,85.99,78.23,67.21,62.5,78.36,62.5,39.88,38.95
6,"Selling, General & Admin",30.17,30.89,26.45,32.05,26.55,28.9,25.89,27.98,56.76,13.31,10.89,9.47,11.62,11.41,10.99,10.83,8.1,7.37,6.08,7.08
7,Research & Development,65.64,65.34,72.27,85.64,70.03,70.83,54.74,86.38,133.47,46.48,38.97,38.4,39.38,34.35,28.93,38.79,31.93,23.55,14.32,12.44
8,Other Operating Expenses,-36.18,-1.79,-5.43,-6.51,-2.84,-16.53,-0.78,-6.34,-14.61,-3.54,-1.69,10.96,-1.96,-4.03,-2.09,5.86,-0.83,-0.73,-2.74,0.43
9,Operating Expenses,53.37,106.21,93.19,119.15,87.36,81.62,89.4,111.93,176.68,56.64,52.34,56.51,51.05,42.74,39.1,48.29,43.94,30.94,20.93,22.01
10,Operating Income,188.81,118.5,89.66,171.44,158.93,144.55,99.98,129.35,334.07,35.79,32.83,3.94,34.94,35.49,28.11,14.21,34.41,31.56,18.95,16.94
11,Interest Expense,-1.12,-1.39,-1.43,-1.43,-1.17,-1.53,-1.51,-1.53,-4.4,-,-,-,-,-,-,-,-0.01,-0.2,-0.07,-0.25
12,Interest & Investment Income,24.37,14.78,10.3,9.42,3.41,4.31,5.79,3.68,5.85,1.4,2.15,2.11,2.62,2.08,1.74,0.05,0.05,0.07,-,0.15
13,Currency Exchange Gain (Loss),0.22,-0.22,-,8.99,-11.5,11.5,-,16.53,-4.66,4.66,-,-1.92,0.61,-0.61,-,-5.07,-0.21,0.21,-,-1.56
14,Other Non Operating Income (Expenses),-0.77,0.86,-1.13,-11.94,11.26,2.15,-1.84,-22.18,20.34,3.4,0.57,1.11,5.74,-6,-0.97,-0.31,0.65,-0.43,0.21,-0.04
15,EBT Excluding Unusual Items,211.51,132.54,97.4,176.48,160.93,160.97,102.43,125.85,351.18,45.25,35.55,5.24,43.9,30.96,28.88,8.88,34.89,31.23,19.09,15.24
16,Gain (Loss) on Sale of Investments,-7.63,5.24,8.79,-0.04,0.01,-0.06,0.11,-0.2,-0.05,0.37,-,0.25,-,-,-,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,-,0,-,-0.05,-,-,-,-,-,-,-,-,0.03,-0.03,-,-,-,-,-,-
