,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q1 2019
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Mar '19 Mar 31, 2019"
0,Market Capitalization,21583,20987,20857,22037,28426,29119,27831,18617,20133,20085,13506,13751,12513,8487,8169,6306,-,-,-,-,-
1,Market Cap Growth,-27.92%,-27.92%,-25.06%,18.37%,41.19%,44.98%,106.07%,35.39%,60.90%,136.67%,65.34%,118.05%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,18080,17721,17410,20945,27334,28736,27486,18312,19763,19776,13180,13295,12057,8013,7727,6237,-,-,-,-,-
3,Last Close Price,47.85,46.53,46.24,48.55,62.63,70.73,94.49,63.21,68.36,68.19,45.86,46.60,42.41,28.76,27.68,21.30,-,-,-,-,-
4,PE Ratio,34.33,40.70,43.84,45.33,58.01,65.39,45.92,36.64,44.01,53.21,94.52,106.57,102.85,72.05,74.46,58.06,-,-,-,-,-
5,Forward PE,38.13,34.07,31.43,44.85,64.96,106.99,121.02,81.45,91.28,100.62,72.49,71.24,69.53,50.84,-,-,-,-,-,-,-
6,PS Ratio,6.67,7.91,7.89,8.36,10.62,11.45,8.89,6.63,8.02,9.59,11.74,12.70,12.34,8.44,8.52,6.99,-,-,-,-,-
7,PB Ratio,3.68,3.39,3.45,3.66,4.81,8.81,20.85,14.41,6.93,16.33,11.40,11.80,11.08,7.66,7.67,5.93,-,-,-,-,-
8,P/TBV Ratio,3.69,3.69,3.74,3.96,5.19,10.18,21.13,14.61,8.56,16.56,11.56,11.97,11.24,7.76,7.78,6.01,-,-,-,-,-
9,P/FCF Ratio,190.18,184.94,-,104.52,-,104.57,57.67,50.59,-,82.70,-90.63,-,-,-,145.59,-,-,-,-,-,-
10,P/OCF Ratio,34.07,34.07,47.24,39.86,-,44.29,27.85,21.65,-,33.01,552.60,-,147.39,-,76.21,-,-,-,-,-,-
11,EV/Sales Ratio,6.81,6.68,6.58,7.94,10.22,11.30,8.78,6.52,7.87,9.45,11.45,12.28,11.89,7.97,8.06,6.91,-,-,-,-,-
12,EV/EBITDA Ratio,24.94,24.57,25.28,29.64,38.28,42.95,33.48,26.65,33.11,44.11,89.93,91.38,87.32,55.01,54.26,46.23,-,-,-,-,-
13,EV/EBIT Ratio,31.81,31.18,32.33,37.10,47.54,53.93,38.82,30.56,37.15,48.63,122.61,124.03,117.66,71.07,68.85,57.59,-,-,-,-,-
14,EV/FCF Ratio,159.32,156.16,-,99.34,-,103.19,56.96,49.76,-,81.43,-88.44,-,-,-,137.72,-,-,-,-,-,-
15,Debt / Equity Ratio,0.00,0.00,0.03,0.03,0.03,0.03,-,-,0.06,-,-,-,-,-,-,-,-,-,0.03,-,0.04
16,Debt / EBITDA Ratio,0.02,0.01,0.26,0.32,0.19,0.14,-,-,0.26,-,-,-,-,-,-,-,-,-,0.13,-,0.24
17,Debt / FCF Ratio,0.12,0.12,-,0.76,-,0.40,-,-,-,-,-,-,-,-,-,-,-,-,-1.45,-,-
18,Asset Turnover,0.34,0.35,0.30,0.51,0.77,1.38,0.75,0.82,2.72,0.81,0.74,0.56,0.78,0.73,0.61,-,-,-,-,-,
19,Inventory Turnover,2.54,2.54,2.71,2.25,2.99,3.28,5.39,3.05,3.09,9.52,3.35,3.05,2.58,3.67,3.26,2.60,-,-,-,-,-
20,Quick Ratio,3.82,3.82,3.54,3.72,4.38,1.83,1.55,1.56,1.64,1.61,1.66,1.92,2.07,2.19,2.13,2.19,2.29,-,1.16,-,1.70
21,Current Ratio,4.41,4.41,4.06,4.32,5.00,2.39,2.16,2.25,2.30,2.17,2.33,2.72,2.85,2.81,2.85,3.04,3.04,-,1.82,-,2.45
22,Return on Equity (ROE),11.76%,9.64%,6.67%,14.89%,24.59%,48.71%,18.12%,23.33%,109.09%,14.40%,12.43%,7.78%,15.91%,10.68%,10.78%,-,-,-,-,-,
23,Return on Assets (ROA),6.11%,3.87%,3.02%,7.10%,11.69%,18.70%,8.03%,10.39%,45.80%,5.29%,5.19%,0.63%,5.65%,5.93%,4.84%,-,-,-,-,-,
24,Return on Capital (ROIC),7.60%,4.78%,3.66%,9.03%,16.73%,27.52%,11.45%,15.02%,69.18%,7.62%,7.15%,0.88%,8.04%,8.34%,6.70%,-,-,-,-,-,
25,Return on Capital Employed (ROCE),8.79%,8.79%,8.52%,8.96%,9.29%,15.00%,50.65%,44.23%,16.89%,31.46%,8.66%,8.78%,8.63%,9.61%,9.91%,9.61%,9.01%,-,10.04%,-,3.13%
26,Earnings Yield,2.39%,2.46%,2.28%,2.21%,1.72%,1.53%,2.18%,2.73%,2.27%,1.88%,1.06%,0.94%,0.97%,1.39%,1.34%,1.72%,-,-,-,-,-
