,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q1 2019
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Mar '19 Mar 31, 2019"
0,Cash & Equivalents,2621,1547,1699,3508,1468,343.04,264.78,1110,229.36,123.66,120.11,125.78,169.9,178.08,441.58,455.04,-,89.5,-,130.74
1,Trading Asset Securities,1226,2214,2219,200.03,30.06,40.05,80.11,70.12,140.32,185.37,205.71,235.25,285.97,295.59,-,-,-,-,-,-
2,Cash & Short-Term Investments,3847,3761,3917,3708,1498,383.09,344.89,1180,369.68,309.03,325.83,361.03,455.87,473.68,441.58,455.04,-,89.5,-,130.74
3,Cash Growth,156.82%,881.72%,1035.81%,214.14%,305.25%,23.96%,5.85%,226.91%,-18.91%,-34.76%,-26.21%,-20.66%,-,429.25%,-,248.04%,-,-,-,-
4,Accounts Receivable,1009,1132,908.9,949.74,819.2,509.22,486.89,775.82,585.4,552.03,446.81,360.25,407.86,352.02,315.83,299.53,-,281.04,-,170.34
5,Other Receivables,0.11,0.05,2.29,0.06,3.79,8.93,0.38,0.07,0.32,5.3,0.13,11.08,1.03,1.29,0.15,7.42,-,0.16,-,0.09
6,Receivables,1010,1132,911.19,949.8,822.99,518.15,487.26,775.89,585.72,557.32,446.94,371.33,408.89,353.32,315.99,306.95,-,281.21,-,170.43
7,Inventory,687.87,642.81,684.61,611.93,664.15,330.05,322.76,719.09,304.33,310.76,283.02,259.03,228.79,237.09,241.55,238.62,-,197.69,-,124
8,Other Current Assets,64.94,80.01,91.83,51.87,41.01,20.9,40.37,67.4,25.24,37.05,38.42,19.69,19.44,43.52,54.76,11.58,-,12.49,-,9.07
9,Total Current Assets,5610,5616,5605,5321,3026,1252,1195,2743,1285,1214,1094,1011,1113,1108,1054,1012,-,580.88,-,434.24
10,"Property, Plant & Equipment",1812,1815,1695,1631,1474,688.32,650.55,1367,568.26,505.89,495.34,496.3,431.66,388.11,386.92,393.51,-,376.17,-,185.22
