,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+11 Quarters
,Period Ending,"Mar '25 Mar 10, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+11 Quarters
0,Market Capitalization,463320,380016,389376,364104,353808,331344,322920,354744,227448,253656,327600,299520,301392,308880,355680,299520,265824,263016,253656,458640,271440,Upgrade
1,Market Cap Growth,14.69%,14.69%,20.58%,2.64%,55.56%,30.63%,-1.43%,18.44%,-24.53%,-17.88%,-7.89%,0%,13.38%,17.44%,40.22%,-34.69%,-2.07%,2.55%,34.16%,147.47%,100.00%,Upgrade
2,Enterprise Value,341577,265928,275288,237639,227343,207418,209277,180432,93935,120143,234035,233816,242820,250308,302419,249908,218912,220134,216524,432464,254314,Upgrade
3,PE Ratio,9.84,-,9.50,7.49,7.83,-,6.59,6.36,4.36,6.20,7.51,8.07,7.90,8.73,9.91,10.92,7.43,9.10,6.93,10.51,-,Upgrade
4,PS Ratio,0.83,0.67,0.70,0.66,0.66,0.63,0.62,0.69,0.45,0.54,0.77,0.73,0.75,0.74,0.81,0.69,0.59,0.57,0.54,0.95,0.58,Upgrade
5,PB Ratio,1.77,1.45,1.49,0.57,1.44,1.35,1.25,1.42,0.86,1.09,1.38,1.36,1.33,-,1.65,1.35,1.26,1.31,1.32,2.22,1.45,Upgrade
6,P/FCF Ratio,33.26,-,31.36,-,-,-49.58,-25.69,-,2.21,-,4.70,8.63,-,-,11.41,11.54,7.95,10.44,15.59,42.44,-,Upgrade
7,P/OCF Ratio,7.40,-,8.27,6.81,-506.59,15.49,34.25,-,1.82,-,3.25,4.95,8.92,-,7.15,6.34,5.75,8.01,11.18,32.85,-,Upgrade
8,EV/Sales Ratio,0.61,0.47,0.49,0.43,0.42,0.39,0.40,0.35,0.19,0.26,0.55,0.57,0.60,0.60,0.68,0.58,0.48,0.48,0.46,0.89,0.54,Upgrade
9,EV/EBITDA Ratio,3.57,-,3.14,2.57,2.66,2.50,2.38,1.82,0.97,1.47,2.75,2.99,3.17,3.48,4.18,4.01,3.09,3.40,4.44,7.85,5.91,Upgrade
10,EV/EBIT Ratio,5.94,-,5.53,4.00,4.30,-,3.65,2.74,1.46,2.38,4.31,4.91,5.16,5.76,6.89,7.15,4.94,5.59,4.37,7.65,5.63,Upgrade
11,EV/FCF Ratio,24.52,-,22.17,-,-,-31.03,-16.65,-,0.91,-,3.36,6.74,-,-,9.70,9.63,6.55,8.74,13.31,40.02,-,Upgrade
12,Debt / Equity Ratio,0.04,0.04,0.04,0.02,0.06,0.06,0.06,0.06,0.06,0.08,0.08,0.09,0.09,-,0.11,0.11,0.12,0.13,0.15,0.14,0.16,Upgrade
13,Debt / EBITDA Ratio,0.10,-,0.21,0.09,0.10,0.47,0.22,0.16,0.13,0.36,0.17,0.22,0.28,-,0.28,0.30,0.47,0.42,0.62,0.24,0.96,Upgrade
14,Debt / FCF Ratio,0.71,-,0.80,-,-,-2.08,-1.19,-,0.16,-,0.27,0.58,-,-,0.77,0.96,0.78,1.07,1.72,2.69,-,Upgrade
15,Quick Ratio,1.25,1.25,1.25,1.50,-,1.30,1.68,1.62,1.62,1.28,1.59,1.46,1.89,-,1.69,1.82,1.58,1.48,1.23,1.54,1.02,Upgrade
16,Current Ratio,1.55,1.55,1.55,1.82,-,1.51,1.93,1.85,1.74,1.42,1.67,1.58,2.13,-,1.90,2.12,1.93,1.74,1.47,1.83,1.33,Upgrade
17,Asset Turnover,-,1.53,-,-,1.48,1.49,1.39,-,1.40,1.47,1.49,-,-,1.52,1.49,1.60,1.53,1.45,1.84,-,Upgrade,
18,Return on Equity (ROE),-,2.10%,16.79%,34.50%,-1.55%,15.68%,23.31%,-,7.54%,29.28%,20.38%,-,-,18.67%,22.98%,10.80%,15.66%,3.49%,42.30%,-,Upgrade,
19,Return on Assets (ROA),-,1.64%,-,-,-1.25%,8.44%,10.82%,-,3.16%,15.18%,11.71%,-,-,11.93%,12.17%,6.16%,7.75%,4.46%,20.95%,-,Upgrade,
20,Return on Capital (ROIC),-,1.32%,12.62%,25.39%,-1.72%,11.16%,14.92%,-,4.60%,20.85%,14.97%,-,-,14.41%,14.53%,7.53%,9.83%,5.56%,25.90%,-,Upgrade,
21,Return on Capital Employed (ROCE),21.54%,-,18.64%,22.83%,-,-,21.22%,25.26%,23.03%,20.42%,21.56%,20.18%,19.33%,-,18.65%,14.34%,19.09%,17.61%,22.86%,24.49%,21.24%,Upgrade
22,Earnings Yield,10.16%,8.48%,10.53%,13.35%,12.77%,13.16%,15.18%,15.73%,22.93%,16.12%,13.31%,12.39%,12.66%,11.45%,10.09%,9.15%,13.46%,10.99%,14.44%,9.51%,12.16%,Upgrade
23,Earnings Yield,10.16%,8.48%,10.53%,13.35%,12.77%,13.16%,15.18%,15.73%,22.93%,16.12%,13.31%,12.39%,12.66%,11.45%,10.09%,9.15%,13.46%,10.99%,14.44%,9.51%,12.16%,Upgrade
24,FCF Yield,3.01%,-,3.19%,6.59%,-8.95%,-2.02%,-3.89%,3.98%,45.27%,-,21.27%,11.58%,1.75%,4.52%,8.76%,8.67%,12.58%,9.58%,6.41%,2.36%,-,Upgrade
25,Dividend Yield,3.23%,-,-,-,-,-,-,2.28%,-,-,-,-,-,-,-,-,5.60%,-,-,-,-,Upgrade
26,Payout Ratio,44.17%,-,173.22%,34.31%,29.88%,-,102.56%,38.88%,-,-,35.91%,45.65%,0.21%,-,54.83%,-,108.21%,66.97%,0.21%,0.12%,-,Upgrade
27,Buyback Yield / Dilution,0.02%,0.37%,-0.03%,-0.02%,0.03%,-0.40%,0.03%,0.01%,-0.01%,0.03%,0.01%,0.03%,0.02%,0.07%,0.18%,-0.02%,0.02%,-0.05%,-0.18%,0.04%,-0.03%,Upgrade
28,Total Shareholder Return,3.25%,0.37%,-0.03%,-0.02%,0.03%,-0.40%,0.03%,2.29%,-0.01%,0.03%,0.01%,0.03%,0.02%,0.07%,0.18%,-0.02%,5.62%,-0.05%,-0.18%,0.04%,-0.03%,Upgrade
