,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 12, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,127,250,240,290,191,150,172,190,190,168,250
1,Market Cap Growth,-13.79%,-13.79%,25.65%,93.33%,11.05%,-21.05%,-9.47%,13.10%,-24.00%,-60.00%,-10.71%
2,Enterprise Value,151,312,306,344,274,139,135,139,110,131,225
3,Last Close Price,0.13,0.25,0.24,0.28,0.18,0.13,0.15,0.17,0.16,0.13,0.19
4,PE Ratio,-,-,5.09,4.38,4.21,943.40,-,-,6.58,-,11.18
5,Forward PE,-,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00
6,PS Ratio,0.13,0.25,0.21,0.26,0.20,0.18,0.23,0.25,0.27,0.24,0.31
7,PB Ratio,0.33,0.65,0.58,0.74,0.50,0.44,0.50,0.56,0.52,0.49,0.71
8,P/TBV Ratio,0.65,0.65,0.58,0.74,0.50,0.44,0.50,0.56,0.52,0.49,0.71
9,P/FCF Ratio,1.99,3.92,11.19,-,5.01,-,-,-,-,2.79,-5.69
10,P/OCF Ratio,2.73,2.73,4.61,3.25,3.74,-,-,-,-,2.21,-10.13
11,EV/Sales Ratio,0.15,0.32,0.26,0.31,0.28,0.17,0.18,0.19,0.16,0.19,0.28
12,EV/EBITDA Ratio,4.51,-,4.22,3.37,3.59,11.15,38.44,2.96,2.06,5.29,4.69
13,EV/EBIT Ratio,44.27,-,5.21,3.83,4.31,-301.79,-,-,2.63,10.05,6.12
14,EV/FCF Ratio,2.36,4.90,14.25,-,7.19,-,-,-,-,2.17,-5.11
15,Debt / Equity Ratio,0.33,0.33,0.30,0.31,0.33,0.45,0.15,0.15,0.13,0.16,0.17
16,Debt / FCF Ratio,2.00,2.00,5.75,-,3.33,-,-,-,-,0.93,-1.37
17,Return on Capital Employed (ROCE),0.71%,-,11.52%,18.27%,13.09%,-0.10%,-,-,10.87%,3.56%,9.85%
18,Earnings Yield,-0.35%,-0.18%,19.65%,22.86%,23.78%,0.11%,-6.15%,11.25%,15.20%,3.15%,8.94%
19,FCF Yield,50.17%,25.49%,8.94%,21.18%,19.94%,-27.21%,-11.96%,-9.00%,16.71%,35.83%,-17.59%
20,Dividend Yield,0.00%,-,-,7.13%,11.31%,6.09%,-,-,12.62%,11.97%,8.41%
21,Total Shareholder Return,-,-,7.13%,11.31%,6.09%,-,-,12.62%,11.97%,8.41%,
