,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,3074,5079,4299,2978,3337,3925,3467,2176,3049,2550,1636,1658,1136,900.73,532.69,522.32,-,384.69,-
1,Short-Term Investments,149.35,737.38,146.88,1638,1472,2087,2217,1685,-,-,-,-,-,-,-,-,-,-,-
2,Trading Asset Securities,3333,1925,1051,1855,1873,619.66,691.23,1246,1560,953.88,771.16,516.24,873.9,1006,149.92,155.07,-,52.17,-
3,Cash & Short-Term Investments,6556,7741,5497,6471,6683,6631,6374,5107,4609,3504,2407,2174,2010,1907,682.61,677.39,-,436.86,438.24
4,Cash Growth,-1.90%,16.74%,-13.76%,26.71%,44.99%,89.26%,164.83%,134.85%,129.36%,83.78%,252.62%,221.00%,-,336.42%,55.76%,-,-,-,-
5,Accounts Receivable,1691,1119,812.82,577.14,690.75,886.22,990.52,650.27,548.44,440.27,355.52,295.95,387.46,331.59,318.03,328.19,-,277.6,-
6,Other Receivables,264.02,103.43,49.84,70.98,78.46,82.88,12.62,37.61,35.88,32.98,8.79,29.03,12.81,16.9,23.7,13.02,-,1.21,-
7,Receivables,1955,1222,862.66,648.12,769.21,969.1,1003,687.88,584.33,473.25,364.31,324.98,400.27,348.5,341.73,341.22,-,278.81,-
8,Inventory,1380,1141,918.04,754,743.9,905.31,973.23,865.45,772.29,632.76,559.28,455.93,428.36,448.81,363.4,265.4,-,190.94,-
9,Other Current Assets,1461,209.81,1069,59.18,42.33,56.53,47.06,100.13,75.54,77.88,61.92,41.74,43.21,45.75,17.67,15.74,-,17.54,-
10,Total Current Assets,11353,10314,8347,7932,8238,8562,8398,6760,6041,4688,3393,2997,2881,2750,1405,1300,-,924.14,-
11,"Property, Plant & Equipment",2144,2081,2040,2022,1716,1618,1539,1499,1156,922.43,929.06,803.76,563.37,341.56,288.73,271.62,-,236.24,-
12,Long-Term Investments,50,783.51,-,508.11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,Other Intangible Assets,141.7,195.82,197.23,199.6,199.67,200.78,148.35,147.19,76.51,79.96,75.2,80.87,61.03,61.02,61.58,61.98,-,32.85,-
14,Long-Term Deferred Tax Assets,113.21,92.74,69.31,71.36,85.63,94.51,21.94,26.43,32.21,13.86,11.91,11.72,9.92,10.59,10.04,9.97,-,8.54,-
15,Long-Term Deferred Charges,71.64,74.85,80.11,82.61,59.53,59.65,62.38,58.96,43.34,12.16,13.79,16.87,18.58,20.58,22.94,26.62,-,24.37,-
16,Other Long-Term Assets,1384,6.48,672.61,1.48,11.24,4.58,7.6,16.23,133.01,63.92,34.98,13.25,32.52,46.27,14.81,5.58,-,2.89,-
17,Total Assets,15256,13549,11406,10817,10310,10540,10177,8507,7482,5780,4457,3924,3567,3230,1804,1676,-,1229,-
18,Accounts Payable,3173,2494,1748,1691,1974,2197,2232,2091,1688,1158,1015,1051,866.59,729.88,687.79,617.14,-,424.36,-
19,Accrued Expenses,182.02,155.46,76.47,184.89,124.86,142.22,89.82,151.1,93.03,80.93,30.85,77.92,40.32,50.2,23.64,73.75,-,52.03,-
20,Short-Term Debt,1597,2148,2089,2423,1301,1221,1254,1259,767.83,535,365,-,-,-,10,10,-,10,-
21,Current Portion of Long-Term Debt,2.28,0.4,203.33,490.63,840.64,740.56,420.44,20.02,-,-,-,-,-,-,-,-,-,-,-
22,Current Portion of Leases,-,4.3,-,5.23,-,1.63,-,1.93,2.89,3.02,3.27,3.34,-,-,-,-,-,-,-
23,Current Income Taxes Payable,234.86,125.49,156.93,87.24,102.25,174.59,117.16,97.79,121.95,59.34,15.57,45.34,27.46,15.72,38.08,31.71,-,19.02,-
24,Current Unearned Revenue,523.28,314.6,223.9,190.93,177.21,251.93,445.69,192.43,287.18,143.2,92.9,54.31,136.81,109.64,48.69,44.99,-,35.18,-
25,Other Current Liabilities,24.5,40.32,190.96,97.55,168.13,237.81,40.89,39.34,140.86,11.72,5.84,10.32,10.32,15.45,4.81,7.52,-,9.26,-
26,Total Current Liabilities,5737,5282,4688,5170,4688,4967,4600,3852,3102,1991,1528,1242,1081,920.9,813.01,785.11,-,549.85,-
27,Long-Term Debt,-,370,861.2,300,300.2,600.43,930.69,530.44,910,850,110,-,-,-,-,-,-,-,-
28,Long-Term Leases,4.13,4.13,4.66,5.06,2.74,2.72,2.8,2.35,8.8,8.67,11.07,10.88,-,-,-,-,-,-,-
29,Long-Term Unearned Revenue,133.14,136.67,120.05,101.74,69.73,71.33,40.61,31.07,32.66,29.72,23.82,25.06,19.11,19.76,20.67,20.8,-,21.47,-
30,Long-Term Deferred Tax Liabilities,-,-,-,-,-,-,-,-,0.22,1.2,0.73,3.81,1.66,0.26,0.01,0.01,-,0.02,-
31,Other Long-Term Liabilities,3.13,3.14,8.15,9.12,94.3,106.63,3.79,1.73,1.73,1.73,1.78,1.8,2.21,2.25,2.31,2.33,-,1.72,-
32,Total Liabilities,5877,5796,5682,5586,5155,5748,5577,4418,4056,2882,1676,1283,1104,943.18,835.99,808.25,-,573.05,-
33,Common Stock,644.72,638.11,430.08,430.08,430.08,430.08,238.93,238.93,238.93,238.93,170.67,170.67,170.67,170.67,128,128,-,128,-
34,Additional Paid-In Capital,3735,3119,1397,1338,1285,1227,1354,1412,1345,1303,1371,1371,1371,1371,82.8,82.8,-,82.8,-
35,Retained Earnings,5000,3996,4097,3664,3441,3135,3006,2411,1821,1344,1231,1098,920.58,744.73,756.72,656.47,-,445.32,-
36,Treasury Stock,-,-,-199.99,-199.99,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
37,Comprehensive Income & Other,-0.36,-0.26,-0.29,-0.02,-0.31,0.03,-0,0,0,-,-,-,-,-,-,-,-,-0.13,-
38,Total Common Equity,9379,7753,5724,5231,5156,4792,4599,4062,3405,2886,2772,2640,2462,2286,967.52,867.27,-,655.99,548.83
39,Minority Interest,-,-,-,-,-,-,-,27.32,21.45,11.98,9.37,-,-,-,-,-,-,-,-
40,Shareholders' Equity,9379,7753,5724,5231,5156,4792,4599,4090,3426,2898,2782,2640,2462,2286,967.52,867.27,-,655.99,548.83
41,Total Liabilities & Equity,15256,13549,11406,10817,10310,10540,10177,8507,7482,5780,4457,3924,3567,3230,1804,1676,-,1229,-
42,Total Debt,1604,2526,3158,3224,2444,2566,2608,1814,1690,1397,489.34,14.22,-,-,10,10,-,10,45.7
43,Net Cash (Debt),4952,5215,2339,3247,4238,4065,3767,3293,2920,2107,1918,2160,2010,1907,672.61,667.39,-,426.86,392.54
44,Net Cash Growth,16.84%,28.28%,-37.90%,-1.40%,45.17%,92.92%,96.42%,52.44%,45.29%,10.52%,185.11%,223.68%,-,346.65%,71.35%,-,-,-,-
45,Net Cash Per Share,7.73,8.61,3.90,5.41,6.99,6.76,6.26,5.39,4.85,3.50,3.17,3.58,3.98,2.94,1.48,1.49,-,0.94,0.88
46,Filing Date Shares Outstanding,644.72,638.11,602.11,598.14,602.11,602.11,602.11,602.11,602.11,602.11,602.11,602.11,602.11,602.11,451.58,451.58,455.77,451.58,446.93
47,Total Common Shares Outstanding,644.72,638.11,602.11,598.14,602.11,602.11,602.11,602.11,602.11,602.11,602.11,602.11,602.11,602.11,451.58,451.58,455.77,451.58,446.93
48,Working Capital,5616,5033,3658,2762,3550,3595,3798,2908,2939,2697,1864,1755,1800,1829,592.4,514.65,-,374.3,-
49,Book Value Per Share,14.55,12.15,9.51,8.75,8.56,7.96,7.64,6.75,5.65,4.79,4.60,4.38,4.09,3.80,2.14,1.92,-,1.45,1.22
50,Tangible Book Value,9237,7557,5526,5032,4956,4592,4451,3915,3328,2806,2697,2559,2401,2225,905.94,805.29,-,623.13,515.3
51,Tangible Book Value Per Share,14.33,11.84,9.18,8.41,8.23,7.63,7.39,6.50,5.53,4.66,4.48,4.25,3.99,3.70,2.01,1.78,-,1.38,1.14
52,Buildings,-,1254,-,1254,-,765.46,-,759.73,-,184.1,-,184.1,-,184.46,-,184.1,-,184.1,-
53,Machinery,-,869.61,-,820.9,-,613.96,-,523.5,-,339.07,-,302.36,-,264.72,-,247.12,-,209.78,-
54,Construction In Progress,-,373.11,-,287.81,-,531.39,-,462.77,-,602.7,-,505.25,-,77.34,-,9.17,-,-,-
