,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,56728,65545,47437,38716,36084,33305,64319,61635,79135,100402,66875,36326,46727,38366,21777,-,-,-,-,-
1,Market Cap Growth,96.80%,96.80%,-26.25%,-37.19%,-54.40%,-66.83%,-3.82%,69.67%,69.36%,161.70%,207.09%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,51775,60330,45098,34478,31846,29240,60552,58737,76237,98307,64967,34317,44717,36459,21104,-,-,-,-,-
3,Last Close Price,87.91,100.28,73.31,62.08,57.86,53.40,103.13,97.94,125.74,159.54,106.26,57.46,73.91,60.68,34.44,-,-,-,-,-
4,PE Ratio,21.79,26.62,26.91,23.68,20.15,15.43,27.60,31.22,52.15,90.85,83.15,59.53,80.76,76.21,49.95,-,-,-,-,-
5,Forward PE,15.46,19.36,19.04,14.82,12.65,11.10,18.80,21.92,40.29,63.49,67.46,42.57,64.63,-,-,-,-,-,-,-
6,PS Ratio,5.85,7.15,6.47,5.32,4.82,4.06,7.59,8.56,13.29,19.26,14.49,8.77,11.21,10.05,6.21,-,-,-,-,-
7,PB Ratio,6.04,6.99,6.12,6.76,6.90,6.46,13.42,13.40,19.35,29.30,23.08,13.06,17.70,15.58,9.52,-,-,-,-,-
8,P/TBV Ratio,7.10,7.10,6.28,7.01,7.17,6.72,14.01,13.85,20.21,30.17,23.83,13.47,18.26,15.98,9.79,-,-,-,-,-
9,P/FCF Ratio,28.07,32.43,46.38,-,-,16.12,24.16,28.25,56.75,100.31,258.22,-,240.04,133.05,66.38,-,-,-,-,-
10,P/OCF Ratio,24.93,24.93,28.62,26.40,-,11.53,18.28,20.18,35.91,57.64,64.90,-,58.66,53.74,40.38,-,-,-,-,-
11,PEG Ratio,0.67,0.67,0.68,0.53,0.23,0.23,0.21,0.25,-,-,-,-,-,-,-,-,-,-,-,-
12,EV/Sales Ratio,5.65,6.58,6.15,4.74,4.26,3.56,7.14,8.16,12.80,18.86,14.08,8.28,10.73,9.55,6.02,-,-,-,-,-
13,EV/EBITDA Ratio,20.34,23.97,25.37,18.91,15.64,11.51,21.98,26.55,45.78,80.47,76.43,50.52,69.03,62.87,39.95,-,-,-,-,-
14,EV/EBIT Ratio,21.58,25.14,26.96,19.90,16.27,11.82,22.49,27.13,46.97,83.01,79.80,53.22,72.71,66.45,42.42,-,-,-,-,-
15,EV/FCF Ratio,25.62,29.85,44.10,-,-,14.15,22.75,26.92,54.67,98.22,250.85,-,229.72,126.44,64.33,-,-,-,-,-
16,Debt / Equity Ratio,0.17,0.17,0.33,0.55,0.62,0.47,0.54,0.57,0.44,0.49,0.48,0.18,0.01,-,-,0.01,0.01,-,0.02,0.08
17,Debt / EBITDA Ratio,0.63,0.37,0.77,1.63,6.24,1.74,0.74,0.93,0.72,0.75,1.09,0.81,0.02,-,-,0.02,0.02,-,0.02,0.19
18,Debt / FCF Ratio,0.79,0.79,2.47,-,-,1.18,0.96,1.20,1.30,1.69,5.39,-,0.07,-,-,0.02,0.03,-,0.10,-
19,Asset Turnover,0.91,0.92,0.68,0.44,0.55,1.08,0.89,0.94,1.03,1.20,0.80,1.22,1.30,1.69,1.99,-,-,-,-,
20,Inventory Turnover,5.22,5.75,6.94,5.74,3.96,4.34,7.17,5.17,4.84,5.61,7.29,5.01,7.74,7.58,8.20,8.87,-,-,-,-
21,Quick Ratio,1.48,1.48,1.70,1.36,1.38,1.59,1.53,1.60,1.50,1.67,2.00,1.81,2.01,2.23,2.45,1.26,1.30,-,1.30,-
22,Current Ratio,1.98,1.98,1.95,1.78,1.53,1.76,1.72,1.83,1.75,1.95,2.35,2.22,2.41,2.66,2.99,1.73,1.66,-,1.68,-
23,Return on Equity (ROE),46.88%,47.65%,31.61%,17.15%,24.50%,57.48%,54.21%,63.42%,60.51%,44.70%,19.46%,27.89%,29.63%,30.62%,43.71%,-,-,83.47%,-,
24,Return on Assets (ROA),18.46%,15.58%,10.33%,2.35%,8.07%,20.21%,18.30%,19.24%,20.97%,15.11%,8.47%,11.79%,13.70%,13.92%,16.10%,-,-,-,-,
25,Return on Capital (ROIC),25.00%,20.29%,13.24%,3.09%,11.25%,28.74%,26.08%,27.92%,29.55%,20.45%,11.97%,17.26%,19.60%,21.47%,30.20%,-,-,54.52%,-,
26,Return on Capital Employed (ROCE),25.20%,25.20%,20.23%,25.79%,34.66%,43.98%,48.31%,38.82%,34.86%,27.04%,21.49%,22.02%,22.93%,22.08%,21.55%,49.96%,48.87%,-,27.94%,-
27,Earnings Yield,4.34%,3.76%,3.72%,4.22%,4.96%,6.48%,3.62%,3.20%,1.92%,1.10%,1.20%,1.68%,1.24%,1.31%,2.00%,-,-,-,-,-
28,FCF Yield,3.56%,3.08%,2.16%,1.96%,3.69%,6.20%,4.14%,3.54%,1.76%,1.00%,0.39%,-0.18%,0.42%,0.75%,1.51%,-,-,-,-,-
29,Dividend Yield,2.68%,-,3.68%,-,2.59%,-,-,-,0.71%,-,-,-,0.46%,-,-,-,-,-,-,-
