,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,3298,2834,1884,1124,1451,2790,2085,1858,1724,1509,841.03,1112,1107,1057,864.58,767.3,803.37,910.43,520.14
1,Other Revenue,-30.23,30.23,-,29.34,-18.56,18.56,-,24.07,-23.39,23.39,-,27.2,-3.28,3.28,-,22.39,-10.89,10.89,-
2,Revenue,3268,2864,1884,1154,1432,2809,2085,1882,1700,1532,841.03,1139,1104,1061,864.58,789.69,792.48,921.32,520.14
3,Revenue Growth (YoY),128.16%,1.98%,-9.64%,-38.69%,-15.77%,83.34%,147.88%,65.23%,54.08%,44.44%,-2.72%,44.24%,39.26%,15.13%,66.22%,-,-,-,-
4,Cost of Revenue,1812,1786,1199,742.36,894.04,1684,1187,991.61,984.97,1086,636.38,855.5,831.37,832.14,697.23,604.22,599.68,723.13,413.87
5,Gross Profit,1456,1078,684.31,411.44,538.25,1125,897.53,890.42,715.43,446.07,204.65,283.55,272.22,228.56,167.35,185.47,192.8,198.19,106.26
6,"Selling, General & Admin",183.75,152.58,99.03,137.56,117.91,152.2,106.29,98.07,94.62,75.67,35.63,54.83,50.25,49.55,29.53,31.28,31.52,27.57,35.5
7,Research & Development,137.24,119.24,97.54,93.16,97.93,129.62,115.7,142.92,67.63,49.59,27.1,36.55,35.54,34.5,26.61,25.74,24.9,34.22,16.84
8,Other Operating Expenses,34.15,13.59,15.38,86.43,-20.71,9.95,-16.05,26.66,-6.21,5.3,-2.32,15.42,-0.87,-1.63,-1.38,10.68,-1.1,0.71,0.62
9,Operating Expenses,392.63,300.34,225.3,312.11,201.6,288.19,213.59,275.04,159.19,136.63,62.75,106.88,86.06,88.42,55.33,75.09,57.8,60.74,53.94
10,Operating Income,1063,777.74,459.01,99.34,336.65,837.19,683.93,615.39,556.24,309.44,141.9,176.66,186.17,140.14,112.02,110.38,135,137.46,52.32
11,Interest Expense,-10.99,-13.24,-14.93,-19.7,-17.43,-17.74,-17.8,-14.03,-11.62,-4.77,-1.18,-0.51,-0,-0.02,-0.98,-7.04,-,-2.96,-1.44
