,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022"
0,Operating Revenue,206.67,255.85,180.07,161.41,145.14,116.71,179.59,205.55,199.44,240.65,177.67,210.27
1,Other Revenue,-0.84,0.84,-,2.88,-2.44,2.44,-,1.4,-0.4,0.4,-,2.39
2,Revenue,205.83,256.68,180.07,164.29,142.69,119.15,179.59,206.95,199.04,241.05,177.67,212.66
3,Revenue Growth (YoY),44.25%,115.43%,0.27%,-20.61%,-28.31%,-50.57%,1.08%,-2.69%,-,-,-,-
4,Cost of Revenue,120.47,190.39,156.47,158.48,104.25,108.88,121.55,166.84,125.68,182.71,115.62,152.99
5,Gross Profit,85.36,66.29,23.61,5.82,38.44,10.26,58.04,40.11,73.35,58.34,62.05,59.67
6,"Selling, General & Admin",17.64,19.45,15.32,18.93,13.94,13.72,12.68,15.35,14.27,18.63,16.95,19.92
7,Research & Development,14.19,13.35,10.63,9.85,16.46,16.31,14.39,24.8,17.4,13.15,10.44,18.09
8,Other Operating Expenses,1.07,0.64,0.12,-0.41,-1.55,-1.58,-2.21,5.4,-0.66,-1.41,-2.23,3.13
9,Operating Expenses,21.51,37.57,26.14,29.91,29.24,27.12,23.75,45.29,31.11,32.38,23.41,41.41
10,Operating Income,63.85,28.73,-2.53,-24.09,9.2,-16.86,34.29,-5.18,42.24,25.96,38.64,18.26
11,Interest Expense,-1.69,-1.29,-1.25,-2.51,-0.89,-0.74,-0.71,-0.94,-1.19,-0.62,-0.29,-0.28
12,Interest & Investment Income,2.1,2.68,2.14,-,4.48,5.28,3.1,1.4,0.3,0.23,0.64,1.16
13,Currency Exchange Gain (Loss),-1.05,1.05,-,2.36,-3.81,3.81,-,12.69,5.45,-5.45,-,-4.02
14,Other Non Operating Income (Expenses),11.2,2.24,-2.72,-2.87,2.53,4.06,-4.33,-13.28,2.14,11.85,-1.29,0.87
15,EBT Excluding Unusual Items,74.42,33.4,-4.36,-27.11,11.52,-4.45,32.35,-5.3,48.94,31.97,37.69,15.98
16,Gain (Loss) on Sale of Investments,1.62,0.95,1.25,5.81,0.33,0.02,1.11,0.73,0.15,-,-,-
17,Gain (Loss) on Sale of Assets,0.03,-0.03,0.04,-0,0.01,-,-,-0.01,-,0,-,-0
18,Asset Writedown,-43.74,1.59,-1.6,17.49,-19.86,4.48,-4.5,14.45,-18.92,8.28,-8.36,19.59
19,Other Unusual Items,0.68,1.61,0.69,5.47,-0.13,0.13,-,14.38,-0.06,0.06,-,5.53
20,Pretax Income,33.01,37.52,-3.98,1.66,-8.13,0.18,28.95,24.25,30.11,40.32,29.34,41.1
21,Income Tax Expense,1.28,2.32,0.7,-3.41,-0.21,-2.66,2.47,-0.1,2.11,4.92,3.87,4.74
22,Net Income,31.73,35.2,-4.68,5.07,-7.92,2.84,26.48,24.35,28,35.4,25.47,36.37
23,Net Income to Common,31.73,35.2,-4.68,5.07,-7.92,2.84,26.48,24.35,28,35.4,25.47,36.37
24,Net Income Growth,-,1137.38%,-,-79.16%,-,-91.96%,4.00%,-33.03%,-,-,-,-
25,Shares Outstanding (Basic),130,130,130,130,130,130,130,119,108,97,98,97
26,Shares Outstanding (Diluted),130,130,130,130,130,130,130,119,108,97,98,97
27,Shares Change (YoY),0.08%,-0.18%,0.12%,9.05%,20.00%,33.87%,32.84%,22.05%,-,-,-,-
28,EPS (Basic),0.24,0.27,-0.04,0.04,-0.06,0.02,0.20,0.21,0.26,0.37,0.26,0.37
29,EPS (Diluted),0.24,0.27,-0.04,0.04,-0.06,0.02,0.20,0.21,0.26,0.37,0.26,0.37
30,EPS Growth,-,1139.70%,-,-80.89%,-,-94.00%,-21.71%,-45.13%,-,-,-,-
31,Free Cash Flow,2.4,-29.32,-60.08,-150.26,-91.46,-62.41,4.27,45.86,-18.78,-88.95,-44.13,31.46
32,Free Cash Flow Per Share,0.02,-0.23,-0.46,-1.16,-0.71,-0.48,0.03,0.39,-0.17,-0.92,-0.45,0.32
33,Dividend Per Share,-,-,-,0.050,-,-,-,0.111,-,-,-,-
34,Dividend Growth,-,-,-,-55.00%,-,-,-,-,-,-,-,-
35,Gross Margin,41.47%,25.83%,13.11%,3.54%,26.94%,8.61%,32.32%,19.38%,36.85%,24.20%,34.92%,28.06%
36,Operating Margin,31.02%,11.19%,-1.41%,-14.67%,6.45%,-14.15%,19.09%,-2.50%,21.22%,10.77%,21.75%,8.59%
37,Profit Margin,15.42%,13.71%,-2.60%,3.09%,-5.55%,2.39%,14.75%,11.77%,14.07%,14.68%,14.33%,17.10%
38,Free Cash Flow Margin,1.16%,-11.42%,-33.36%,-91.46%,-64.10%,-52.38%,2.38%,22.16%,-9.44%,-36.90%,-24.84%,14.79%
39,EBITDA,76.69,41.38,10.3,-11.26,17.91,-5.07,43,3.53,48.66,33.38,45.06,24.68
40,EBITDA Margin,37.26%,16.12%,5.72%,-6.85%,12.55%,-4.26%,23.94%,1.71%,24.45%,13.85%,25.36%,11.61%
41,D&A For EBITDA,12.84,12.65,12.84,12.84,8.71,11.78,8.71,8.71,6.42,7.42,6.42,6.42
42,EBIT,63.85,28.73,-2.53,-24.09,9.2,-16.86,34.29,-5.18,42.24,25.96,38.64,18.26
43,EBIT Margin,31.02%,11.19%,-1.41%,-14.67%,6.45%,-14.15%,19.09%,-2.50%,21.22%,10.77%,21.75%,8.59%
44,Effective Tax Rate,3.87%,6.19%,-,-,-,-,8.53%,-,7.02%,12.21%,13.19%,11.52%
45,Revenue as Reported,205.83,256.68,180.07,164.29,142.69,119.15,179.59,206.95,199.04,241.05,177.67,212.66
