,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022"
0,Cash & Equivalents,262.99,181.84,292.08,187.04,323.37,439.21,528.58,541.29,771.07,-,-,171.52
1,Trading Asset Securities,246.65,295.8,165.95,292.77,327.35,302.02,252,240.89,25.15,-,-,-
2,Cash & Short-Term Investments,509.64,477.64,458.04,479.8,650.72,741.24,780.57,782.18,796.23,-,171.52,171.52
3,Cash Growth,-21.68%,-35.56%,-41.32%,-38.66%,-18.27%,-,355.08%,356.02%,-,-,-,-
4,Accounts Receivable,193.44,220.65,163.48,154.4,136.49,112.64,144.3,167.54,176.87,-,-,166.34
5,Other Receivables,13.24,7.74,6.46,18.07,7.49,5.25,5.49,10.94,11.03,-,-,10.31
6,Receivables,206.68,228.4,169.94,172.47,143.98,117.89,149.79,178.48,187.9,-,-,176.65
7,Inventory,466.87,365.88,343.62,365.86,304.33,314.53,312.67,342.73,357.92,-,-,287.09
8,Prepaid Expenses,-,-,-,-,-,-,-,0,-,-,-,-
9,Other Current Assets,20.94,12.2,12.09,10.03,5.94,5.09,4.01,8.49,6.29,-,-,3.21
10,Total Current Assets,1204,1084,983.69,1028,1105,1179,1247,1312,1348,-,-,638.48
11,"Property, Plant & Equipment",647.69,674.7,565,514.85,457.71,401.93,292.67,280.56,206.08,-,-,130.44
12,Other Intangible Assets,42.97,36.27,36.68,37.66,38.03,39.04,29.49,25.63,26.41,-,-,27.49
13,Long-Term Deferred Tax Assets,10.69,11.29,11.73,12.66,8.32,8.51,7.66,8.52,6.74,-,-,5.96
14,Long-Term Deferred Charges,15.26,17.9,16.76,12.94,8.76,8.9,9.5,10.1,8.04,-,-,2.61
15,Other Long-Term Assets,172.91,126.1,128.77,134.26,35.64,12.75,41.84,31.41,51.47,-,-,11.44
16,Total Assets,2094,1950,1743,1741,1653,1650,1628,1668,1647,-,-,816.41
17,Accounts Payable,312.25,229.61,122.07,135.51,90.71,79.12,77.41,132.26,98.53,-,-,140.48
18,Accrued Expenses,12.83,12.11,8.92,19.25,9.21,9.76,8.44,25.73,9.2,-,-,21.84
19,Short-Term Debt,271.2,244.92,179.13,149.06,119.08,119.08,89.07,89.07,109.01,-,-,-
20,Current Portion of Long-Term Debt,-,-,-,-,-,-,-,-,5.92,-,-,2.12
21,Current Portion of Leases,2.46,2.28,1.69,2.02,2.51,2.84,-,3.26,-,-,-,2.1
22,Current Income Taxes Payable,1.4,0.03,0.54,0.03,0.52,0.06,3.91,1.37,2.93,-,-,5.38
23,Current Unearned Revenue,-,3.02,-,0.15,1.35,0.37,0.56,0.24,0.13,-,-,0.2
24,Other Current Liabilities,4.26,3.5,4.2,2.87,5.04,4.81,9.97,2.26,18.39,-,-,0.41
25,Total Current Liabilities,604.39,495.48,316.55,308.91,228.42,216.04,189.37,254.19,244.12,-,-,172.52
26,Long-Term Debt,-,-,-,-,-,-,-,-,13.14,-,-,14.8
27,Long-Term Leases,1.12,0.96,1.61,1.69,1.8,1.99,2.03,2.58,3.83,-,-,1.67
28,Long-Term Unearned Revenue,6.3,6.65,7.01,7.39,6.22,6.63,0.35,0.47,0.61,-,-,1.06
29,Long-Term Deferred Tax Liabilities,3.23,2.56,0.67,0.95,0.45,0.41,0.41,1.18,0.02,-,-,-
