,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022"
0,Market Capitalization,9331,9832,8141,12222,13591,11628,23713,5982,2731,2772,-,-,-
1,Market Cap Growth,-15.44%,-15.44%,-65.67%,104.31%,397.62%,319.44%,-,-,-,-,-,-,-
2,Enterprise Value,9096,9603,7866,11695,13063,11010,23024,5318,2067,2621,-,-,-
3,Last Close Price,71.92,75.78,62.75,94.13,104.68,89.56,182.64,46.04,21.02,21.34,-,-,-
4,PE Ratio,138.54,146.03,294.13,-,513.19,-,290.32,52.37,24.12,22.14,-,-,-
5,PS Ratio,11.56,12.19,10.95,20.16,22.44,17.93,33.65,7.24,3.31,3.34,-,-,-
6,PB Ratio,6.31,6.65,5.64,8.63,9.56,8.21,16.64,4.17,1.94,2.00,-,-,-
7,P/TBV Ratio,6.85,6.85,5.78,8.86,9.82,8.43,17.11,4.25,1.97,2.04,-,-,-
8,P/FCF Ratio,-,-41.44,-,-,-,-,-,-103.84,-25.76,-,-,-,-
9,P/OCF Ratio,520.18,520.18,-4313.37,349.10,-,50.16,103.61,37.88,35.64,76.55,-,-,-
10,EV/Sales Ratio,11.27,11.90,10.58,19.29,21.57,16.98,32.67,6.43,2.51,3.16,-,-,-
11,EV/EBITDA Ratio,71.84,81.99,134.85,984.50,-,185.48,-,41.36,15.82,17.27,-,-,-
12,EV/EBIT Ratio,152.69,145.60,696.35,-,-,513.35,-,54.65,-,20.95,-,-,-
13,EV/FCF Ratio,-38.34,-40.47,-,-,-,-,-,-92.31,-19.50,-,-,-,-
14,Debt / Equity Ratio,0.19,0.19,0.17,0.13,0.11,0.09,0.09,0.06,0.07,0.10,-,0.03,0.03
15,Debt / EBITDA Ratio,2.17,0.90,1.45,4.43,-,1.72,-,0.53,3.58,0.68,-,0.11,0.20
16,Debt / FCF Ratio,-,-1.16,-,-,-,-,-,-1.58,-0.90,-,-,-,0.66
17,Asset Turnover,0.41,0.56,0.41,0.39,0.35,0.29,0.44,0.50,-,-,-,-,
18,Inventory Turnover,1.62,1.16,2.15,1.76,1.89,1.35,1.39,1.48,1.90,-,-,-,-
19,Quick Ratio,1.19,1.19,1.42,1.98,2.11,3.48,3.98,4.91,3.78,4.03,-,-,2.02
20,Current Ratio,1.99,1.99,2.19,3.11,3.33,4.84,5.46,6.59,5.16,5.52,-,-,3.70
21,Return on Equity (ROE),8.68%,9.84%,-1.32%,1.43%,-2.23%,0.80%,7.44%,6.97%,-,-,16.26%,-,
22,Return on Assets (ROA),7.89%,3.89%,-0.36%,-3.55%,1.39%,-2.57%,5.20%,-0.78%,-,-,-,-,
23,Return on Capital (ROIC),9.26%,4.36%,-0.40%,-3.87%,1.49%,-2.74%,5.65%,-0.86%,-,-,14.93%,-,
24,Return on Capital Employed (ROCE),4.00%,4.43%,0.78%,-,-,1.51%,-,6.76%,-,8.92%,-,-,2.84%
25,Earnings Yield,0.72%,0.68%,0.34%,-0.04%,0.19%,0.39%,0.34%,1.91%,4.15%,4.52%,-,-,-
26,FCF Yield,-2.54%,-2.41%,-4.07%,-2.98%,-2.21%,-0.89%,-0.13%,-0.96%,-3.88%,-4.34%,-,-,-
27,Dividend Yield,0.07%,-,-,-,0.05%,-,-,-,0.53%,-,-,-,-
28,Payout Ratio,16.95%,6.16%,21.05%,-,17.80%,-,499.94%,2.44%,3.06%,3.95%,1.28%,0.93%,0.67%
29,Buyback Yield / Dilution,-2.12%,-0.08%,0.18%,-0.12%,-9.05%,-20.00%,-33.87%,-32.84%,-22.05%,-,-,-,-
30,Total Shareholder Return,-2.05%,-0.08%,0.18%,-0.12%,-9.00%,-20.00%,-33.87%,-32.84%,-21.52%,-,-,-,-
