,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Cash & Equivalents,65.74,100.24,33.09,61.41,107.69,32.48,52.89,129.23,-
1,Short-Term Investments,19.22,66.75,66,65.16,17.49,89.83,91.44,-,-
2,Cash & Short-Term Investments,84.96,166.98,99.09,126.58,125.19,122.31,144.33,129.23,-
3,Cash Growth,-14.26%,31.92%,-20.84%,3.49%,-13.27%,-5.36%,-,-,-
4,Accounts Receivable,267.5,274.12,236.61,182.1,288.3,169.39,183.95,248.36,-
5,Other Receivables,2.35,4.52,17.48,10.45,5.23,6.58,2.53,0.23,-
6,Receivables,269.85,278.63,254.09,192.56,293.52,175.98,186.48,248.6,-
7,Inventory,120.04,122.31,151.65,188.96,171.72,127.92,111.55,74.25,-
8,Prepaid Expenses,7.97,-,42.41,-,-,-,54.7,-,-
9,Other Current Assets,-,17.68,-,31.55,0.06,83.55,-,18.68,-
10,Total Current Assets,482.82,585.61,547.24,539.64,590.49,509.75,497.06,470.77,-
11,"Property, Plant & Equipment",192.63,187.36,181.85,179.02,130.65,127.13,91.63,84.7,-
12,Other Intangible Assets,0.16,0.22,0.29,0.22,0.21,0.34,0.41,0.42,-
13,Long-Term Deferred Tax Assets,0.48,0.48,1.19,1.19,0.84,0.88,0.15,0.18,-
14,Other Long-Term Assets,46.06,46.82,47.58,48.35,36,35,10.95,9.05,-
15,Total Assets,722.15,820.5,778.16,768.43,758.19,673.11,600.19,565.11,-
16,Accounts Payable,118.93,155.51,136.74,139.3,170.71,149.65,139.79,199.1,-
17,Accrued Expenses,9.5,16.39,45.95,15.44,8.03,40.15,20.24,34.5,-
18,Short-Term Debt,-,-,299.22,288.35,291.5,219.99,178.3,95.59,-
19,Current Portion of Long-Term Debt,267.13,312.86,-,-,-,-,-,-,-
20,Current Portion of Leases,3.16,1.02,6.17,7.58,-,0.09,0.92,0.9,-
21,Current Income Taxes Payable,9.69,9.38,3.62,2.15,14.19,8.86,9.33,10.73,-
22,Current Unearned Revenue,4.43,2.98,5.2,1.66,0.14,9.58,1.48,1.47,-
23,Other Current Liabilities,-,28.63,-,37.29,-,1.42,14.96,0.38,-
24,Total Current Liabilities,412.83,526.77,496.9,491.75,484.57,429.72,365.03,342.66,-
25,Long-Term Debt,-,0.51,-,-,-,-,-,-,-
26,Long-Term Leases,-,-,0.04,1.02,-,-,-,0.86,-
27,Long-Term Deferred Tax Liabilities,17.01,17.01,16.53,16.53,16.72,15.12,14.3,13.08,-
28,Total Liabilities,429.85,544.29,513.46,509.3,501.29,444.84,379.33,356.61,-
29,Common Stock,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,-
30,Additional Paid-In Capital,41.67,41.67,57.95,57.95,73.41,73.41,88.35,88.35,-
31,Retained Earnings,255.35,237.52,211.01,202.99,183.23,153.06,129.46,117.89,-
32,Comprehensive Income & Other,-9.75,-8.01,-9.3,-6.85,-4.77,-3.24,-1.97,-2.76,-
33,Shareholders' Equity,292.3,276.22,264.7,259.13,256.9,228.27,220.86,208.51,-
34,Total Liabilities & Equity,722.15,820.5,778.16,768.43,758.19,673.11,600.19,565.11,-
35,Total Debt,270.29,314.39,305.43,296.95,291.5,220.07,179.22,97.35,-
36,Net Cash (Debt),-185.34,-147.41,-206.34,-170.37,-166.32,-97.76,-34.89,31.88,-
37,Net Cash Per Share,-0.31,-0.25,-0.34,-0.28,-0.28,-0.16,-0.06,0.07,-
38,Filing Date Shares Outstanding,600,600,600,600,600,600,600,600,450
39,Total Common Shares Outstanding,600,600,600,600,600,600,600,600,450
40,Working Capital,69.98,58.84,50.35,47.89,105.92,80.04,132.03,128.11,-
41,Book Value Per Share,0.49,0.46,0.44,0.43,0.43,0.38,0.37,0.35,-
42,Tangible Book Value,292.14,275.99,264.41,258.91,256.69,227.93,220.46,208.09,-
43,Tangible Book Value Per Share,0.49,0.46,0.44,0.43,0.43,0.38,0.37,0.35,-
44,Buildings,-,39.73,-,39.73,-,43.89,-,-,-
45,Machinery,-,140.8,-,124.4,-,100.76,-,89.09,-
46,Construction In Progress,-,0.92,-,2.3,-,10.87,-,22.71,-
47,Leasehold Improvements,-,39.31,-,20.07,-,14.22,-,3.58,-
