,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Mar '25 Mar 12, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Market Capitalization,528,876,2664,1626,1758,624,594,372,468,-
1,Market Cap Growth,-46.13%,-46.13%,51.54%,160.58%,195.96%,67.74%,26.92%,-,-,-
2,Enterprise Value,727,1038,2887,1819,1953,744,636,334,552,-
3,Last Close Price,0.88,1.43,4.35,2.66,2.84,1.01,0.93,0.56,0.70,-
4,PE Ratio,11.08,18.38,70.02,54.17,31.14,13.73,13.76,6.68,10.95,-
5,PS Ratio,0.44,0.73,2.24,1.50,1.47,0.58,0.59,0.36,0.51,-
6,PB Ratio,1.68,2.79,8.75,5.69,6.00,2.07,2.12,1.40,1.89,-
7,P/TBV Ratio,2.79,2.79,8.76,5.69,6.01,2.08,2.12,1.40,1.89,-
8,P/FCF Ratio,6.03,-,39.27,-,-76.99,-,-,-,-13.96,-
9,P/OCF Ratio,6.94,6.94,25.23,-,383.78,-,-13.56,-,-41.85,-
10,EV/Sales Ratio,0.61,0.87,2.43,1.68,1.63,0.70,0.64,0.32,0.60,-
11,EV/EBITDA Ratio,7.23,11.58,36.37,31.71,21.78,9.61,9.54,3.91,7.29,-
12,EV/EBIT Ratio,11.06,15.79,47.84,40.29,25.79,11.77,11.48,4.40,8.34,-
13,EV/FCF Ratio,8.30,-,42.55,-,-85.52,-,-,-,-16.48,-
14,Debt / Equity Ratio,0.92,0.92,1.14,1.15,1.15,1.13,0.96,0.81,0.47,-
15,Debt / FCF Ratio,3.32,-,5.11,-,-14.70,-,-,-,-3.45,-
16,Return on Capital Employed (ROCE),19.79%,19.79%,18.65%,14.85%,24.21%,19.72%,18.54%,26.84%,25.08%,-
17,Earnings Yield,9.02%,5.44%,1.43%,1.85%,3.21%,7.28%,7.27%,14.96%,9.13%,-
18,FCF Yield,16.58%,10.00%,2.55%,1.37%,-1.30%,-15.40%,-17.37%,-21.04%,-7.16%,-
19,Buyback Yield / Dilution,-,-,-,-,-,-23.23%,-33.33%,-,-,
20,Total Shareholder Return,3.41%,-,-,-,-,-,-23.23%,-33.33%,-,-
