,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Revenue,481.05,629.03,449.6,550.7,509.52,404.3,409.51,450.03,321.43
1,Revenue Growth (YoY),7.00%,14.22%,-11.76%,36.21%,24.42%,-10.16%,27.40%,-,-
2,Cost of Revenue,424.55,538.11,401.67,478.28,439.04,352.7,345.97,374.08,270.45
3,Gross Profit,56.5,90.92,47.93,72.43,70.48,51.61,63.54,75.95,50.99
4,"Selling, General & Admin",34.53,51.69,32.39,46.2,29.71,38.41,31.6,44.76,26.38
5,Operating Expenses,34.53,51.69,32.39,46.2,29.71,38.41,31.6,44.76,26.38
6,Operating Income,21.97,39.23,15.54,26.23,40.76,13.19,31.93,31.19,24.61
7,Interest Expense,-5.64,-8.41,-6.81,-8.38,-3.59,-3.44,-2.67,-3.1,-2.43
8,Interest & Investment Income,1.05,1.13,0.05,0.14,0.63,0.01,0.05,0.08,0.05
9,Currency Exchange Gain (Loss),2.4,-0.31,1.63,2.37,1.89,-1,1,0.11,1.51
10,Other Non Operating Income (Expenses),1.26,1.55,0.15,2,0.03,0.53,0.11,0.8,0.33
11,EBT Excluding Unusual Items,21.04,33.2,10.56,22.35,39.72,9.28,30.43,29.07,24.06
12,Gain (Loss) on Sale of Assets,-,-,-,0.15,-,-,-,-,-
13,Other Unusual Items,0.08,0.65,0.08,0.81,0.27,4.18,5.2,3.44,0.29
14,Pretax Income,21.12,33.85,10.64,23.31,40,13.46,35.63,32.51,24.35
15,Income Tax Expense,3.29,7.34,2.62,3.55,9.83,4.82,9.1,12.76,8.12
16,Net Income,17.83,26.52,8.02,19.76,30.17,8.64,26.53,19.76,16.24
17,Net Income to Common,17.83,26.52,8.02,19.76,30.17,8.64,26.53,19.76,16.24
18,Net Income Growth,122.36%,34.18%,-73.42%,128.82%,13.72%,-56.28%,63.40%,-,-
19,Shares Outstanding (Basic),600,600,600,600,600,600,600,487,450
20,Shares Outstanding (Diluted),600,600,600,600,600,600,600,487,450
21,Shares Change (YoY),-,-,-,-,-,23.23%,33.33%,-,-
22,EPS (Basic),0.03,0.04,0.01,0.03,0.05,0.01,0.04,0.04,0.04
23,EPS (Diluted),0.03,0.04,0.01,0.03,0.05,0.01,0.04,0.04,0.04
24,EPS Growth,122.37%,34.18%,-73.42%,128.83%,13.72%,-64.53%,22.55%,-,-
25,Free Cash Flow,-4.22,85.71,-24.12,44.72,-64.91,-17.15,-66.92,1.84,-30.06
26,Free Cash Flow Per Share,-0.01,0.14,-0.04,0.07,-0.11,-0.03,-0.11,0.00,-0.07
27,Operating Margin,4.57%,6.24%,3.46%,4.76%,8.00%,3.26%,7.80%,6.93%,7.66%
28,Profit Margin,3.71%,4.22%,1.78%,3.59%,5.92%,2.14%,6.48%,4.39%,5.05%
29,Free Cash Flow Margin,-0.88%,13.63%,-5.37%,8.12%,-12.74%,-4.24%,-16.34%,0.41%,-9.35%
30,EBITDA,32.51,50.93,21.13,31.95,47.37,18.74,35.56,35.44,28.34
31,D&A For EBITDA,10.53,11.69,5.59,5.73,6.61,5.55,3.63,4.24,3.73
32,EBIT,21.97,39.23,15.54,26.23,40.76,13.19,31.93,31.19,24.61
