,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,3189581,3385589,3753846,4044888,3979552,3148004,2726290,2607498,2601558,2447128,3349951,3231159,4217137,3878579,3825122,3593476,3421227,2726290,2488705,2114508,1728432,Upgrade
1,Market Cap Growth,7.55%,7.55%,37.69%,55.13%,52.97%,28.64%,-18.62%,-19.30%,-38.31%,-36.91%,-12.42%,-10.08%,23.26%,42.27%,53.70%,69.94%,97.94%,-1.50%,-10.47%,-3.26%,-34.90%,Upgrade
2,Enterprise Value,3882942,4051141,4062239,4336102,4114433,3331521,2946968,2906989,2923245,2775407,3740556,3481117,4381334,4151756,3919926,3653444,3388773,2847115,2748586,2760184,2363360,Upgrade
3,Last Close Price,26850.00,28500.00,31064.41,33472.88,32275.44,25531.31,21701.62,20756.01,19496.06,17913.27,24522.04,23652.47,29651.40,27270.93,26501.29,24896.40,22882.85,18234.77,16246.50,13077.20,10689.51,Upgrade
4,PE Ratio,13.77,14.61,14.06,13.64,14.73,12.78,13.54,12.86,11.04,8.87,11.78,13.41,16.01,14.84,13.34,11.42,13.34,11.84,10.92,8.53,6.38,Upgrade
5,Forward PE,11.93,13.22,12.43,13.39,12.64,11.80,10.70,9.12,8.50,8.31,10.49,8.96,11.34,10.73,11.00,10.00,10.95,10.25,11.44,9.47,6.46,Upgrade
6,PS Ratio,0.68,0.72,0.81,0.89,0.91,0.70,0.60,0.55,0.55,0.50,0.65,0.69,0.89,0.89,0.92,0.86,0.91,0.75,0.71,0.60,0.45,Upgrade
7,PB Ratio,1.67,1.77,1.96,2.16,2.09,1.70,1.50,1.50,1.39,1.28,1.83,1.84,2.29,2.19,2.19,2.10,1.95,1.62,1.52,1.35,1.04,Upgrade
8,P/TBV Ratio,1.77,1.77,1.96,2.16,2.10,1.70,1.50,1.50,1.39,1.28,1.83,1.85,2.30,2.19,2.19,2.10,1.96,1.62,1.52,1.35,1.04,Upgrade
9,P/FCF Ratio,-,-,-,260.03,-,8.71,-,7.49,28.47,-,20.83,-,-,-49.55,-,7.92,-,3.23,3.77,4.45,-,Upgrade
10,P/OCF Ratio,-,-30.88,-,12.12,-,5.38,7.77,7.10,24.89,-,19.77,-,-,-57.19,-,7.80,-,3.20,3.68,4.31,-,Upgrade
11,PEG Ratio,2.98,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,Upgrade
12,EV/Sales Ratio,0.83,0.87,0.87,0.95,0.94,0.74,0.65,0.61,0.62,0.57,0.73,0.74,0.92,0.95,0.94,0.88,0.90,0.78,0.78,0.78,0.62,Upgrade
13,EV/EBITDA Ratio,9.74,10.16,9.15,9.42,9.77,8.46,7.57,7.30,6.61,5.58,7.28,7.79,9.03,8.52,7.55,5.03,4.88,3.97,3.79,4.32,3.44,Upgrade
14,EV/EBIT Ratio,13.53,14.12,11.91,11.96,12.39,10.78,9.60,9.12,8.12,6.68,8.95,9.96,11.47,10.96,9.46,7.96,8.70,7.65,8.11,7.49,5.76,Upgrade
15,EV/FCF Ratio,-8.70,-,-,278.75,-,9.21,-,8.35,31.99,-,23.26,-,-,-53.04,-,8.05,-,3.37,4.16,5.81,-,Upgrade
16,Debt / Equity Ratio,0.50,0.50,0.46,0.37,0.35,0.32,0.29,0.31,0.30,0.36,0.44,0.45,0.42,0.32,0.29,0.20,0.20,0.18,0.16,0.32,0.40,Upgrade
17,Debt / EBITDA Ratio,2.40,2.62,2.13,1.43,2.02,1.08,1.08,1.67,2.61,1.30,1.54,1.57,1.77,0.97,2.02,0.53,0.79,0.42,0.24,0.94,1.23,Upgrade
18,Debt / FCF Ratio,-,-,-,44.59,-,1.63,-,1.56,6.25,-,4.96,-,-,-7.33,-,0.76,-,0.36,0.40,1.06,-,Upgrade
19,Asset Turnover,1.09,1.27,1.54,1.15,1.34,1.43,1.49,1.37,1.28,1.56,1.36,1.58,1.75,1.32,1.86,1.48,1.88,1.57,1.21,1.20,Upgrade,
20,Inventory Turnover,2.95,2.81,3.54,3.89,2.81,3.02,3.04,3.03,2.56,2.16,2.62,2.43,3.02,3.15,2.58,4.09,3.65,4.53,3.69,2.59,2.42,Upgrade
21,Quick Ratio,0.45,0.45,0.51,0.61,0.59,0.57,0.63,0.54,0.50,0.41,0.39,0.37,0.53,0.45,0.33,0.50,0.65,0.63,0.52,0.43,0.25,Upgrade
22,Current Ratio,1.31,1.31,1.32,1.42,1.53,1.52,1.63,1.55,1.75,1.63,1.50,1.47,1.56,1.55,1.59,1.67,1.88,1.77,1.87,1.57,1.64,Upgrade
23,Return on Equity (ROE),12.35%,9.71%,16.42%,10.50%,20.58%,17.02%,11.26%,5.37%,17.25%,17.23%,18.64%,14.57%,19.83%,7.80%,24.52%,14.82%,26.29%,15.37%,11.84%,9.07%,Upgrade,
