,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Market Capitalization,91,93,79,50,52,76,109,142,187,216,84,Upgrade
1,Market Cap Growth,84.62%,84.62%,52.50%,-33.90%,-52.35%,-46.36%,-42.00%,-33.91%,123.88%,-52.61%,-56.00%,Upgrade
2,Enterprise Value,124,123,96,71,67,94,78,164,198,226,89,Upgrade
3,Last Close Price,0.07,0.07,0.06,0.04,0.04,0.06,0.09,0.11,0.27,0.31,0.12,Upgrade
4,PE Ratio,-,-11.58,-,-3.30,-,127.10,-,16.10,42.14,-,-,Upgrade
5,PS Ratio,1.48,1.53,1.20,0.80,0.76,0.74,1.00,1.27,1.77,3.37,0.92,Upgrade
6,PB Ratio,0.26,0.27,0.24,0.14,0.14,0.19,0.29,0.38,0.61,0.72,0.28,Upgrade
7,P/TBV Ratio,0.27,0.27,0.24,0.14,0.14,0.19,0.29,0.38,0.61,0.73,0.29,Upgrade
8,P/FCF Ratio,-,-,-,-23.86,-,-,-,-,-,-6.64,-,Upgrade
9,P/OCF Ratio,-,-,-,-23.86,-,-,-,-,-,-6.70,-,Upgrade
10,EV/Sales Ratio,2.04,2.01,1.46,1.11,0.98,0.91,0.72,1.47,1.87,3.52,0.98,Upgrade
11,EV/EBITDA Ratio,-,-,-,-,-,46.26,-,12.94,21.71,-17.99,-,Upgrade
12,EV/EBIT Ratio,-,-18.71,-,-5.84,-,47.91,-,13.07,22.28,-,-,Upgrade
13,EV/FCF Ratio,-,-,-,-33.43,-,-,-,-,-,-6.95,-,Upgrade
14,Debt / Equity Ratio,0.10,0.10,0.09,0.08,0.07,0.05,0.08,0.05,0.07,0.09,0.06,Upgrade
15,Debt / FCF Ratio,-,-,-,-12.74,-,-,-,-,-,-0.83,-,Upgrade
16,Return on Capital Employed (ROCE),-,-1.82%,-,-3.30%,-,0.48%,-,3.18%,2.72%,-,-,Upgrade
17,Earnings Yield,-8.89%,-8.64%,-23.44%,-30.32%,-27.92%,0.79%,0.56%,6.21%,2.37%,-12.12%,-35.14%,Upgrade
18,FCF Yield,-12.71%,-12.71%,-5.30%,-4.19%,-16.33%,-65.32%,-48.14%,-17.01%,-9.97%,-15.06%,-241.50%,Upgrade
19,Buyback Yield / Dilution,1.33%,-,2.63%,-3.64%,-6.69%,-72.28%,-84.37%,-16.09%,-8.70%,-9.00%,-9.54%,Upgrade
20,Total Shareholder Return,1.33%,-,2.63%,-3.64%,-6.69%,-72.28%,-84.37%,-16.09%,-8.70%,-9.00%,-9.54%,Upgrade
