,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Cash & Equivalents,-,2149,2624,2758,2892,3010,3344,42.47,49.28,-,-,-
1,Trading Asset Securities,-,411.09,-,-,27.71,33.04,83.82,164.26,237.36,-,-,-
2,Cash & Short-Term Investments,2561,2561,2624,2758,2920,3043,3428,206.73,286.64,-,-,441.25
3,Cash Growth,-12.31%,-15.85%,-23.44%,1234.17%,918.65%,-,-,-53.15%,-,-,-,-
4,Accounts Receivable,-,13.82,0.01,0.01,-,-,0.03,0.11,-,-,-,-
5,Other Receivables,-,3.18,0.22,3.14,0,2.77,-,-,-,-,-,-
6,Receivables,-,17,0.23,3.14,0,2.77,0.03,0.11,-,-,-,-
7,Inventory,-,57.48,59.72,59.89,55.45,61.09,49.56,53.53,56.33,-,-,-
8,Other Current Assets,-,109.66,81.12,78.78,56.56,57.78,59.92,69.45,56.03,-,-,-
9,Total Current Assets,-,2745,2765,2900,3032,3165,3538,329.82,399,-,-,-
10,"Property, Plant & Equipment",-,454.17,467.77,480.28,487.82,494.44,497.05,494.09,487.75,-,-,-
11,Other Intangible Assets,-,42.15,42.16,42.68,43.54,44.38,44.59,45.17,45.08,-,-,-
12,Long-Term Deferred Charges,-,25.87,25.53,26.73,27.92,28.2,29.35,30.43,25.51,-,-,-
13,Other Long-Term Assets,-,13.53,5.84,1.77,3.46,4.17,5.04,2.47,4.77,-,-,-
14,Total Assets,-,3280,3307,3451,3595,3736,4114,901.98,962.11,-,-,-
15,Accounts Payable,-,75.23,83.82,77.32,83.04,77.04,40.32,72.4,67.84,-,-,-
16,Accrued Expenses,-,28.79,31.1,22.77,37.33,16.78,33.15,16.97,29.71,-,-,-
17,Short-Term Debt,-,0.63,0.63,0.63,0.63,-,-,-,-,-,-,-
18,Current Portion of Long-Term Debt,-,26.99,1.12,-,-,9.16,21.01,6.38,5.3,-,-,-
19,Current Portion of Leases,-,-,12.58,11.54,10.07,-,9.27,9.37,7.64,-,-,-
20,Current Income Taxes Payable,-,1.12,-,0.85,-,1.7,-,-,-,-,-,-
21,Other Current Liabilities,-,11.56,5.63,6.94,5.81,6.07,39.88,11.04,15.87,-,-,-
22,Total Current Liabilities,-,144.31,134.88,120.05,136.87,110.76,143.64,116.16,126.37,-,-,-
23,Long-Term Debt,-,720.41,612.88,608.46,608.48,607.64,828.64,802.52,738.59,-,-,-
24,Long-Term Leases,-,17.04,18.47,21.66,21.82,23.61,25.6,29.35,30.37,-,-,-
25,Long-Term Unearned Revenue,-,45.42,41.66,42.43,43.2,35.43,36.07,36.71,37.69,-,-,-
26,Total Liabilities,-,927.17,807.89,792.6,810.36,777.43,1034,984.74,933.03,-,-,-
27,Common Stock,-,366.68,366.68,366.68,366.68,366.68,366.68,275,275,-,-,-
28,Additional Paid-In Capital,-,4153,4115,4076,4038,3979,3920,662.41,573.29,-,-,-
29,Retained Earnings,-,-2167,-1982,-1784,-1621,-1387,-1207,-1020,-819.21,-,-,-
30,Shareholders' Equity,2353,2353,2499,2659,2784,2958,3080,-82.77,29.08,-,-,311.98
31,Total Liabilities & Equity,-,3280,3307,3451,3595,3736,4114,901.98,962.11,-,-,-
32,Total Debt,765.07,765.07,645.68,642.29,640.99,640.41,884.52,847.63,781.91,-,-,571.6
33,Net Cash (Debt),1795,1795,1979,2116,2279,2403,2544,-640.9,-495.27,-,-,-130.35
34,Net Cash Growth,-21.21%,-25.27%,-22.21%,-,-,-,-,-,-,-,-,-
35,Net Cash Per Share,4.87,4.87,5.39,5.81,6.23,6.57,9.24,-2.33,-1.80,-,-,-0.47
36,Filing Date Shares Outstanding,366.68,366.68,366.68,366.68,366.68,365.95,366.68,275,275,274.65,270.59,277.51
37,Total Common Shares Outstanding,366.68,366.68,366.68,366.68,366.68,365.95,366.68,275,275,274.65,270.59,277.51
38,Working Capital,-,2600,2631,2780,2895,3054,3394,213.65,272.63,-,-,-
39,Book Value Per Share,6.42,6.42,6.81,7.25,7.59,8.08,8.40,-0.30,0.11,-,-,1.13
40,Tangible Book Value,2311,2311,2457,2616,2741,2914,3035,-127.94,-15.99,-,-,266.06
41,Tangible Book Value Per Share,6.30,6.30,6.70,7.13,7.47,7.96,8.28,-0.47,-0.06,-,-,0.97
42,Buildings,-,-,115.03,-,114.98,-,106.45,105.89,105.89,-,-,-
43,Machinery,-,-,466.55,-,457.63,-,310.83,307.71,302.65,-,-,-
44,Construction In Progress,-,-,50.03,-,52.18,-,188.48,176.93,164.82,-,-,-
