,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Operating Revenue,17.61,12.49,-0.01,0.01,0.93,0.14,-0.1,0.1,0.02,0.46,-,-
1,Other Revenue,-,-0.01,0.01,-,0.15,-0.13,0.13,-,-,-0.45,0.44,0.01
2,Revenue,17.61,12.48,0.01,0.01,1.07,0.01,0.03,0.1,0.02,0.01,0.44,0.01
3,Revenue Growth (YoY),1541.89%,196981.34%,-80.70%,-93.67%,5975.39%,0%,-92.63%,1479.98%,-,-,-,-
4,Cost of Revenue,-2.42,2.33,0.09,0,-0.34,0.83,-0.82,0.1,1.25,-0.07,0.53,0.06
5,Gross Profit,20.03,10.15,-0.08,0,1.41,-0.82,0.86,0,-1.23,0.07,-0.09,-0.05
6,"Selling, General & Admin",-163.66,64.81,58.56,40.3,51.07,38.28,38.25,46.18,47.05,45.55,48.47,12.56
7,Research & Development,-437.94,154.39,153.62,129.93,185.2,146.55,142.17,146.47,129.92,139.01,122.98,62.58
8,Other Operating Expenses,827.96,0.7,1.55,-0.2,0.88,-2.88,-0.14,-0.14,1.64,-0.29,-0.09,0.03
9,Operating Expenses,225.64,220.61,213.73,170.03,237.16,181.94,180.28,192.52,178.61,184.25,171.39,75.17
10,Operating Income,-205.61,-210.47,-213.81,-170.03,-235.75,-182.76,-179.43,-192.52,-179.85,-184.17,-171.47,-75.22
11,Interest Expense,-64.73,-7.49,-6.09,-7.03,-7.25,-9.45,-9.42,-8.86,-9.02,-8.55,-7.92,-7.26
12,Interest & Investment Income,20.61,31.35,20.02,13.36,5.93,10.9,0.57,0.06,0.06,0.04,0.75,0.04
13,Currency Exchange Gain (Loss),-,-,-,-,-0.1,0.1,-0.1,-,-0.8,0.49,-0.53,0.04
14,Other Non Operating Income (Expenses),-0.52,-0.01,-0,-0,0.09,-0.11,-0.07,0.07,1.05,-1.06,-0,-0
15,EBT Excluding Unusual Items,-250.25,-186.62,-199.88,-163.7,-237.08,-181.33,-188.45,-201.25,-188.56,-193.26,-179.17,-82.41
16,Gain (Loss) on Sale of Investments,-1.09,1.09,-,-,0.17,0.22,0.66,0.9,1.07,2.09,2.05,1.93
17,Gain (Loss) on Sale of Assets,0.54,-0.53,-0,-0.01,0.01,0.01,-0.01,-,-0,0,-0,-
18,Asset Writedown,0.11,-0.11,0.06,-0.06,-1.01,1.01,0.62,-0.62,1,-1,-,-
19,Other Unusual Items,-3.41,1.75,1.65,-,4.84,-,-,-,59.89,-,-,-
20,Pretax Income,-254.1,-184.41,-198.16,-163.77,-233.08,-180.09,-187.19,-200.97,-126.6,-192.16,-177.13,-80.48
21,Net Income,-254.1,-184.41,-198.16,-163.77,-233.08,-180.09,-187.19,-200.97,-126.6,-192.16,-177.13,-80.48
22,Net Income to Common,-254.1,-184.41,-198.16,-163.77,-233.08,-180.09,-187.19,-200.97,-126.6,-192.16,-177.13,-80.48
23,Shares Outstanding (Basic),369,369,367,364,366,366,275,275,275,275,271,278
24,Shares Outstanding (Diluted),369,369,367,364,366,366,275,275,275,275,271,278
25,Shares Change (YoY),0.85%,0.79%,33.41%,32.20%,32.90%,33.24%,1.73%,-0.80%,-,-,-,-
26,EPS (Basic),-0.69,-0.50,-0.54,-0.45,-0.64,-0.49,-0.68,-0.73,-0.46,-0.70,-0.65,-0.29
27,EPS (Diluted),-0.69,-0.50,-0.54,-0.45,-0.64,-0.49,-0.68,-0.73,-0.46,-0.70,-0.65,-0.29
28,Free Cash Flow,-,-176.63,-129.5,-151.7,-113.34,-117.26,-101.32,-136.64,-22.39,-176.94,-31.8,-92.72
29,Free Cash Flow Per Share,-,-0.48,-0.35,-0.42,-0.31,-0.32,-0.37,-0.50,-0.08,-0.64,-0.12,-0.33
30,Gross Margin,113.74%,81.33%,-,65.56%,131.38%,-,2610.90%,4.10%,-,1139.00%,-19.51%,-
31,Operating Margin,-1167.77%,-1687.08%,-3377707.52%,-2686024.25%,-21983.95%,-2887225.21%,-547187.24%,-192493.75%,-1018910.29%,-2909549.56%,-38539.58%,-1188301.09%
32,Profit Margin,-1443.20%,-1478.22%,-3130539.49%,-2587203.98%,-21734.74%,-2844999.02%,-570844.35%,-200942.99%,-717233.14%,-3035729.53%,-39810.27%,-1271370.16%
33,Free Cash Flow Margin,-,-1415.80%,-2045862.88%,-2396526.13%,-10569.35%,-1852432.72%,-308978.36%,-136623.84%,-126839.35%,-2795248.01%,-7146.27%,-1464817.36%
34,EBITDA,-194.06,-198.92,-199.4,-158.48,-224.2,-172.8,-169.47,-182.61,-169.88,-178.09,-165.39,-62.45
35,D&A For EBITDA,11.55,11.55,14.41,11.55,11.55,9.96,9.96,9.91,9.96,6.08,6.08,12.77
36,EBIT,-205.61,-210.47,-213.81,-170.03,-235.75,-182.76,-179.43,-192.52,-179.85,-184.17,-171.47,-75.22
37,Revenue as Reported,-,12.48,0.01,-,1.07,0.01,0.13,-,0.02,0.01,0.44,0.01
