,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Mar '25 Mar 11, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Market Capitalization,8452,9200,11147,10905,14766,14649,11308,11334,-,-,-,-,-
1,Market Cap Growth,-37.20%,-37.20%,-1.43%,-3.79%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,6657,7405,9168,8789,12364,12246,8765,11975,-,-,-,-,-
3,Last Close Price,23.05,25.09,30.40,29.74,40.27,39.95,30.84,30.91,-,-,-,-,-
4,PS Ratio,281.23,305.70,822.04,9992.21,13209.85,12091.50,72126.87,72290.58,-,-,-,-,-
5,PB Ratio,3.59,3.91,4.74,4.36,5.55,5.26,3.82,3.68,-,-,-,-,-
6,P/TBV Ratio,3.98,3.98,4.82,4.44,5.64,5.34,3.88,3.73,-,-,-,-,-
7,EV/Sales Ratio,221.18,246.04,676.12,8053.48,11060.52,10108.38,55903.77,76378.31,-,-,-,-,-
8,Debt / Equity Ratio,0.33,0.33,0.33,0.26,0.24,0.23,0.22,0.29,-10.24,26.89,-,-,1.83
9,Asset Turnover,-,0.02,0.00,0.00,0.00,0.00,0.00,0.00,-,-,-,-,
10,Inventory Turnover,-,-,0.16,0.01,0.00,-,0.06,-,0.01,-,-,-,-
11,Quick Ratio,-,-,17.86,19.46,23.00,21.33,27.50,23.87,1.78,2.27,-,-,-
12,Current Ratio,-,-,19.02,20.50,24.16,22.15,28.57,24.63,2.84,3.16,-,-,-
13,Return on Equity (ROE),-43.19%,-30.41%,-30.74%,-24.07%,-32.47%,-23.86%,-49.97%,-,-,-,-,-,
14,Return on Assets (ROA),-,-15.98%,-15.82%,-12.07%,-16.08%,-11.64%,-17.89%,-51.64%,-,-,-,-,
15,Return on Capital (ROIC),-16.48%,-16.80%,-16.59%,-12.64%,-16.78%,-12.08%,-18.97%,-61.08%,-,-,-,-,
16,Earnings Yield,-9.47%,-8.70%,-6.99%,-7.11%,-5.17%,-5.47%,-6.14%,-6.24%,-,-,-,-,-
17,FCF Yield,-,-5.12%,-4.69%,-3.28%,-3.20%,-3.34%,-3.86%,-,-,-,-,-,
18,Buyback Yield / Dilution,-14.55%,-0.85%,-0.79%,-33.41%,-32.20%,-32.90%,-33.24%,-1.73%,0.80%,-,-,-,-
19,Total Shareholder Return,-14.55%,-0.85%,-0.79%,-33.41%,-32.20%,-32.90%,-33.24%,-1.73%,0.80%,-,-,-,-
