,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,848515,325334,572517,424725,607069,311670,337752,546663,675607,644256,594371,460608,296219,452243,603173,228230,1078524,383048,395099,289199,Upgrade
1,Short-Term Investments,17015,16840,16189,16189,16189,15973,15345,15345,15345,15182,14628,14628,14628,14472,13883,13883,13883,13803,13091,13000,Upgrade
2,Trading Asset Securities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.8,0.8,0.8,0.8,0.8,Upgrade
3,Cash & Short-Term Investments,865530,342174,588707,440914,623259,327643,353097,562008,690952,659437,608999,475236,310847,466715,617056,242114,1092408,396852,408191,302199,Upgrade
4,Cash Growth,38.87%,4.43%,66.73%,-21.55%,-9.80%,-50.31%,-42.02%,18.26%,122.28%,41.29%,-1.31%,96.29%,-71.54%,17.60%,51.17%,-19.88%,31.50%,-25.31%,-18.22%,1.55%,Upgrade
5,Accounts Receivable,240158,280361,271847,296189,278817,334007,332812,287872,260600,213366,237219,283712,258015,331105,300696,375505,351470,358726,325118,318149,Upgrade
6,Other Receivables,62599,8237,58535,56412,52788,60065,51764,49614,49705,49288,46938,46910,44054,55015,39429,44165,40933,32733,31970,30915,Upgrade
7,Receivables,302758,288598,330382,352600,331605,394072,384576,337486,310305,262653,284157,330621,302070,386121,340125,419670,392403,391459,357089,349064,Upgrade
8,Inventory,646114,780440,721498,765952,846615,841263,897201,835343,1044110,1033466,705376,532846,667174,1015764,722066,797010,716900,747265,881772,842473,Upgrade
9,Prepaid Expenses,30872,71876,19544,43156,41967,57079,82122,95831,53199,42846,57944,45063,5072,35125,44755,46565,3996,67970,54639,61855,Upgrade
10,Other Current Assets,58722,296488,95108,227230,125406,515732,599117,499970,274400,354247,255086,229252,242703,106882,110985,101923,127192,107857,115506,114225,Upgrade
11,Total Current Assets,1903995,1779576,1755239,1829852,1968852,2135789,2316113,2330638,2372965,2352649,1911561,1613019,1527866,2010607,1834987,1607283,2332898,1711403,1817196,1669817,Upgrade
12,"Property, Plant & Equipment",4959022,5158305,5803584,5837801,5958593,6037368,6163481,6290735,6366361,6399485,6485348,6581090,6715666,6823551,6929922,7042875,7173923,7308512,7447908,7604935,Upgrade
13,Long-Term Investments,36484,33394,42049,35095,31171,29666,35252,27790,26082,30895,34132,45059,44436,40310,34874,35588,31458,26985,26723,26075,Upgrade
14,Goodwill,66.96,75.33,83.7,92.07,100.44,108.81,117.18,125.55,133.92,142.29,150.66,159.03,167.4,175.77,184.14,192.51,200.88,209.25,217.62,225.99,Upgrade
15,Other Intangible Assets,640915,648588,102206,103222,103893,104470,103415,103995,104568,100939,94854,95083,95310,94583,94771,94963,95155,95351,95912,97182,Upgrade
16,Long-Term Deferred Tax Assets,11061,13494,9043,2741,8963,6404,6322,2860,12764,12975,9706,4921,10832,5417,3278,1545,8582,1815,3520,1022,Upgrade
17,Other Long-Term Assets,670824,612568,550680,533203,552177,542416,495178,500608,502184,491894,428445,439233,488673,356991,370496,390203,398314,370875,352181,352721,Upgrade
18,Total Assets,8222369,8245998,8262883,8342006,8623750,8856221,9119878,9256751,9385058,9388979,8964196,8778564,8882951,9331635,9268512,9172649,10040531,9515149,9743656,9751978,Upgrade
19,Accounts Payable,1130189,1271098,1352909,1127712,1230721,984240,1134300,1138750,1434038,1404927,1350489,1181465,1208301,1193280,1077321,807186,1367655,909804,817028,951848,Upgrade
20,Accrued Expenses,247434,350709,339060,257336,317829,391744,396915,233335,345452,464896,430861,252908,353608,552465,477436,246030,297472,316097,533873,116750,Upgrade
21,Short-Term Debt,1511390,1314001,1294199,1592111,1578036,2052194,2142452,2317479,1845022,1700955,1510275,1759368,1611128,1787828,1332611,2250053,1562959,1984699,1408294,2249658,Upgrade
22,Current Portion of Long-Term Debt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,550375,-,813988,-,649098,-,Upgrade
23,Current Income Taxes Payable,-,9050,5272,-,3010,76.08,1.94,0.67,18121,43120,32786,7245,55349,20516,76854,16973,31290,80199,74608,27855,Upgrade
24,Current Unearned Revenue,132431,133334,313409,276073,121084,322570,95663,268980,130322,345251,109807,63973,136004,110739,87152,45052,103319,77522,74222,38134,Upgrade
25,Other Current Liabilities,299757,288277,101510,260490,520444,157120,392280,263900,482428,354387,313739,297658,283977,71813,52387,315469,451927,56763,66860,93735,Upgrade
26,Total Current Liabilities,3321200,3366468,3406358,3513723,3771125,3907944,4161613,4222445,4255383,4313536,3747957,3562617,3648367,3736641,3654136,3680763,4628610,3425084,3623982,3477979,Upgrade
27,Long-Term Debt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,371817,550375,808228,Upgrade
28,Long-Term Deferred Tax Liabilities,276.07,356.39,356.39,356.39,356.39,444.4,444.4,444.4,444.4,540.82,-,-,540.82,-,-,-,-,-,-,-,Upgrade
29,Other Long-Term Liabilities,20752,20403,20055,19706,19358,17428,17155,16881,16608,16335,16062,15788,15515,15242,14969,14695,19455,14249,13876,13602,Upgrade
30,Total Liabilities,3342228,3387228,3426769,3533785,3790839,3925816,4179212,4239770,4272435,4330411,3764018,3578405,3664423,3751883,3669105,3695458,4648065,3811150,4188233,4299809,Upgrade
31,Common Stock,3815899,3815899,3815899,3815899,3815899,3815899,3815899,3815899,3815899,3815899,3815899,3815899,3815899,3815899,3815899,3815899,3815899,3815899,3815899,3815899,Upgrade
