,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Revenue,73.31,62.31,78.04,74.68,91.81,124.16,79.62,84.53,65.36,130.8,Upgrade
1,Revenue Growth (YoY),-6.06%,-16.56%,-15.00%,-39.85%,15.31%,46.88%,21.83%,-35.37%,-6.58%,37.39%,Upgrade
2,Cost of Revenue,56.93,42.56,59.31,53.42,66.55,103.86,61.35,65.59,51.5,89.15,Upgrade
3,Gross Profit,16.38,19.75,18.72,21.26,25.25,20.29,18.27,18.94,13.85,41.65,Upgrade
4,"Selling, General & Admin",47.94,54.6,48.78,49.58,62.38,51.33,64.7,61.58,70.22,90.46,Upgrade
5,Operating Expenses,50.74,53.45,50.93,50.47,65.23,48.88,65.81,61.39,70.22,90.46,Upgrade
6,Operating Income,-34.35,-33.7,-32.21,-29.21,-39.98,-28.58,-47.54,-42.46,-56.36,-48.81,Upgrade
7,Interest Expense,-0.1,-0.11,-0.26,-0.84,-0.6,-1.12,-0.95,-0.7,-1.24,-4.95,Upgrade
8,Interest & Investment Income,4.77,11.57,11.54,15.19,12.31,18.67,17.95,17.55,20.23,15.15,Upgrade
9,Earnings From Equity Investments,-10.23,-16.44,-6.58,-27.36,-16.14,-12.24,-5.65,-33.74,-9.54,-4.89,Upgrade
10,Currency Exchange Gain (Loss),-12.6,-0.88,10.11,1.68,-1.68,-4.54,8.58,20.48,-20.15,-2.95,Upgrade
11,Other Non Operating Income (Expenses),7.83,-7.01,7.23,-18.08,6.86,-4.8,5.32,-35.05,4.27,13.66,Upgrade
12,EBT Excluding Unusual Items,-44.68,-46.56,-10.17,-58.62,-39.22,-32.6,-22.29,-73.92,-62.79,-32.79,Upgrade
13,Impairment of Goodwill,-,-,-,-,-,-,-,-,-,-63.24,Upgrade
14,Gain (Loss) on Sale of Investments,-8.45,1.8,-1.54,-6.72,6.08,13.89,5.21,-34.41,11.52,-321.07,Upgrade
15,Gain (Loss) on Sale of Assets,-0,-0.04,-0.03,0.53,0.13,-,-,8.61,-27.34,48.95,Upgrade
16,Asset Writedown,-7.13,-4.48,-7.68,-2.22,-2.66,-1.45,-0.96,-1.48,-1.22,-41.19,Upgrade
17,Other Unusual Items,-0.08,-,-0.08,-,-,-8.43,-,-19.68,-,1.31,Upgrade
18,Pretax Income,-60.34,-49.28,-19.5,-67.02,-35.67,-28.58,-18.04,-120.88,-79.83,-408.02,Upgrade
19,Income Tax Expense,-2.76,-5.59,-1.47,-2.61,-1.29,0.21,-6.59,-3.11,2.38,-3.76,Upgrade
20,Earnings From Continuing Operations,-57.58,-43.69,-18.03,-64.42,-34.39,-28.79,-11.45,-117.77,-82.22,-404.26,Upgrade
21,Net Income to Company,-57.58,-43.69,-18.03,-64.42,-34.39,-28.79,-11.45,-117.77,-82.22,-404.26,Upgrade
22,Minority Interest in Earnings,1.17,-2.18,2.02,-0.46,1.57,1.7,-0.87,8.15,6.52,42.44,Upgrade
23,Net Income,-56.41,-45.87,-16.01,-64.88,-32.82,-27.09,-12.32,-109.63,-75.7,-361.82,Upgrade
24,Net Income to Common,-56.41,-45.87,-16.01,-64.88,-32.82,-27.09,-12.32,-109.63,-75.7,-361.82,Upgrade
25,Shares Outstanding (Basic),6059,6059,6059,6061,6079,6079,6079,6079,6079,6079,Upgrade
26,Shares Outstanding (Diluted),6059,6059,6059,6061,6079,6079,6079,6079,6079,6079,Upgrade
27,Shares Change (YoY),-,-0.04%,-0.33%,-0.30%,-,-,-,-0.00%,0.27%,0.29%,Upgrade
28,EPS (Basic),-0.01,-0.01,-0.00,-0.01,-0.01,-0.00,-0.00,-0.02,-0.01,-0.06,Upgrade
29,EPS (Diluted),-0.01,-0.01,-0.00,-0.01,-0.01,-0.00,-0.00,-0.02,-0.01,-0.06,Upgrade
30,Free Cash Flow,-39.52,-32.45,-12.65,-32.49,-1.91,35.07,-57.88,73.46,-77.97,-36.71,Upgrade
31,Free Cash Flow Per Share,-0.01,-0.01,-0.00,-0.01,-0.00,0.01,-0.01,0.01,-0.01,-0.01,Upgrade
32,Operating Margin,-46.86%,-54.08%,-41.27%,-39.12%,-43.54%,-23.02%,-59.70%,-50.22%,-86.24%,-37.31%,Upgrade
33,Profit Margin,-76.95%,-73.61%,-20.52%,-86.88%,-35.75%,-21.82%,-15.47%,-129.68%,-115.83%,-276.62%,Upgrade
34,Free Cash Flow Margin,-53.90%,-52.08%,-16.21%,-43.51%,-2.08%,28.24%,-72.69%,86.90%,-119.30%,-28.07%,Upgrade
35,EBITDA,-32.37,-31.37,-29.97,-27.22,-36.81,-23.84,-41.93,-37.64,-50.5,-42.49,Upgrade
36,D&A For EBITDA,1.98,2.32,2.24,1.99,3.17,4.74,5.61,4.82,5.87,6.32,Upgrade
37,EBIT,-34.35,-33.7,-32.21,-29.21,-39.98,-28.58,-47.54,-42.46,-56.36,-48.81,Upgrade
38,Advertising Expenses,2.03,-,1.47,-,0.79,-,0.49,-,0.42,-,Upgrade
