,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,2001,2310,2218,3079,2671,2569,2698,2827,2704,3046,3729,5293,-,-,-,-
1,Market Cap Growth,-10.07%,-10.07%,-17.79%,8.92%,-1.18%,-15.68%,-27.64%,-46.60%,-,-,-,-,-,-,-,-
2,Enterprise Value,2024,2327,2186,2999,2592,2471,2562,2611,2488,2777,3341,5129,-,-,-,-
3,Last Close Price,25.68,29.65,28.32,39.31,34.11,32.75,34.40,35.89,34.33,39.42,48.25,68.08,-,-,-,-
4,PE Ratio,-,-,-,-,-,105.07,101.49,-,77.03,47.76,56.17,69.07,-,-,-,-
5,Forward PE,-,24.22,24.22,24.22,24.22,24.22,24.22,24.22,22.60,25.95,-,-,-,-,-,-
6,PS Ratio,6.51,9.09,9.01,13.82,11.39,7.05,7.29,7.84,7.31,9.72,11.88,16.21,-,-,-,-
7,PB Ratio,2.56,2.95,2.80,3.82,3.27,2.93,3.09,3.25,3.09,3.58,4.40,6.14,-,-,-,-
8,P/TBV Ratio,3.09,3.09,2.93,3.99,3.42,3.05,3.22,3.38,3.22,3.72,4.58,6.39,-,-,-,-
9,P/FCF Ratio,-,-37.26,-,-,-17.77,-,-,-,-12.81,-,-,-,-,-,-,-
10,P/OCF Ratio,122.49,122.49,-,-,-50.69,-278.69,-,-,-28.63,-,-,-,-,-,-,-
11,EV/Sales Ratio,7.97,9.16,8.88,13.46,11.05,6.78,6.92,7.24,6.73,8.87,10.65,15.71,-,-,-,-
12,EV/EBITDA Ratio,-,-25.26,-,-,-,58.66,55.37,-,47.34,34.17,40.13,53.48,-,-,-,-
13,EV/EBIT Ratio,-,-21.76,-,-,-,79.12,71.99,-,57.24,38.37,44.31,58.35,-,-,-,-
14,EV/FCF Ratio,-32.65,-37.53,-,-,-17.25,-,-,-,-11.79,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.17,0.17,0.15,0.12,0.11,0.10,0.08,0.09,0.09,0.02,0.05,0.07,0.11,-,0.04,0.02
16,Debt / EBITDA Ratio,-,8.39,-,-,-,2.72,0.94,-,0.59,0.32,1.06,2.60,0.26,-,0.19,-
17,Debt / FCF Ratio,-,-2.19,-,-,-0.60,-,-,-,-0.37,-,-,-,14.62,-,-,-
18,Asset Turnover,0.15,0.36,0.05,0.38,0.12,0.26,0.08,0.86,0.15,0.25,0.15,-,-,-,-,
19,Inventory Turnover,1.16,0.55,1.73,0.29,2.92,0.40,0.84,0.42,3.45,0.47,0.97,0.61,-,-,-,-
20,Quick Ratio,1.46,1.46,1.78,2.27,2.36,2.59,2.59,2.79,2.69,3.70,4.11,4.33,2.31,-,3.37,-
21,Current Ratio,2.38,2.38,2.71,3.40,3.14,3.81,3.75,3.82,3.34,5.45,5.43,5.29,2.92,-,4.60,-
22,Return on Equity (ROE),-4.93%,-7.00%,-5.07%,-33.18%,0.41%,3.01%,-2.56%,10.46%,1.43%,3.29%,1.41%,-,-,15.06%,-,
23,Return on Assets (ROA),0.12%,-3.66%,-2.98%,-17.85%,1.18%,2.14%,-1.47%,5.28%,2.41%,1.86%,0.90%,-,-,-,-,
24,Return on Capital (ROIC),0.15%,-4.34%,-3.52%,-21.18%,1.39%,2.54%,-1.78%,6.34%,2.74%,2.08%,1.05%,-,-,10.61%,-,
25,Return on Capital Employed (ROCE),-,-12.92%,-,-,-,3.41%,3.91%,-,4.75%,8.45%,8.84%,10.14%,15.04%,-,3.15%,-
26,Earnings Yield,-5.21%,-4.51%,-4.22%,-2.37%,-2.56%,0.95%,0.99%,0.96%,1.30%,2.09%,1.78%,1.45%,-,-,-,-
27,FCF Yield,-3.10%,-2.68%,-3.70%,-2.87%,-5.63%,-5.40%,-6.38%,-7.34%,-7.80%,-2.14%,-1.82%,-0.16%,-,-,-,-
28,Dividend Yield,0.00%,-,-,-,-,-,-,-,0.39%,-,-,-,-,-,-,-
29,Payout Ratio,0.00%,-,-,-,-,101.32%,153.00%,-,6.59%,5.25%,293.35%,20.16%,1.80%,-,-,-
30,Buyback Yield / Dilution,26.89%,8.09%,36.46%,0.86%,63.50%,-15.80%,-35.04%,-30.10%,-25.83%,-32.76%,-34.62%,-12.25%,-,-,-,-
31,Total Shareholder Return,26.89%,8.09%,36.46%,0.86%,63.50%,-15.80%,-35.04%,-30.10%,-25.44%,-32.76%,-34.62%,-12.25%,-,-,-,-
