,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,41.53,94.77,12.47,105.13,32.81,72.23,24.24,234.94,38.72,62.32,33.6,178.27,39.4,74.98,12.14
1,Other Revenue,-0.84,0.84,-,0.21,-0.12,0.12,-,0.18,-0.11,0.11,-,0.31,-0.13,0.13,-
2,Revenue,40.69,95.61,12.47,105.34,32.69,72.35,24.24,235.12,38.62,62.43,33.6,178.58,39.27,75.1,12.14
3,Revenue Growth (YoY),24.47%,32.16%,-48.56%,-55.20%,-15.34%,15.88%,-27.85%,31.66%,-1.67%,-16.87%,176.79%,-,-,-,-
4,Cost of Revenue,31.21,86.23,12.53,137.69,20.7,39.89,16.92,144.89,20.1,33.41,17.43,91.1,22.06,36.03,7.73
5,Gross Profit,9.48,9.39,-0.06,-32.35,11.99,32.45,7.32,90.23,18.52,29.03,16.17,87.49,17.22,39.08,4.41
6,"Selling, General & Admin",12.88,14.64,12.04,18.6,13.88,16.28,10.66,25.79,9.19,10.04,8.44,12.69,6,7.96,7.3
7,Research & Development,1.81,1.52,2.43,2.81,1.61,1.86,3.03,-1.71,3.12,3.29,3.06,2.31,2.01,2.24,1.88
8,Other Operating Expenses,-3.83,0.13,0.25,-0.88,-1.16,0.41,0.25,3.17,-0.35,0.38,0.15,2.22,0.25,0.86,0.07
9,Operating Expenses,8.94,25.09,12.68,46.69,6.7,22.84,14.1,67.14,8.86,21.47,13.01,35.47,4.53,19.02,9.55
10,Operating Income,0.54,-15.71,-12.74,-79.04,5.3,9.62,-6.78,23.09,9.66,7.56,3.16,52.01,12.69,20.05,-5.14
11,Interest Expense,-0.83,-0.76,-0.5,-1.26,-0.55,-0.53,-0.32,-1.67,-0.04,-0.39,-0.5,-1.07,-0.84,-0.07,-0.1
12,Interest & Investment Income,0.25,0.31,0.5,0.61,0.64,2.03,-,1.04,1.23,1.4,0.44,0.72,-,0.37,0.22
13,Other Non Operating Income (Expenses),0.09,-0.16,-0.09,-0.91,0.08,-1.23,0.99,0.13,-0.14,-0.15,-0.02,-0.73,0.7,-0.06,-0.01
14,EBT Excluding Unusual Items,0.04,-16.31,-12.83,-80.6,5.46,9.89,-6.11,22.59,10.7,8.42,3.08,50.95,12.55,20.29,-5.03
15,Gain (Loss) on Sale of Assets,-,-,-0.02,-0.01,-,-0.06,-0,0.19,-0.18,-0.01,-0,-0,-0,-0.01,-0.06
16,Asset Writedown,-8.05,0.14,-0.14,6.4,-6.4,-0.53,0.53,6.4,-6.4,0.21,-0.21,6.12,-6.12,-0.06,0.06
17,Other Unusual Items,-2.7,1.48,1.1,-8.52,2.1,-2.1,-,-3.24,0,-0,-,4,-0.03,0.03,-
18,Pretax Income,-10.71,-14.69,-11.89,-82.73,1.16,7.21,-5.58,25.93,4.12,8.62,2.87,61.07,6.39,20.25,-5.02
19,Income Tax Expense,-1,-0.71,-1.61,-12.55,0.26,0.66,0,3.36,1.08,1.59,0.42,9.81,0.75,2.96,-0.66
20,Net Income,-9.7,-13.98,-10.27,-70.18,0.9,6.55,-5.58,22.57,3.04,7.03,2.45,51.26,5.64,17.28,-4.37
21,Net Income to Common,-9.7,-13.98,-10.27,-70.18,0.9,6.55,-5.58,22.57,3.04,7.03,2.45,51.26,5.64,17.28,-4.37
22,Net Income Growth,-,-,-,-,-70.30%,-6.83%,-,-55.96%,-46.12%,-59.32%,-,-,-,-,-
23,Shares Outstanding (Basic),80,73,79,26,87,114,80,71,75,85,61,57,57,63,55
24,Shares Outstanding (Diluted),80,73,79,26,87,114,80,71,75,85,61,57,57,63,55
25,Shares Change (YoY),-8.09%,-36.46%,-0.86%,-63.50%,15.80%,35.04%,30.10%,25.83%,32.76%,34.62%,12.25%,-,-,-,-
26,EPS (Basic),-0.12,-0.19,-0.13,-2.69,0.01,0.06,-0.07,0.32,0.04,0.08,0.04,0.90,0.10,0.28,-0.08
27,EPS (Diluted),-0.12,-0.19,-0.13,-2.69,0.01,0.06,-0.07,0.32,0.04,0.08,0.04,0.90,0.10,0.28,-0.08
28,EPS Growth,-,-,-,-,-74.35%,-31.00%,-,-65.00%,-59.42%,-69.78%,-,-,-,-,-
29,Free Cash Flow,2.5,-45.5,-61.95,42.95,-17.64,-51.77,-123.84,54.61,-51.05,-87.21,-127.34,200.32,-53.58,-27.98,-114.88
30,Free Cash Flow Per Share,0.03,-0.63,-0.78,1.65,-0.20,-0.45,-1.55,0.76,-0.68,-1.03,-2.08,3.53,-0.95,-0.45,-2.10
31,Dividend Per Share,-,-,-,-,-,-,-,0.135,-,-,-,0.280,-,-,-
