,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,112.13,98.54,128.29,189.02,164.18,164.5,217.47,338.43,230.88,315.21,443.86,220.92,-,35.77,-
1,Cash & Short-Term Investments,112.13,98.54,128.29,189.02,164.18,164.5,217.47,338.43,230.88,315.21,443.86,220.92,-,35.77,179.31
2,Cash Growth,-31.70%,-40.10%,-41.01%,-44.15%,-28.89%,-47.81%,-51.00%,53.19%,-,781.17%,147.54%,-,-,-,-
3,Accounts Receivable,334.71,363.17,323.94,361.01,366.26,392.73,382.84,382.71,312.8,294.53,272.66,244.24,-,276.47,-
4,Other Receivables,5.15,5.32,5.12,4.38,4.51,-,3.75,2.54,-,-,-,-,-,1.07,-
5,Receivables,339.86,368.49,329.06,365.39,370.77,392.73,386.59,385.25,312.8,294.53,272.66,244.24,-,277.53,-
6,Inventory,241.81,208.06,191.48,157.73,218.99,198.45,182.5,143.42,192.91,148.68,128.08,102.4,-,93.84,-
7,Prepaid Expenses,-,0.7,-,0.77,-,3.75,-,0.7,-,-,-,0.97,-,-,-
8,Other Current Assets,41.16,34.7,36.39,23.1,34.62,45.72,41.56,32.25,63.14,47.91,30.77,19.88,-,19.91,-
9,Total Current Assets,734.96,710.49,685.22,736.01,788.56,805.16,828.13,900.04,799.73,806.33,875.37,588.41,-,427.06,-
10,"Property, Plant & Equipment",297.17,285.22,266.77,252.41,188.56,186.73,185.41,165.61,120.94,101.29,96.93,74.63,-,75.8,-
