,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,48,43,50,98,93,99,160,222,277,1616,-
1,Market Cap Growth,-55.74%,-55.74%,-46.55%,-1.61%,-42.00%,-55.40%,-42.20%,-86.24%,-,-,-
2,Enterprise Value,94,85,73,122,87,118,161,209,213,1589,-
3,Last Close Price,0.03,0.03,0.03,0.06,0.06,0.06,0.10,0.14,0.17,1.01,-
4,PE Ratio,-,-,-,-,-,1.98,5.56,4.00,4.57,28.88,-
5,PS Ratio,0.09,0.08,0.08,0.18,0.15,0.16,0.30,0.39,0.52,2.95,-
6,PB Ratio,0.14,0.13,0.14,0.25,0.24,0.25,0.44,0.64,0.84,5.56,-
7,P/TBV Ratio,0.13,0.13,0.14,0.25,0.24,0.25,0.44,0.64,0.84,5.56,-
8,P/FCF Ratio,-,-,-,-3.89,-,14.20,-,-,-,335.76,-
9,P/OCF Ratio,-,-,-,-3.97,-,6.72,-,-,-,335.62,-
10,EV/Sales Ratio,0.18,0.16,0.12,0.22,0.14,0.20,0.30,0.36,0.40,2.90,-
11,EV/EBITDA Ratio,-,-,-,65.83,-,2.17,3.25,3.77,3.49,18.00,-
12,EV/EBIT Ratio,-,-,-,-,-,2.87,4.52,4.83,3.91,18.77,-
13,EV/FCF Ratio,-5.15,-,-,-4.87,-,16.95,-,-,-,330.05,-
14,Debt / Equity Ratio,0.17,0.17,0.15,0.10,0.13,0.07,0.14,0.10,0.13,0.04,0.10
15,Debt / FCF Ratio,-,-,-,-1.55,-,4.25,-,-,-,2.43,-
16,Return on Capital Employed (ROCE),-,-,-,-,-,10.41%,9.88%,12.48%,16.44%,28.99%,40.58%
17,Earnings Yield,-109.09%,-121.21%,-65.31%,-10.15%,32.95%,50.46%,17.99%,25.01%,21.90%,3.46%,-
18,FCF Yield,-38.05%,-42.28%,-29.38%,-25.70%,-1.17%,7.04%,-20.13%,-64.86%,-43.42%,0.30%,-
19,Buyback Yield / Dilution,-,-,-,-,-,0.07%,-33.09%,-33.43%,-0.18%,-,
20,Total Shareholder Return,-,-,-,-,-,0.07%,-33.09%,-33.43%,-0.18%,-,
