,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+1 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+1 Quarters
0,Operating Revenue,1722,1483,1599,1581,1233,1168,990.31,1095,449.92,918.54,Upgrade
1,Other Revenue,-,13.73,4.68,8.84,-,22.82,5.08,-,-,-,Upgrade
2,Revenue,1722,1497,1603,1589,1233,1191,995.39,1095,449.92,918.54,Upgrade
3,Revenue Growth (YoY),7.43%,-5.84%,30.09%,33.50%,23.82%,8.68%,121.24%,19.26%,-62.21%,-22.99%,Upgrade
4,Cost of Revenue,1403,1379,1321,1240,927.51,894.96,747.73,808.1,301.5,649.3,Upgrade
5,Gross Profit,318.96,117.87,282.27,348.98,305.03,295.59,247.67,287.34,148.42,269.24,Upgrade
6,"Selling, General & Admin",157.5,208.07,155.64,174.56,141.56,147.7,143.8,161.74,120.44,149.34,Upgrade
7,Research & Development,133.08,237.53,121.43,117.57,143.48,94.58,85.57,84.02,63.58,85.97,Upgrade
8,Other Operating Expenses,-18.51,11.06,5.12,-4.68,-4.68,-2.46,-0.56,-1.44,1.44,-1.7,Upgrade
9,Operating Expenses,276.27,377.85,243.94,233.54,273.1,265.75,237.36,258.81,203.75,277.39,Upgrade
10,Operating Income,42.69,-259.98,38.33,115.44,31.93,29.84,10.31,28.53,-55.33,-8.14,Upgrade
11,Interest Expense,-0.27,-0.28,-0.39,-,-,-,-,-,-,-,Upgrade
12,Interest & Investment Income,18.78,10.91,14.33,12.43,13.61,24.72,18.08,24.09,16.32,28.1,Upgrade
13,Currency Exchange Gain (Loss),2.41,-4.16,4.71,5.96,13.16,-3.94,-1.99,-6.59,-0.02,-0.27,Upgrade
14,Other Non Operating Income (Expenses),-2.97,-8.91,-8.04,-58.02,-1.44,-2.48,-6.41,16.67,7.52,28.23,Upgrade
15,EBT Excluding Unusual Items,60.64,-262.42,48.94,75.81,57.25,48.14,19.99,62.7,-31.51,47.92,Upgrade
16,Impairment of Goodwill,-,-22.21,-,-9.04,-,-23.4,-,-8.58,-,-15.66,Upgrade
17,Gain (Loss) on Sale of Assets,-0.08,501.41,-0.56,-0.02,0.28,0.43,-0.02,-0.1,0.01,0.06,Upgrade
18,Asset Writedown,-0.01,-129.54,-,14.67,-14.67,-0.02,-0,-,-,-,Upgrade
19,Other Unusual Items,0.63,1,0.45,-0.58,-0.03,0.36,-0.94,0.19,-0.57,-0.26,Upgrade
20,Pretax Income,61.18,88.25,48.84,80.84,42.82,25.52,19.03,54.21,-32.07,32.07,Upgrade
21,Income Tax Expense,-0.19,-11.83,3.77,6.87,1.12,-5.1,-0.73,5.91,-5.93,4.23,Upgrade
22,Earnings From Continuing Operations,61.37,100.08,45.07,73.97,41.7,30.62,19.75,48.31,-26.15,27.84,Upgrade
23,Minority Interest in Earnings,-0.03,0.37,-0.47,-0.04,-,-,-,-,-,-,Upgrade
24,Net Income,61.35,100.44,44.59,73.94,41.7,30.62,19.75,48.31,-26.15,27.84,Upgrade
25,Net Income to Common,61.35,100.44,44.59,73.94,41.7,30.62,19.75,48.31,-26.15,27.84,Upgrade
26,Net Income Growth,37.57%,35.85%,6.94%,141.45%,111.08%,-36.61%,-,73.50%,-,-62.41%,Upgrade
27,Shares Outstanding (Basic),1520,1520,1520,1520,1520,1520,1520,1520,1520,1520,Upgrade
28,Shares Outstanding (Diluted),1520,1520,1520,1520,1520,1520,1520,1520,1520,1520,Upgrade
29,EPS (Basic),0.04,0.07,0.03,0.05,0.03,0.02,0.01,0.03,-0.02,0.02,Upgrade
30,EPS (Diluted),0.04,0.07,0.03,0.05,0.03,0.02,0.01,0.03,-0.02,0.02,Upgrade
31,EPS Growth,37.57%,35.85%,6.94%,141.46%,111.09%,-36.61%,-,73.50%,-,-62.41%,Upgrade
32,Free Cash Flow,-259.03,72.53,-14.19,-253.12,221.41,-217.39,-326.56,258.56,-325.93,336.6,Upgrade
33,Free Cash Flow Per Share,-0.17,0.05,-0.01,-0.17,0.15,-0.14,-0.21,0.17,-0.21,0.22,Upgrade
34,Operating Margin,2.48%,-17.37%,2.39%,7.26%,2.59%,2.51%,1.04%,2.60%,-12.30%,-0.89%,Upgrade
35,Profit Margin,3.56%,6.71%,2.78%,4.65%,3.38%,2.57%,1.98%,4.41%,-5.81%,3.03%,Upgrade
36,Free Cash Flow Margin,-15.04%,4.85%,-0.88%,-15.93%,17.96%,-18.26%,-32.81%,23.60%,-72.44%,36.64%,Upgrade
37,EBITDA,109.42,-182.62,106.15,192.11,78.59,115.6,41.8,56.03,-31.65,26.65,Upgrade
38,D&A For EBITDA,66.73,77.36,67.82,76.67,46.67,85.77,31.49,27.5,23.68,34.79,Upgrade
39,EBIT,42.69,-259.98,38.33,115.44,31.93,29.84,10.31,28.53,-55.33,-8.14,Upgrade
40,Revenue as Reported,1722,3100,1603,2822,-,1191,995.39,-,-,-,Upgrade
41,Advertising Expenses,-,-,-,-,-,-,0.29,-,-,-,Upgrade
