,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,115,214,276,225,469,617,681,580,703,617,515,Upgrade
1,Market Cap Growth,-4.90%,-4.90%,-41.18%,-63.43%,-31.08%,6.35%,-3.13%,-6.07%,36.55%,12.34%,-35.52%,Upgrade
2,Enterprise Value,282,316,368,321,552,580,656,479,554,423,308,Upgrade
3,Last Close Price,0.13,0.23,0.30,0.24,0.49,0.64,0.68,0.57,0.74,0.65,0.53,Upgrade
4,PE Ratio,-,-,-,-,17.43,10.90,9.87,55.76,-,127.49,-54.48,Upgrade
5,PS Ratio,0.20,0.37,0.50,0.40,0.65,0.67,0.70,0.85,1.69,1.55,1.31,Upgrade
6,PB Ratio,0.21,0.33,0.43,0.36,0.66,0.91,0.92,0.89,1.35,1.22,0.99,Upgrade
7,P/TBV Ratio,0.39,0.39,0.49,0.41,0.76,1.04,1.04,1.01,1.37,1.25,0.99,Upgrade
8,P/FCF Ratio,-,-,-13.62,-,-24.79,-,-23.50,-,-,-,13.74,Upgrade
9,P/OCF Ratio,68.95,-,40.53,-,27.47,-,-217.26,-,-,-,9.17,Upgrade
10,EV/Sales Ratio,0.49,0.55,0.67,0.57,0.76,0.63,0.67,0.70,1.33,1.06,0.79,Upgrade
11,EV/EBITDA Ratio,-,-,-,-,-,9.20,9.83,24.60,-,-,-63.97,Upgrade
12,EV/EBIT Ratio,-,-,-,-,-,12.00,11.87,48.56,-,-,-25.00,Upgrade
13,EV/FCF Ratio,-8.92,-,-18.17,-,-29.17,-,-22.63,-,-,-,8.22,Upgrade
14,Debt / Equity Ratio,0.19,0.19,0.19,0.21,0.17,0.28,0.16,0.16,0.08,0.03,0.03,Upgrade
15,Debt / FCF Ratio,-,-,-6.10,-,-6.53,-,-4.15,-,-,-,0.46,Upgrade
16,Return on Capital Employed (ROCE),-,-,-,-,-,6.78%,7.05%,1.41%,-,-,-2.31%,Upgrade
17,Earnings Yield,-4.90%,-2.63%,-5.48%,0.45%,5.74%,9.18%,10.13%,1.79%,-2.22%,0.78%,-1.84%,Upgrade
18,FCF Yield,-27.48%,-14.74%,-7.34%,6.88%,-4.03%,-4.16%,-4.26%,-16.87%,-7.53%,6.41%,7.28%,Upgrade
19,Dividend Yield,0.00%,-,-,-,-,-,5.57%,1.32%,-,-,1.09%,Upgrade
20,Buyback Yield / Dilution,-,-,-,0.03%,-3.71%,-7.38%,-3.50%,0.15%,0.14%,-2.60%,Upgrade,
21,Total Shareholder Return,-,-,-,0.03%,-3.71%,-1.81%,-2.17%,0.15%,0.14%,-1.52%,Upgrade,
