,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Cash & Equivalents,8.45,18.14,19.74,20.1,33.11,41.71,29.9,25.26,30.6,36.09,Upgrade
1,Short-Term Investments,0.54,0.57,0.5,0.5,0.47,0.38,4.2,0.41,0.39,0.4,Upgrade
2,Cash & Short-Term Investments,8.99,18.71,20.24,20.6,33.57,42.08,34.1,25.67,30.99,36.49,Upgrade
3,Cash Growth,-55.59%,-9.19%,-39.71%,-51.05%,-1.55%,63.95%,10.04%,-29.66%,-20.87%,-17.34%,Upgrade
4,Accounts Receivable,27.62,17.43,17.35,15.15,27.46,32.25,34.11,17.74,9.91,12.91,Upgrade
5,Other Receivables,1.15,0.8,0.66,0.42,0.44,0.65,0.34,0.41,0.75,0.22,Upgrade
6,Receivables,28.77,18.23,18.01,15.57,27.89,32.9,34.45,18.15,10.66,13.12,Upgrade
7,Inventory,46.12,46.08,46.08,53.7,59.11,52.27,46.94,34.75,27.48,22.03,Upgrade
8,Prepaid Expenses,1.12,0.92,0.84,0.89,1.75,2.16,2.36,1.41,0.86,0.48,Upgrade
9,Other Current Assets,0.46,0.64,0.82,0.74,1.45,2.64,2.35,1.81,0.77,0.93,Upgrade
10,Total Current Assets,85.45,84.57,85.99,91.5,123.77,132.06,120.21,81.8,70.75,73.05,Upgrade
11,"Property, Plant & Equipment",32.34,31.76,29.87,30.48,26.34,26.43,25.79,22.96,22.27,21.86,Upgrade
12,Long-Term Investments,42.81,39.6,33.91,45.32,35.83,35.53,27.9,19.2,17,12.37,Upgrade
13,Other Intangible Assets,0.05,0.01,0.14,0.01,0.3,0.01,0.33,0.01,0.44,0.01,Upgrade
14,Long-Term Deferred Tax Assets,2.81,2.37,0.44,0.66,0.88,0.91,0.4,0.13,0.08,0.11,Upgrade
15,Long-Term Deferred Charges,-,0.07,-,0.18,-,0.2,-,0.44,-,0.54,Upgrade
16,Other Long-Term Assets,0.04,1,0.82,0.76,0.02,0,0.02,0.61,0.01,0.01,Upgrade
17,Total Assets,163.5,159.37,151.16,168.91,187.14,195.14,174.64,125.14,110.54,107.95,Upgrade
18,Accounts Payable,16.88,18.06,11.06,15.44,26.58,34.8,38.38,25.51,13.23,12,Upgrade
