,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020"
0,Cash & Equivalents,55.84,64.1,85.48,64.83,121.93,161.2,178.15,146.81,-
1,Short-Term Investments,-,-,-,-,-,5.27,-,7.73,-
2,Trading Asset Securities,-,-,9.17,9.11,-,-,-,-,-
3,Cash & Short-Term Investments,55.84,64.1,94.66,73.94,121.93,166.46,178.15,154.54,-
4,Cash Growth,-41.01%,-13.31%,-22.37%,-55.58%,-31.56%,7.71%,-,-,-
5,Receivables,312.43,336.19,196.09,139.97,199.87,134.01,190.37,183.06,-
6,Inventory,182.34,227,245.5,287.57,375.31,300.41,316.55,235.9,-
7,Prepaid Expenses,37.98,25.64,24.92,20.13,21.05,7.45,28.07,1.49,-
8,Other Current Assets,106.97,107.08,107.46,108.62,93.04,104.51,77.6,100.83,-
9,Total Current Assets,695.56,760.01,668.62,630.23,811.19,712.85,790.74,675.81,-
10,"Property, Plant & Equipment",43.44,43.11,47.99,42.61,40.09,43.06,45.4,43,-
11,Long-Term Investments,12.51,10.66,11.66,12.06,20.18,19.71,-,-,-
12,Other Intangible Assets,5.5,6.5,-,-,-,-,-,-,-
13,Long-Term Deferred Tax Assets,5.34,8.19,5.87,4.12,0.36,0.39,0.42,0.42,-
14,Other Long-Term Assets,19.59,19.41,28.45,29.18,18.24,18.08,23.99,15.97,-
15,Total Assets,781.93,847.88,762.59,718.21,890.05,794.09,860.54,735.2,-
16,Accounts Payable,204.15,272.18,132.07,66.45,119.03,87.95,119.7,178.61,-
17,Accrued Expenses,-,4.98,-,3.67,-,5.49,-,8.84,-
18,Short-Term Debt,262.62,280.75,317.67,361.88,434.01,399.84,438.87,252.5,-
19,Current Portion of Leases,5.37,3.98,4.74,2.72,4.65,5.19,5.17,4.34,-
20,Current Income Taxes Payable,2.35,2.3,2.29,2.19,5.33,6.55,7.05,7.9,-
21,Current Unearned Revenue,-,58.61,-,30.87,-,11.78,-,10.92,-
22,Other Current Liabilities,73.63,2.25,65.27,0.73,43.17,0.08,16.55,0.11,-
23,Total Current Liabilities,548.13,625.05,522.05,468.5,606.2,516.88,587.34,463.22,-
24,Long-Term Leases,4.7,3.98,5.9,0.42,1.21,2.29,4.29,3.6,-
25,Long-Term Deferred Tax Liabilities,0.19,0.67,0.74,0.74,0.34,0.34,0.19,0.19,-
26,Total Liabilities,553.02,629.7,528.68,469.66,607.75,519.5,591.82,467.01,-
27,Common Stock,9.95,10,10,10,10,10,10,10,-
28,Additional Paid-In Capital,105.77,105.77,105.77,105.77,105.77,105.77,105.77,105.77,-
29,Retained Earnings,97.42,82.83,97.83,111.84,147.14,143.09,141.19,152.35,-
30,Treasury Stock,-4.9,-,-,-,-,-,-,-,-
31,Comprehensive Income & Other,20.68,19.58,20.31,20.94,19.4,15.73,11.77,0.07,-
32,Shareholders' Equity,228.92,218.18,233.91,248.55,282.31,274.59,268.72,268.2,-
33,Total Liabilities & Equity,781.93,847.88,762.59,718.21,890.05,794.09,860.54,735.2,-
34,Total Debt,272.69,288.71,328.31,365.01,439.88,407.32,448.33,260.44,-
35,Net Cash (Debt),-216.85,-224.61,-233.65,-291.07,-317.95,-240.85,-270.18,-105.9,-
36,Net Cash Per Share,-0.22,-0.22,-0.23,-0.29,-0.32,-0.24,-0.27,-0.13,-
37,Filing Date Shares Outstanding,973,1000,1000,1000,1000,1000,1000,1000,750
38,Total Common Shares Outstanding,973,1000,1000,1000,1000,1000,1000,1000,750
39,Working Capital,147.43,134.96,146.58,161.73,204.99,195.97,203.4,212.59,-
40,Book Value Per Share,0.24,0.22,0.23,0.25,0.28,0.27,0.27,0.27,-
41,Tangible Book Value,223.41,211.69,233.91,248.55,282.31,274.59,268.72,268.2,-
42,Tangible Book Value Per Share,0.23,0.21,0.23,0.25,0.28,0.27,0.27,0.27,-
43,Buildings,-,10.43,-,10.43,-,10.7,-,10.55,-
44,Machinery,-,23.92,-,23.79,-,20.94,-,16.66,-
45,Leasehold Improvements,-,16.14,-,16.37,-,12.12,-,11.77,-
