,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020"
0,Revenue,1021,783.76,600.25,516.06,682.45,564.67,659.12,619.62,929.67
1,Revenue Growth (YoY),70.06%,51.88%,-12.04%,-8.61%,3.54%,-8.87%,-29.10%,-,-
2,Cost of Revenue,923.12,721.12,545.82,470.12,599.52,482.82,585.52,539,812.54
3,Gross Profit,97.64,62.64,54.43,45.94,82.93,81.85,73.6,80.62,117.13
4,"Selling, General & Admin",68.96,68.93,59.59,69.19,67.71,70.64,66.54,61.79,61.63
5,Operating Expenses,68.96,68.93,59.59,69.19,67.71,70.64,66.54,61.79,61.63
6,Operating Income,28.69,-6.29,-5.16,-23.25,15.23,11.21,7.06,18.84,55.5
7,Interest Expense,-15.2,-14.23,-14.36,-17.99,-9.61,-9.57,-5.46,-6.86,-8.64
8,Interest & Investment Income,2.35,3.04,2.42,1.6,0.4,0.33,0.12,0.12,0.25
9,Currency Exchange Gain (Loss),0.45,0.05,0.04,-1.33,-0.87,0.28,-0.48,-0.51,-0.77
10,Other Non Operating Income (Expenses),0.38,0.11,1.04,-0.14,1.63,-0.79,3.35,1.19,1.51
11,EBT Excluding Unusual Items,16.66,-17.32,-16.01,-41.12,6.78,1.46,4.6,12.78,47.85
12,Gain (Loss) on Sale of Investments,0.32,0.12,0.24,1.56,-1.65,4.02,0.22,0.54,0.05
13,Gain (Loss) on Sale of Assets,-,0,-,0.02,-,0,0.01,-,-
14,Other Unusual Items,-,-,-,0.09,-,-,-,0.82,1.64
15,Pretax Income,16.98,-17.2,-15.77,-39.45,5.13,5.48,4.82,14.14,49.53
16,Income Tax Expense,2.4,-1.94,-1.77,-4,1.08,3.58,2.99,3.54,10.01
17,Net Income,14.58,-15.26,-14,-35.45,4.05,1.9,1.83,10.61,39.52
18,Net Income to Common,14.58,-15.26,-14,-35.45,4.05,1.9,1.83,10.61,39.52
19,Net Income Growth,-,-,-,-,121.00%,-82.07%,-95.36%,-,-
20,Shares Outstanding (Basic),993,1000,1000,1000,1000,1000,1000,803,750
21,Shares Outstanding (Diluted),993,1000,1000,1000,1000,1000,1000,803,750
22,Shares Change (YoY),-0.70%,-,-,-,-,24.47%,33.33%,-,-
23,EPS (Basic),0.01,-0.02,-0.01,-0.04,0.00,0.00,0.00,0.01,0.05
24,EPS (Diluted),0.01,-0.02,-0.01,-0.04,0.00,0.00,0.00,0.01,0.05
25,EPS Growth,-,-,-,-,125.06%,-85.59%,-96.58%,-,-
26,Free Cash Flow,31.16,19.32,79.07,48.63,-70.27,70.93,-104.49,64.78,-2.79
27,Free Cash Flow Per Share,0.03,0.02,0.08,0.05,-0.07,0.07,-0.10,0.08,-0.00
28,Operating Margin,2.81%,-0.80%,-0.86%,-4.51%,2.23%,1.99%,1.07%,3.04%,5.97%
29,Profit Margin,1.43%,-1.95%,-2.33%,-6.87%,0.59%,0.34%,0.28%,1.71%,4.25%
30,Free Cash Flow Margin,3.05%,2.46%,13.17%,9.42%,-10.30%,12.56%,-15.85%,10.46%,-0.30%
31,EBITDA,34.51,-4.73,0.07,-21.83,17,12.97,8.58,17.49,59.67
32,D&A For EBITDA,5.82,1.56,5.23,1.43,1.77,1.76,1.52,-1.35,4.18
33,EBIT,28.69,-6.29,-5.16,-23.25,15.23,11.21,7.06,18.84,55.5
