,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020"
0,Market Capitalization,159,204,200,239,214,189,223,465,610,-
1,Market Cap Growth,-14.51%,-14.51%,-6.54%,26.46%,-4.04%,-59.35%,-63.44%,-,-,-
2,Enterprise Value,375,429,434,530,532,430,493,571,883,-
3,Last Close Price,0.16,0.21,0.20,0.24,0.21,0.19,0.22,0.47,0.59,-
4,PE Ratio,-,-302.71,-,-,-,31.75,59.71,37.39,12.17,-
5,PS Ratio,0.09,0.11,0.14,0.21,0.18,0.15,0.18,0.36,0.39,-
6,PB Ratio,0.69,0.89,0.92,1.02,0.86,0.67,0.81,1.73,2.27,-
7,P/TBV Ratio,0.91,0.91,0.94,1.02,0.86,0.67,0.81,1.73,2.27,-
8,P/FCF Ratio,3.14,4.05,2.03,1.87,-9.89,-,-6.64,-,9.84,-
9,P/OCF Ratio,3.99,3.99,2.01,1.76,-16.38,-,-7.67,-,9.63,-
10,EV/Sales Ratio,0.21,0.24,0.31,0.47,0.44,0.34,0.40,0.45,0.57,-
11,EV/EBITDA Ratio,11.26,14.40,-,-24.37,-,14.34,22.88,21.90,11.45,-
12,EV/EBIT Ratio,16.76,19.15,-,-,-,16.26,26.99,22.04,11.88,-
13,EV/FCF Ratio,7.44,8.50,4.41,4.15,-24.59,-,-14.70,-,14.25,-
14,Debt / Equity Ratio,1.19,1.19,1.32,1.40,1.47,1.56,1.48,1.67,0.97,-
15,Debt / FCF Ratio,5.40,5.40,2.93,2.57,-16.87,-,-12.14,-,4.20,-
16,Return on Capital Employed (ROCE),9.58%,9.58%,-,-,-,9.31%,6.59%,9.48%,27.33%,-
17,Earnings Yield,-0.43%,-0.33%,-14.63%,-20.69%,-14.67%,3.15%,1.67%,2.67%,8.22%,-
18,FCF Yield,31.83%,24.71%,49.20%,53.43%,-10.11%,0.35%,-15.05%,-8.54%,10.16%,-
19,Buyback Yield / Dilution,0.35%,0.70%,-,-,-,-,-24.47%,-33.33%,-,-
20,Total Shareholder Return,0.35%,0.70%,-,-,-,-,-24.47%,-33.33%,-,-
