,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,620.33,604.8,520.55,520.11,493.22,510.55,449.93,463,492.1,476.87,469.3,359.86,373.23,362.84,337.44,334.58,257.66,284.35,248.18,182.97
1,Other Revenue,-,-22.15,22.15,-,-,-24.51,24.51,-,36.92,-14.33,14.33,-,38.98,-17.09,17.09,-,22.83,-10.9,5.16,5.74
2,Revenue,620.33,582.65,542.69,520.11,493.22,486.04,474.45,463,529.02,462.54,483.63,359.86,412.21,345.76,354.53,334.58,280.49,273.45,253.35,188.71
3,Revenue Growth (YoY),25.77%,19.88%,14.38%,12.33%,-6.77%,5.08%,-1.90%,28.66%,28.34%,33.78%,36.41%,7.56%,46.96%,26.44%,39.94%,77.30%,-,-,-,-
4,Cost of Revenue,501.32,464.69,433.52,430.18,411.05,394.94,406.04,417.28,474.57,423.68,407.56,320.42,337.93,301.67,282.08,245.57,231.26,197.31,193.74,157.07
5,Gross Profit,119.01,117.96,109.17,89.92,82.17,91.1,68.41,45.72,54.45,38.86,76.07,39.44,74.28,44.09,72.45,89,49.23,76.13,59.6,31.64
6,"Selling, General & Admin",21.03,12.95,12.45,10.56,14.7,12.08,11.2,11,10.26,12.42,13.74,7.8,11.07,7.94,11.71,8.54,-15.93,18.29,17.44,10.74
7,Research & Development,21.93,20.03,20.82,17.45,21.25,17.77,16.12,15.81,18.46,17.99,18.09,12.83,16.49,14.22,15.08,13.37,13.33,10.48,10.92,6.64
8,Other Operating Expenses,-2.8,-2.95,0.38,-0.59,-10.7,0.99,3.53,-1.83,7.32,0.4,-0.51,-3.46,11.17,0.24,-1.65,-3.65,7.31,-4.79,1.15,0.2
9,Operating Expenses,37.75,30.94,33.77,28.78,33.4,31.21,18.8,28.5,35.18,31.43,35.31,17.33,40.02,21.88,25.27,22.48,0.58,25.51,31.26,17.92
10,Operating Income,81.26,87.02,75.4,61.14,48.77,59.89,49.61,17.22,19.27,7.43,40.76,22.12,34.26,22.21,47.18,66.52,48.65,50.63,28.34,13.71
11,Interest Expense,-14.37,-,-0.36,-0.22,-10.63,-0.15,-0.06,-,-,-0.09,-0.17,-,-0.16,-,-1.69,-1.21,-1.56,-0.83,-2.64,-2.07
12,Interest & Investment Income,0.21,4.82,4.67,5.24,0.21,5.25,2.52,2.86,2.63,2.02,4.29,4.7,3.45,4.31,1.68,0.29,0.85,0.32,0.78,0.53
13,Currency Exchange Gain (Loss),-,-0.53,0.53,-,-,-0,0,-,0.23,-0.79,0.79,-,-0.63,-0.22,0.22,-,-0.64,-0.05,-0.03,0.08
14,Other Non Operating Income (Expenses),14.49,-0.25,-0.28,0.19,24.18,-0.08,1.33,-0.95,-1.51,0.53,-0.65,-0.06,1.5,-0.91,-1.58,-0.23,-1.52,-2.26,-0.08,0.01
15,EBT Excluding Unusual Items,81.59,91.07,79.96,66.36,62.53,64.9,53.4,19.13,20.62,9.1,45.02,26.76,38.42,25.38,45.81,65.37,45.78,47.8,26.38,12.27
16,Gain (Loss) on Sale of Investments,-1.65,-1.38,-1.82,-2.22,0.15,-2.62,-4.72,-0.4,1.41,-1.66,0.73,-0.04,-0.84,-,0.31,-0.31,-,-,-,-
17,Gain (Loss) on Sale of Assets,-0.14,-0.03,0.29,0.22,0.16,-,-0.05,0.04,0.04,0.36,-,0.24,-0.03,0.03,0.03,0.02,0.39,-0.01,0.01,0.04
18,Asset Writedown,-,-,-,-,-,0,-0,-,-0.2,-,-,-,-0.67,0.38,-0.38,-,-1.79,0.46,-0.52,-0
19,Other Unusual Items,0.39,-2.09,1.72,-0.01,-,-0.31,0.31,-,18.16,-0.42,0.42,-,14.54,-0.41,0.41,-,6.12,0.36,-0.36,-
20,Pretax Income,80.2,87.56,80.15,64.36,62.84,61.98,48.94,18.77,40.04,7.38,46.17,26.97,51.41,25.38,46.18,65.08,50.5,48.61,25.51,12.32
21,Income Tax Expense,7.25,9.85,12.06,8.76,7.47,7.38,6.33,0.96,0.75,0.43,3.8,2.8,6.37,0.44,6.97,9.75,3.86,7.25,3.76,1.83
22,Earnings From Continuing Operations,72.94,77.71,68.09,55.6,55.37,54.6,42.61,17.81,39.29,6.95,42.36,24.16,45.04,24.93,39.21,55.33,46.63,41.35,21.74,10.49
23,Minority Interest in Earnings,-0.55,-0.57,-0.61,-0.46,-0.38,-0.57,-0.6,-0.28,-0.24,-0.13,-0.57,-0.41,-0.06,-0.09,-0.34,-0.51,-0.49,-0.62,-0.55,-0.13
24,Net Income,72.39,77.14,67.48,55.15,54.99,54.03,42.01,17.53,39.05,6.82,41.8,23.76,44.98,24.85,38.87,54.83,46.14,40.73,21.2,10.36
25,Net Income to Common,72.39,77.14,67.48,55.15,54.99,54.03,42.01,17.53,39.05,6.82,41.8,23.76,44.98,24.85,38.87,54.83,46.14,40.73,21.2,10.36
26,Net Income Growth,31.66%,42.78%,60.62%,214.55%,40.80%,691.87%,0.51%,-26.20%,-13.18%,-72.54%,7.54%,-56.67%,-2.51%,-38.99%,83.38%,429.33%,-,-,-,-
27,Shares Outstanding (Basic),201,197,205,197,198,207,186,175,174,193,181,183,179,184,135,136,136,137,136,136
28,Shares Outstanding (Diluted),201,197,205,197,198,207,186,175,174,193,181,183,179,184,135,136,136,137,136,142
29,Shares Change (YoY),1.44%,-4.71%,10.54%,12.34%,14.01%,7.49%,2.26%,-4.06%,-2.89%,4.45%,34.31%,33.89%,31.27%,34.97%,-1.02%,-3.94%,-,-,-,-
30,EPS (Basic),0.36,0.39,0.33,0.28,0.28,0.26,0.23,0.10,0.22,0.04,0.23,0.13,0.25,0.13,0.29,0.40,0.34,0.30,0.16,0.08
31,EPS (Diluted),0.36,0.39,0.33,0.28,0.28,0.26,0.23,0.10,0.22,0.04,0.23,0.13,0.25,0.13,0.29,0.40,0.34,0.30,0.16,0.07
32,EPS Growth,29.79%,49.83%,45.31%,180.00%,23.50%,636.68%,-1.71%,-23.08%,-10.60%,-73.71%,-19.94%,-67.64%,-25.73%,-54.80%,85.27%,451.03%,-,-,-,-
33,Free Cash Flow,94.29,-13.24,58.8,3.78,46.82,13.53,30.13,-36.5,33.67,-60.46,31.89,-39.06,46.02,-74.01,21.63,-28.37,11.12,32.85,5.47,-25.15
34,Free Cash Flow Per Share,0.47,-0.07,0.29,0.02,0.24,0.07,0.16,-0.21,0.19,-0.31,0.18,-0.21,0.26,-0.40,0.16,-0.21,0.08,0.24,0.04,-0.18
35,Dividend Per Share,-,-,0.100,-,-,-,-,-,0.200,-,-,-,0.500,-,-,-,-,-,-,-
36,Dividend Growth,-,-,-,-,-,-,-,-,-60.00%,-,-,-,-,-,-,-,-,-,-,-
37,Gross Margin,19.18%,20.24%,20.12%,17.29%,16.66%,18.74%,14.42%,9.87%,10.29%,8.40%,15.73%,10.96%,18.02%,12.75%,20.43%,26.60%,17.55%,27.84%,23.53%,16.77%
38,Operating Margin,13.10%,14.94%,13.89%,11.76%,9.89%,12.32%,10.46%,3.72%,3.64%,1.61%,8.43%,6.15%,8.31%,6.42%,13.31%,19.88%,17.34%,18.51%,11.19%,7.27%
39,Profit Margin,11.67%,13.24%,12.43%,10.60%,11.15%,11.12%,8.85%,3.79%,7.38%,1.48%,8.64%,6.60%,10.91%,7.19%,10.96%,16.39%,16.45%,14.90%,8.37%,5.49%
40,Free Cash Flow Margin,15.20%,-2.27%,10.83%,0.73%,9.49%,2.78%,6.35%,-7.88%,6.37%,-13.07%,6.59%,-10.86%,11.17%,-21.41%,6.10%,-8.48%,3.97%,12.01%,2.16%,-13.33%
41,EBITDA,102.63,106.41,94.33,80.54,68.22,77.73,69.3,35.06,37.11,22.25,58.25,36.94,49.08,33.93,60.81,97.57,60.37,72.37,50.09,15.36
42,EBITDA Margin,16.54%,18.26%,17.38%,15.48%,13.83%,15.99%,14.61%,7.57%,7.01%,4.81%,12.04%,10.26%,11.91%,9.81%,17.15%,29.16%,21.52%,26.47%,19.77%,8.14%
43,D&A For EBITDA,21.37,19.39,18.93,19.39,19.45,17.84,19.69,17.84,17.84,14.82,17.5,14.82,14.82,11.72,13.63,31.05,11.72,21.75,21.75,1.65
44,EBIT,81.26,87.02,75.4,61.14,48.77,59.89,49.61,17.22,19.27,7.43,40.76,22.12,34.26,22.21,47.18,66.52,48.65,50.63,28.34,13.71
45,EBIT Margin,13.10%,14.94%,13.89%,11.76%,9.89%,12.32%,10.46%,3.72%,3.64%,1.61%,8.43%,6.15%,8.31%,6.42%,13.31%,19.88%,17.34%,18.51%,11.19%,7.27%
46,Effective Tax Rate,9.04%,11.25%,15.05%,13.61%,11.89%,11.91%,12.94%,5.11%,1.87%,5.84%,8.23%,10.40%,12.40%,1.74%,15.10%,14.98%,7.65%,14.92%,14.75%,14.84%
