,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,4478,3876,3159,2938,2882,3450,3325,3074,2874,2491,2675,3127,3345,3982,3906,6026,-,-,-,-,-
1,Market Cap Growth,12.35%,12.35%,-4.99%,-4.42%,0.27%,38.49%,24.28%,-1.70%,-14.09%,-37.44%,-31.51%,-48.10%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,3856,3256,2462,2175,2094,2736,2608,2631,2334,1975,2117,2507,2760,3397,3221,5971,-,-,-,-,-
3,Last Close Price,22.40,19.39,15.54,14.46,13.71,16.42,15.82,16.10,15.05,12.89,13.84,15.73,16.99,20.23,19.84,30.61,-,-,-,-,-
4,PE Ratio,16.47,14.24,12.40,12.68,13.98,20.47,21.78,29.16,27.32,22.36,22.80,23.10,25.26,24.35,23.72,33.37,-,-,-,-,-
5,Forward PE,12.17,20.38,20.38,20.38,20.38,20.38,20.38,20.38,20.38,20.38,20.38,17.18,-,-,-,-,-,-,-,-,-
6,PS Ratio,1.98,1.71,1.48,1.44,1.46,1.80,1.70,1.59,1.48,1.36,1.56,1.95,2.27,2.75,2.97,4.85,-,-,-,-,-
7,PB Ratio,2.40,2.05,1.72,1.67,1.61,1.96,1.95,1.87,2.15,1.84,2.04,2.40,2.48,3.01,3.05,4.80,-,-,-,-,-
8,P/TBV Ratio,2.28,2.28,1.89,1.84,1.78,-,2.15,2.07,2.38,2.04,2.27,2.62,2.69,3.28,3.32,5.24,-,-,-,-,-
9,P/FCF Ratio,31.18,26.99,-,23.90,30.57,63.91,81.41,-92.73,-,-73.36,-,-88.94,-,-114.67,-,161.85,-,-,-,-,-
10,P/OCF Ratio,19.35,19.35,17.91,15.14,14.45,23.75,27.37,41.83,-,45.50,-,61.27,-,132.59,-,87.85,-,-,-,-,-
11,EV/Sales Ratio,1.70,1.44,1.15,1.07,1.06,1.43,1.34,1.36,1.20,1.08,1.23,1.57,1.87,2.35,2.45,4.80,-,-,-,-,-
