,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,740.78,716.55,754.87,798.64,822.35,721.25,723.01,384.51,540.5,405.96,460.35,585.23,666.92,537.66,695.3,180.05,206.27,-,-,-
1,Trading Asset Securities,-,0.01,-,-,-,21.1,20.77,70.4,11.09,121.6,109.11,45.22,0.1,57.5,-,12.01,-,-,-,-
2,Cash & Short-Term Investments,740.78,716.57,754.87,798.64,822.35,742.35,743.77,454.91,551.59,527.56,569.46,630.46,667.02,595.16,695.3,192.06,206.27,-,-,150.38
3,Cash Growth,-9.92%,-3.47%,1.49%,75.56%,49.09%,40.71%,30.61%,-27.84%,-17.31%,-11.36%,-18.10%,228.26%,223.38%,-,-,27.72%,-,-,-,-
4,Accounts Receivable,723.01,647.04,594.32,570.25,556.18,542.88,550.79,563.7,530.83,558.02,524.44,447.72,399.1,394.39,366.51,344.31,303.5,-,-,-
5,Other Receivables,4.39,6.02,6.19,6.44,5.48,2.26,1.47,2.97,1.63,2.81,1.88,3.33,2.88,1.78,1.58,2.69,3.51,-,-,-
6,Receivables,727.4,653.06,600.51,576.68,561.66,545.14,552.27,566.66,532.46,560.83,526.32,451.05,401.98,396.17,368.09,347,307.01,-,-,-
7,Inventory,150.3,160.62,116.54,112.32,120.8,129.59,99.09,145.18,157.05,171.84,177.35,150.68,173.5,133.84,102.81,103.12,96.39,-,-,-
8,Other Current Assets,51.95,82.35,45.57,49.15,37,44.51,33.26,37.97,34.44,35.75,20.96,37.13,24.26,22.95,16.32,19.21,17.2,-,-,-
9,Total Current Assets,1670,1613,1517,1537,1542,1462,1428,1205,1276,1296,1294,1269,1267,1148,1183,661.39,626.86,-,-,-
10,"Property, Plant & Equipment",908.55,839.39,722.45,647.83,608.52,534.53,528.65,521.56,521.95,498.28,496.69,490,493.47,489.2,485.23,442.08,445.62,-,-,-
11,Other Intangible Assets,177.23,154.05,154.99,155.54,147.72,148.61,149.51,119.66,120.38,121.13,98.4,99.03,99.66,94.57,95.23,95.88,83.67,-,-,-
12,Long-Term Deferred Tax Assets,7.8,7.07,7.84,7.15,6.99,9.55,11.21,14.1,13.18,8.86,8.39,7.36,6.65,5.22,5.25,5.33,4.75,-,-,-
13,Long-Term Deferred Charges,3.45,4.31,5.17,6.25,7.43,9.42,9.79,10.97,12.15,14.71,15.95,17.72,19.54,6.72,7.72,4.71,5.75,-,-,-
14,Other Long-Term Assets,2.41,27.22,50.62,52.51,41.17,32.57,15.76,11.42,2.03,10.37,19.6,14.86,16.51,11.09,9.28,9.37,13.23,-,-,-
15,Total Assets,2770,2645,2459,2406,2354,2196,2143,1882,1945,1949,1933,1898,1903,1755,1785,1219,1180,-,-,-
16,Accounts Payable,685.16,655.89,582.33,532.27,506.28,406.46,414.2,482.17,525.4,572.74,571.78,490.41,537.06,444.89,478.98,437.48,455.05,-,-,-
17,Accrued Expenses,23.8,17.81,22.17,10.9,18.37,11.66,15.49,7.38,18.31,11.92,13.77,6.53,14.99,10.34,11.15,9.12,12.86,-,-,-
18,Short-Term Debt,108.56,84.5,46.69,24.37,24.31,15,15,-,-,-,-,-,-,-,-,73.36,75.03,-,-,-
19,Current Portion of Long-Term Debt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.75,2.75,-,-,-
20,Current Income Taxes Payable,16.25,18.58,12.54,14.67,9.72,13.49,4.34,7.18,1.56,7.96,5.39,10.21,7.67,5.21,12.6,14.07,6.9,-,-,-
21,Current Unearned Revenue,11.74,2.88,6.95,5.12,4.69,3.52,2.74,5.53,3.25,8.51,3.83,5.22,3.2,6.02,3.73,3.61,4.06,-,-,-
22,Other Current Liabilities,19.04,10.22,10.75,15.96,16.13,19.04,24.84,22.2,21.65,22.62,20.89,21.94,1.18,1.73,16.87,1.45,1.56,-,-,-
23,Total Current Liabilities,864.55,789.87,681.43,603.29,579.5,469.16,476.62,524.46,570.17,623.75,615.67,534.31,564.09,468.19,523.33,541.85,558.2,-,-,-
24,Long-Term Debt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50.44,50.44,-,-,-
25,Long-Term Unearned Revenue,7.91,8.26,8.62,8.97,9.33,9.68,10.04,10.39,10.16,10.47,10.68,10.99,11.3,4.41,4.49,4.58,4.66,-,-,-
26,Long-Term Deferred Tax Liabilities,7.5,7.79,8.05,8.31,8.56,8.99,9.2,9.4,9.69,2.4,2.18,2.21,2.22,2.23,2.24,2.26,2.28,-,-,-
27,Total Liabilities,879.96,805.93,698.1,620.57,597.4,487.83,495.86,544.25,590.02,636.62,628.53,547.51,577.62,474.82,530.07,599.12,615.57,-,-,-
28,Common Stock,202.36,202.36,202.36,202.36,202.36,202.36,202.42,183.86,183.86,183.86,183.86,183.86,182,182,182,136.5,136.5,-,-,-
29,Additional Paid-In Capital,1020,1020,1019,1019,1018,1015,1014,765.85,764.29,761.1,759.91,757.47,736.92,737.1,736.03,185.21,185.21,-,-,-
30,Retained Earnings,699.58,647.17,570.04,602.36,547.37,492.39,438.36,396.35,415.58,376.49,369.67,419.8,396.05,351.07,326.22,287.35,232.52,-,-,-
31,Treasury Stock,-42.83,-42.91,-42.91,-49.08,-22.08,-13.6,-19.52,-19.52,-19.88,-19.85,-19.85,-20.78,-,-,-,-,-,-,-,-
32,Total Common Equity,1879,1826,1749,1774,1746,1696,1635,1327,1344,1302,1294,1340,1315,1270,1244,609.06,554.24,-,-,431.61
33,Minority Interest,10.44,12.27,11.7,11.09,10.64,12.78,12.2,11.64,11.36,11.12,10.99,10.43,10.02,9.92,10.91,10.57,10.07,-,-,-
34,Shareholders' Equity,1890,1839,1760,1786,1756,1708,1647,1338,1355,1313,1305,1351,1325,1280,1255,619.64,564.31,-,-,441.43
35,Total Liabilities & Equity,2770,2645,2459,2406,2354,2196,2143,1882,1945,1949,1933,1898,1903,1755,1785,1219,1180,-,-,-
36,Total Debt,108.56,84.5,46.69,24.37,24.31,15,15,-,-,-,-,-,-,-,-,126.55,128.21,-,-,160.07
37,Net Cash (Debt),632.22,632.07,708.18,774.27,798.04,727.35,728.77,454.91,551.59,527.56,569.46,630.46,667.02,595.16,695.3,65.52,78.06,-,-,-9.69
38,Net Cash Growth,-20.78%,-13.10%,-2.83%,70.20%,44.68%,37.87%,27.98%,-27.84%,-17.31%,-11.36%,-18.10%,862.27%,754.53%,-,-,-,-,-,-,-
39,Net Cash Per Share,3.14,3.20,3.45,3.93,4.02,3.51,3.93,2.59,3.17,2.74,3.14,3.45,3.72,3.23,5.15,0.48,0.57,-,-,-0.07
40,Filing Date Shares Outstanding,201.17,199.91,202.36,202.36,202.36,202.36,202.42,183.86,183.86,183.86,183.86,183.86,183.86,182,182,136.5,136.5,136.59,136.48,136.46
41,Total Common Shares Outstanding,201.17,199.91,202.36,202.36,202.36,202.36,202.42,183.86,183.86,183.86,183.86,183.86,182,182,182,136.5,136.5,136.59,136.48,136.46
42,Working Capital,805.89,822.74,836.05,933.51,-,992.44,951.76,680.26,705.37,672.24,678.41,735.01,702.67,679.93,659.19,119.54,68.66,-,-,-
43,Book Value Per Share,9.34,9.14,8.64,8.77,8.63,8.38,8.08,7.21,7.31,7.08,7.04,7.29,7.23,6.98,6.84,4.46,4.06,-,-,3.16
44,Tangible Book Value,1702,1672,1594,1619,-,1547,1486,1207,1223,1180,1195,1241,1215,1176,1149,513.18,470.57,-,-,351.09
45,Tangible Book Value Per Share,8.46,8.37,7.88,8.00,7.90,7.65,7.34,6.56,6.65,6.42,6.50,6.75,6.68,6.46,6.31,3.76,3.45,-,-,2.57
46,Buildings,-,-,269.06,-,-,-,6.03,-,256.41,-,247.52,-,238.55,-,192.34,191.91,192.1,-,-,-
47,Machinery,-,-,743.27,-,-,-,845.7,-,574.54,-,531.51,-,526.86,-,436.97,422.21,421.4,-,-,-
48,Construction In Progress,-,-,137.78,-,-,-,42.91,-,19.84,-,27.05,-,4.8,-,114.51,73.93,65.17,-,-,-
