,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Mar '25 Mar 12, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Market Capitalization,90,106,138,135,154,164,192,309,-,-
1,Market Cap Growth,-21.59%,-21.59%,-10.31%,-17.39%,-19.83%,-46.92%,-,-,-,-
2,Enterprise Value,369,366,381,355,401,391,365,545,-,-
3,Last Close Price,0.11,0.13,0.17,0.17,0.19,0.21,0.24,0.39,-,-
4,PE Ratio,15.37,18.07,-,9.47,8.45,4.99,5.72,6.80,-,-
5,PS Ratio,0.25,0.29,0.36,0.32,0.36,0.35,0.38,0.61,-,-
6,PB Ratio,0.21,0.24,0.31,0.31,0.34,0.36,0.41,0.71,-,-
7,P/TBV Ratio,0.24,0.24,0.31,0.31,0.34,0.36,0.41,0.71,-,-
8,P/FCF Ratio,-,-,-,-,-9.12,-,-,-,-,-
9,P/OCF Ratio,-,-,-,-,3.18,3.13,6.85,-,-,-
10,EV/Sales Ratio,1.00,1.00,0.98,0.85,0.94,0.83,0.73,1.07,-,-
11,EV/EBITDA Ratio,6.37,7.08,7.61,5.80,6.03,4.28,3.66,5.25,-,-
12,EV/EBIT Ratio,10.42,10.33,11.79,8.59,8.69,5.53,4.65,6.48,-,-
13,EV/FCF Ratio,-16.30,-,-,-,-23.83,-,-,-,-,-
14,Debt / Equity Ratio,0.68,0.68,0.69,0.62,0.58,0.61,0.58,0.63,0.87,-
15,Debt / FCF Ratio,-,-,-,-,-15.30,-,-,-,16.29,-
16,Return on Capital Employed (ROCE),6.52%,6.52%,5.39%,9.27%,10.06%,15.15%,16.86%,19.31%,28.71%,-
17,Earnings Yield,6.51%,5.54%,3.94%,10.56%,11.83%,20.05%,17.49%,14.70%,-,-
18,FCF Yield,-25.06%,-21.32%,-20.66%,-10.28%,-10.96%,-38.66%,-42.32%,-1.63%,-,-
19,Buyback Yield / Dilution,-,-,-,0.14%,-11.46%,-33.52%,-19.63%,-,-,
20,Total Shareholder Return,-,-,-,0.14%,-11.46%,-33.52%,-19.63%,-,-,
