,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Revenue,181.56,160.13,191.64,193.87,182.54,219.48,190.35,231.36,169.87
1,Revenue Growth (YoY),-5.26%,-17.40%,4.98%,-11.67%,-4.10%,-5.14%,12.06%,-,-
2,Cost of Revenue,127.4,112.59,139.66,133.29,131.27,150.66,128.97,154.7,118.78
3,Gross Profit,54.16,47.54,51.98,60.57,51.27,68.81,61.38,76.66,51.09
4,"Selling, General & Admin",33.53,34.44,34.99,39.05,31.73,28.03,38.1,30.09,22.82
5,Operating Expenses,33.53,35.21,34.99,39.3,31.73,28.03,38.1,30.09,22.82
6,Operating Income,20.63,12.33,16.99,21.27,19.54,40.78,23.28,46.58,28.27
7,Interest Expense,-6.98,-6.76,-6.82,-6.78,-6.3,-6.02,-6.26,-6.56,-7.07
8,Interest & Investment Income,0.12,0.15,0.02,0.06,0.04,0.14,0.06,0.12,0.05
9,Currency Exchange Gain (Loss),0.44,-1.12,0.62,1.15,0.44,0.06,0.16,-0.68,0.28
10,Other Non Operating Income (Expenses),0.15,-1.22,1.25,-0.77,0.8,-0.64,0.61,0.53,0.05
11,EBT Excluding Unusual Items,14.36,3.37,12.05,14.93,14.52,34.32,17.84,39.99,21.58
12,Gain (Loss) on Sale of Assets,-3.06,-5.68,-,-6.1,-,-0,-,-0.14,-
13,Other Unusual Items,-,1.31,-,2.09,-,-10.33,-,-1.25,-
14,Pretax Income,11.3,-0.99,12.05,10.92,14.52,23.98,17.84,38.6,21.58
15,Income Tax Expense,3.48,1.37,4.78,4.97,4.4,6.05,8.48,10.23,5.87
16,Net Income,7.82,-2.36,7.28,5.95,10.12,17.93,9.36,28.37,15.71
17,Net Income to Common,7.82,-2.36,7.28,5.95,10.12,17.93,9.36,28.37,15.71
18,Net Income Growth,7.52%,-,-28.08%,-66.82%,8.11%,-36.79%,-40.44%,-,-
19,Shares Outstanding (Basic),792,792,792,792,792,793,711,594,594
20,Shares Outstanding (Diluted),792,792,792,792,792,793,711,594,594
21,Shares Change (YoY),-,-,-,-0.14%,11.46%,33.52%,19.63%,-,-
22,EPS (Basic),0.01,-0.00,0.01,0.01,0.01,0.02,0.01,0.05,0.03
23,EPS (Diluted),0.01,-0.00,0.01,0.01,0.01,0.02,0.01,0.05,0.03
24,EPS Growth,7.52%,-,-28.08%,-66.77%,-3.00%,-52.66%,-50.22%,-,-
25,Free Cash Flow,-12.58,-8.48,-17.35,4.47,-19.36,-34.72,-31.32,27.13,-13.17
26,Free Cash Flow Per Share,-0.02,-0.01,-0.02,0.01,-0.02,-0.04,-0.04,0.05,-0.02
27,Operating Margin,11.36%,7.70%,8.87%,10.97%,10.70%,18.58%,12.23%,20.13%,16.64%
28,Profit Margin,4.31%,-1.47%,3.80%,3.07%,5.54%,8.17%,4.92%,12.26%,9.25%
29,Free Cash Flow Margin,-6.93%,-5.29%,-9.05%,2.31%,-10.60%,-15.82%,-16.45%,11.72%,-7.75%
30,EBITDA,28.67,19.42,25.99,30.68,28.13,49.81,31.43,54.83,36.55
31,D&A For EBITDA,8.05,7.09,9,9.41,8.59,9.03,8.16,8.26,8.28
32,EBIT,20.63,12.33,16.99,21.27,19.54,40.78,23.28,46.58,28.27
