,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Cash & Equivalents,19.85,35.06,25.08,27.5,27.8,36.2,81.51,28.47,-
1,Short-Term Investments,-,3.71,-,5.79,-,-,-,-,-
2,Cash & Short-Term Investments,19.85,38.77,25.08,33.29,27.8,36.2,81.51,28.47,-
3,Cash Growth,-20.87%,16.46%,-9.80%,-8.03%,-65.89%,27.15%,-,-,-
4,Accounts Receivable,123.71,96.37,110.75,98.58,121.54,114.34,108.05,97.37,-
5,Other Receivables,5.38,-,6.58,-,0.24,0.68,-,0.92,-
6,Receivables,129.09,96.37,117.33,98.58,121.78,115.02,108.05,98.29,-
7,Inventory,222.84,226,113.98,169.99,141.58,133.86,138.74,120.47,-
8,Prepaid Expenses,-,-0.02,-,-,-,-,-,-,-
9,Other Current Assets,20.52,2.23,78.78,2.23,6.65,5.5,9.75,5.23,-
10,Total Current Assets,392.3,363.34,335.17,304.08,297.82,290.58,338.06,252.45,-
11,"Property, Plant & Equipment",332.65,344.16,357.35,358.67,347.58,327.97,268.1,256.91,-
12,Long-Term Deferred Tax Assets,0.38,0.38,0.2,0.2,0.13,0.13,0.12,0.12,-
13,Total Assets,725.33,707.87,692.71,662.95,645.53,618.68,606.27,509.47,-
14,Accounts Payable,3.48,6.25,9.25,10.94,4.54,5.65,1.72,5.07,-
15,Accrued Expenses,18.41,11.64,13.49,11.86,9.76,9.16,4.55,11.08,-
16,Short-Term Debt,169.42,117.1,218.47,201.56,219.61,220.99,226.11,227.23,-
17,Current Portion of Leases,12.66,13.51,19.45,15.76,10.73,-,-,-,-
18,Current Income Taxes Payable,-,-,2.99,0.01,1.33,1.7,4.5,4.37,-
19,Current Unearned Revenue,2.67,2.48,1.7,4.34,1.53,1.13,0.37,1.06,-
20,Other Current Liabilities,13.39,13.22,14.46,12.84,-,-,7.32,-,-
21,Total Current Liabilities,220.02,164.2,279.79,257.3,247.49,238.63,244.56,248.81,-
22,Long-Term Debt,85.75,138.96,-,-,-,-,-,-,-
23,Long-Term Leases,11.29,4.76,12.1,10.38,8.79,-,-,-,-
24,Total Liabilities,317.06,307.91,291.9,267.68,256.28,238.63,244.56,248.81,-
25,Common Stock,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.35,-
26,Additional Paid-In Capital,92.02,92.02,-,92.02,-,92.02,92.02,-,-
27,Retained Earnings,311.8,303.98,395.76,299.06,-,283,265.06,255.71,-
28,Comprehensive Income & Other,3.91,3.43,4.52,3.65,388.72,4.5,4.1,4.61,-
29,Shareholders' Equity,408.27,399.96,400.82,395.27,389.25,380.04,361.72,260.66,-
30,Total Liabilities & Equity,725.33,707.87,692.71,662.95,645.53,618.68,606.27,509.47,-
31,Total Debt,279.12,274.33,250.02,227.7,239.13,220.99,226.11,227.23,-
32,Net Cash (Debt),-259.27,-235.56,-224.94,-194.41,-211.33,-184.79,-144.59,-198.76,-
33,Net Cash Per Share,-0.33,-0.30,-0.28,-0.25,-0.27,-0.23,-0.20,-0.33,-
34,Filing Date Shares Outstanding,792,792,792,792,792,792,792,791.54,594
35,Total Common Shares Outstanding,792,792,792,792,792,792,792,791.54,594
36,Working Capital,172.27,199.14,55.38,46.78,50.33,51.94,93.5,3.64,-
37,Book Value Per Share,0.52,0.51,0.51,0.50,0.49,0.48,0.46,0.33,-
38,Tangible Book Value,408.27,399.96,400.82,395.27,389.25,380.04,361.72,260.66,-
39,Tangible Book Value Per Share,0.52,0.51,0.51,0.50,0.49,0.48,0.46,0.33,-
40,Buildings,-,162.77,-,159.91,-,159.91,-,159.91,-
41,Machinery,-,177.09,-,180.97,-,201.37,-,168.86,-
42,Construction In Progress,-,122.14,-,122.14,-,92.72,-,36.49,-
