,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,91,317,310,589,737,601,227,421,1158,210,358,Upgrade
1,Market Cap Growth,-46.15%,-46.15%,-57.89%,-2.07%,224.50%,42.86%,-80.39%,100.00%,223.53%,-63.16%,-48.82%,Upgrade
2,Enterprise Value,37,280,282,579,696,569,205,400,1090,172,317,Upgrade
3,Last Close Price,0.45,1.55,1.80,3.65,4.90,4.00,1.51,2.80,7.70,1.40,2.38,Upgrade
4,PE Ratio,-,-,-,-,71.96,23.18,15.80,-,-,-,-,Upgrade
5,PS Ratio,0.42,1.63,1.65,3.51,3.85,2.78,1.24,2.72,8.70,1.72,2.01,Upgrade
6,PB Ratio,0.49,1.29,1.57,3.27,3.81,3.18,1.27,3.02,6.27,1.05,1.51,Upgrade
7,P/TBV Ratio,1.97,1.97,2.78,6.23,7.88,6.12,2.45,5.26,13.46,2.13,3.10,Upgrade
8,P/FCF Ratio,1.68,5.85,-16.80,-,-,12.44,15.57,-,-,9.36,-,Upgrade
9,P/OCF Ratio,4.02,4.02,49.05,-,-,11.63,12.65,-,-,7.92,-,Upgrade
10,EV/Sales Ratio,0.19,1.44,1.50,3.45,3.64,2.63,1.12,2.59,8.20,1.41,1.78,Upgrade
11,EV/EBITDA Ratio,8.71,80.45,37.29,-1422.71,-,15.49,21.26,-16.11,-,-18.10,-,Upgrade
12,EV/EBIT Ratio,-,-,-,-,-,19.10,60.88,-,-,-,-,Upgrade
13,EV/FCF Ratio,0.69,5.17,-15.29,-,-,11.76,14.06,-,-,7.65,-,Upgrade
14,Debt / Equity Ratio,-,-,0.00,0.11,0.21,0.00,0.00,0.01,-,0.03,0.01,Upgrade
15,Debt / FCF Ratio,-,-,0.00,-,-,0.01,0.04,-,-,0.23,-,Upgrade
16,Return on Capital Employed (ROCE),-,-,-,-,-,14.16%,1.67%,-,-,-,-,Upgrade
17,Earnings Yield,-16.23%,-4.66%,-7.65%,-2.64%,1.39%,4.31%,6.33%,-5.90%,-3.67%,-23.05%,-2.97%,Upgrade
18,FCF Yield,59.51%,17.08%,-5.95%,-14.35%,-0.59%,8.04%,6.42%,-14.39%,-1.95%,10.68%,-13.59%,Upgrade
19,Buyback Yield / Dilution,-20.40%,-26.47%,-14.22%,-1.74%,-,-,-,-,-,-,-,Upgrade
20,Total Shareholder Return,-20.40%,-26.47%,-14.22%,-1.74%,-,-,-,-,-,-,-,Upgrade
