,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2020
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,36538,33876,21204,19916,19240,17213,9831,3907,3802,3934,3210
1,Market Cap Growth,70.10%,70.10%,10.21%,15.71%,95.70%,340.54%,158.61%,-0.67%,18.42%,280.10%,465.58%
2,Enterprise Value,38366,35311,21911,19804,19210,17277,9795,3862,3736,3820,3141
3,Last Close Price,8.65,8.02,5.02,4.71,4.55,4.08,2.33,0.93,0.90,0.93,0.76
4,PE Ratio,402.11,372.82,319.72,-1015.35,-,202.73,158.61,-,-565.67,-,-
5,PS Ratio,7.46,6.91,5.26,7.35,11.92,12.86,9.05,6.04,9.19,25.22,17.79
6,PB Ratio,43.86,25.54,16.17,15.37,102.25,74.51,42.52,26.58,23.40,-,19.97
7,P/TBV Ratio,40.80,40.80,25.02,37.17,103.88,75.89,43.46,27.14,24.02,-,20.44
8,P/FCF Ratio,-,-53.13,-,-,-,189.52,-,-,-,-,-
9,P/OCF Ratio,261.93,261.93,-,-,-,161.80,-351.43,-,-,-,-
10,EV/Sales Ratio,7.83,7.21,5.44,7.31,11.90,12.91,9.02,5.97,9.03,24.49,17.41
11,EV/EBITDA Ratio,415.02,415.02,219.85,-3206.64,-,-,2559.53,-,-,-,-
12,EV/EBIT Ratio,5610.26,-,265.87,-1246.80,-,-,-2636.70,-,-,-,-
13,EV/FCF Ratio,-60.17,-55.38,-,-,-,190.23,-,-,-,-,-
14,Debt / Equity Ratio,1.26,1.26,0.86,0.26,2.67,0.14,0.49,0.05,0.05,-,0.00
15,Debt / FCF Ratio,-,-2.63,-,-,-,0.35,-,-,-,-,-
16,Return on Capital Employed (ROCE),0.38%,-,5.13%,-1.04%,-,-,-0.98%,-,-,-,-
17,Earnings Yield,0.25%,0.27%,0.31%,-0.10%,-0.14%,0.49%,0.63%,-0.25%,-0.18%,-0.44%,-0.40%
18,FCF Yield,-1.75%,-1.88%,-8.34%,-4.31%,-0.76%,0.53%,-0.44%,-0.80%,-,-,-0.13%
